Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4643.0 at 16:36 14/5/2010  Report at 19:05 Friday 14/5/2010. Processed 20:07 Friday 14/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.02,-0.3,0.019,0.023,2000,0.02,0.02,0.023,0.019,0.038,0.009,-,,-,-,-,-0.32,-,0.1,5.26,
Advanced Engine,ACE,0.037,-0.3,0.038,0.04,250,0.037,0.036,0.044,0.036,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.8,-17.78,
Auto Tech Ltd,ATJ,0.055,-,0.054,0.055,-,-,-,0.055,0.045,0.092,0.028,-,,-,0.02,-,-4.29,-,0.5,10,
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.42,-,0.42,0.49,-,-,-,0.42,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-,
Datadot Tech,DDT,0.037,-,0.037,0.039,300,0.038,0.037,0.039,0.037,0.105,0.015,-,,-,0.01,-,-0.86,-,0.1,2.78,
Fleetwood Corp,FWD,9.18,4,9.05,9.20,843,9.23,9.13,9.26,8.72,9.74,5.30,66,f,0.98,2.12,7.19,64.7,14.2,41.0,4.68,
Orbital Corp Ltd,OEC,0.034,-0.3,0.034,0.037,2200,0.037,0.034,0.039,0.034,0.115,0.034,-,,-,0.02,-,-0.51,-,-,-,
Schaffer Corp Ltd,SFC,6.20,-,6.12,6.25,-,-,-,6.20,6.00,6.73,4.00,40,f,1.89,3.62,6.45,75.7,8.2,10.0,1.64,
Supply Net,SNL,0.35,-,0.335,0.39,183,0.36,0.35,0.365,0.35,0.51,0.24,3,f,1.91,0.40,8.57,5.74,6.1,-2.0,-5.41,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.015,-,0.014,0.017,-,-,-,0.018,0.015,0.058,0.015,-,,-,0.12,-,-7.66,-,-0.3,-16.67,
Atlantic Ltd,ATI,0.049,-0.1,0.048,0.051,20020,0.05,0.048,0.054,0.046,0.07,0.009,-,,-,0.01,-,-0.12,-,0.2,4.26,
  opt dec11,ATIO,0.042,-,0.035,0.041,-,-,-,0.045,0.04,0.058,0.003,-,,-,-,-,-,-,0.4,10.53,
Atlas Southsea Pearl,ATP,0.11,-,0.11,0.115,-,-,-,0.11,0.11,0.155,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,11.26,-26,11.15,11.36,9333,11.65,11.11,11.72,10.67,12.32,7.64,36,p,1.59,0.84,3.20,57.2,19.7,26.0,2.36,
BKM Management,BKM,0.007,-,0.007,0.009,-,-,-,0.008,0.007,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-12.5,
Fisher & Paykel App,FPA,0.50,-,0.495,0.50,5339,0.50,0.50,0.515,0.49,0.725,0.326,-,,-,-,-,-38.56,-,-,-,
Funtastic Ltd,FUN,0.23,-0.5,0.23,0.235,637,0.235,0.23,0.245,0.225,0.30,0.125,-,,-,0.01,-,-25,-,-,-,
Gale Pacific Ltd,GAP,0.165,-,0.165,0.20,-,-,-,0.17,0.165,0.205,0.054,-,,-,0.24,-,3.11,5.3,-,-,
