Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Quantum Energy,QTM,0.085,-0.4,0.084,0.085,420,0.085,0.084,0.094,0.084,0.42,0.063,-,,-,0.03,-,2.41,3.5,1.0,13.33,
Shenhua Ltd,SHU,0.495,-,0.10,0.495,-,-,-,0.495,0.495,0.55,0.45,-,,-,-,-,5.2,9.5,-,-,
Tamawood Ltd,TWD,2.32,3,2.32,2.40,17,2.32,2.32,2.32,2.26,2.76,1.644,21,f,1.39,0.91,9.05,29.22,7.9,2.0,0.87,
Thomas Bryson Int,TBI,0.35,-,-,0.35,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.35,-,-,0.35,-,-,-,0.35,0.33,0.35,0.23,-,,-,0.11,-,2.3,15.2,2.0,6.06,
TWT Grp Ltd,TWT,0.10,2.5,0.07,0.14,278,0.10,0.075,0.10,0.075,0.175,0.07,-,,-,0.31,-,-5.24,-,2.5,33.33,
Undercoverwear,UCW,0.25,-2,0.23,0.26,300,0.25,0.25,0.27,0.25,0.35,0.20,2.25,f,-,0.09,9.00,-5.65,-,-1.0,-3.85,
Vmoto Ltd,VMT,0.135,0.5,0.135,0.14,2567,0.135,0.13,0.14,0.125,0.215,0.048,-,,-,0.02,-,-1.07,-,0.5,3.85,
Waterco Ltd,WAT,1.05,-,0.96,1.03,-,-,-,1.06,1.05,1.06,0.58,6,f,1.72,1.26,5.71,10.3,10.2,-1.0,-0.94,
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,,
