Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4532.5 at 16:45 5/2/2010  Report at 19:05 Friday 5/2/2010. Processed 19:45 Friday 5/2/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.024,-0.1,0.02,0.025,2500,0.024,0.024,0.027,0.024,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.1,-4
Advanced Engine,ACE,0.05,-,0.05,0.055,3250,0.05,0.05,0.053,0.05,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.3,-5.66
Auto Tech Ltd,ATJ,0.05,-0.3,0.045,0.05,500,0.05,0.05,0.053,0.05,0.151,0.028,-,,-,0.01,-,-5.55,-,-,-
  optjun11d,ATJO,-,-,0.001,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.355,-,0.355,0.46,-,-,-,0.40,0.35,0.737,0.35,-,f,-,0.89,-,13,2.7,-4.5,-11.25
Datadot Tech,DDT,0.042,0.3,0.04,0.042,19938,0.042,0.038,0.042,0.038,0.105,0.011,-,,-,0.01,-,-6.22,-,0.2,5
Fleetwood Corp,FWD,7.85,-40,7.85,7.95,1111,8.03,7.81,8.25,7.66,9.00,3.40,66,f,1.04,2.63,8.41,68.7,11.4,-21.0,-2.61
Orbital Corp Ltd,OEC,0.042,-,0.042,0.043,-,-,-,0.045,0.042,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.2,-4.55
Schaffer Corp Ltd,SFC,6.40,-1,6.40,6.60,20,6.40,6.40,6.50,6.40,6.73,3.90,45,f,1.65,3.62,7.03,74.1,8.6,-,-
Supply Net,SNL,0.38,-,0.37,0.38,-,-,-,0.38,0.36,0.51,0.23,3,f,2.05,0.44,7.89,6.15,6.2,2.0,5.56
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.045,-,0.038,0.045,3717,0.045,0.037,0.046,0.037,0.08,0.035,-,,-,0.22,-,2,2.3,0.4,9.76
Atlantic Ltd,ATI,0.029,-0.1,0.028,0.031,506,0.029,0.029,0.032,0.029,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.2,-6.45
  opt dec11,ATIO,0.019,-,0.014,0.019,-,-,-,0.02,0.019,0.039,0.003,-,,-,-,-,-,-,-0.2,-9.52
Atlas Southsea Pearl,ATP,0.10,-1.5,0.105,0.12,3009,0.12,0.10,0.13,0.10,0.175,0.075,-,,-,0.20,-,-4.39,-,-0.5,-4.76
Billabong Intl,BBG,10.36,-4,10.25,10.65,7853,10.64,10.20,10.71,10.20,12.19,5.815,45,p,1.54,0.70,4.34,69.2,15.0,-12.0,-1.15
BKM Management,BKM,0.004,-,0.004,0.01,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.46,-0.5,0.44,0.46,2521,0.46,0.45,0.485,0.45,0.725,0.207,3.87,,-,-,8.41,-38.56,-,-1.0,-2.13
Funtastic Ltd,FUN,0.205,-0.5,0.21,0.22,4520,0.21,0.20,0.24,0.20,0.30,0.105,-,,-,0.05,-,-49.5,-,-2.0,-8.89
Gale Pacific Ltd,GAP,0.17,-1.5,0.16,0.185,3865,0.17,0.16,0.185,0.16,0.205,0.035,-,,-,0.24,-,-6.75,-,0.5,3.03
