Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4771.9 at 16:36 22/1/2010  Report at 19:05 Friday 22/1/2010. Processed 19:42 Friday 22/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.028,-,0.025,0.028,-,-,-,0.03,0.027,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.2,-6.67
Advanced Engine,ACE,0.049,-,0.049,0.058,-,-,-,0.057,0.047,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.5,-9.26
Auto Tech Ltd,ATJ,0.047,-,0.04,0.047,1493,0.047,0.045,0.047,0.04,0.151,0.028,-,,-,0.01,-,-5.55,-,0.2,4.44
Berklee Ltd,BER,0.50,-,0.40,0.47,-,-,-,0.50,0.50,0.737,0.357,-,f,-,0.89,-,13,3.8,-,-
Coventry Grp,CYG,2.39,-5,2.32,2.39,209,2.50,2.39,2.50,2.39,2.50,0.60,5,f,-,3.30,2.09,-3.6,-,-2.0,-0.83
Datadot Tech,DDT,0.052,1.6,0.051,0.052,1195407,0.082,0.045,0.082,0.034,0.105,0.011,-,,-,0.01,-,-6.22,-,1.6,44.44
Fleetwood Corp,FWD,8.41,-19,8.41,8.55,1604,8.61,8.25,8.83,8.25,9.00,3.36,66,f,1.04,2.63,7.85,68.7,12.2,-39.0,-4.43
Orbital Corp Ltd,OEC,0.045,-0.1,0.041,0.045,4808,0.045,0.044,0.055,0.044,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.5,-10
Schaffer Corp Ltd,SFC,6.50,-20,6.44,6.50,11,6.50,6.50,6.70,6.50,6.70,3.90,45,f,1.65,3.62,6.92,74.1,8.8,-,-
Supply Net,SNL,0.37,-,0.37,0.38,-,-,-,0.38,0.37,0.51,0.23,3,f,2.05,0.44,8.11,6.15,6.0,-3.0,-7.5
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.043,-,0.041,0.046,-,-,-,0.045,0.041,0.08,0.035,-,,-,0.22,-,2,2.1,0.2,4.88
Atlantic Ltd,ATI,0.036,-,0.035,0.036,14098,0.036,0.035,0.036,0.035,0.048,0.005,-,,-,0.01,-,-0.11,-,-,-
  opt dec11,ATIO,0.024,-,0.023,0.024,5000,0.024,0.024,0.026,0.024,0.039,0.003,-,,-,-,-,-,-,-0.2,-7.69
Atlas Southsea Pearl,ATP,0.135,0.5,0.125,0.135,414,0.135,0.13,0.135,0.125,0.185,0.075,-,,-,0.20,-,-4.39,-,-,-
AVJennings,AVJ,0.52,1.5,0.505,0.52,221,0.52,0.505,0.52,0.50,0.63,0.16,-,,-,1.04,-,-4.68,-,-0.5,-0.95
Billabong Intl,BBG,11.34,4,11.07,11.50,15405,11.42,11.07,11.90,11.07,12.19,5.815,45,p,1.54,0.70,3.97,69.2,16.4,-45.0,-3.82
BKM Management,BKM,0.004,-,0.004,0.009,-,-,-,0.006,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-0.2,-33.33
Fisher & Paykel App,FPA,0.49,-1,0.485,0.49,2925,0.505,0.485,0.515,0.485,0.729,0.207,3.87,,-,-,7.90,-38.56,-,-2.0,-3.92
Funtastic Ltd,FUN,0.235,-,0.235,0.24,1908,0.235,0.23,0.245,0.23,0.30,0.105,-,,-,0.05,-,-49.5,-,-,-
