Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4577.6 at 16:40 3/9/2010  Report at 17:06 Friday 3/9/2010. Processed 18:36 Friday 3/9/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.017,-,0.016,0.017,11222,0.018,0.017,0.02,0.016,0.038,0.016,-,,-,-,-,-0.16,-,-0.1,-5.56,
Advanced Engine,ACE,0.033,-,0.032,0.033,-,-,-,0.033,0.033,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.044,-0.4,0.044,0.049,390,0.045,0.044,0.05,0.044,0.07,0.04,-,,-,0.02,-,-4.29,-,-0.1,-2.22,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.60,-,0.51,0.60,600,0.60,0.59,0.60,0.53,0.737,0.35,2,f,2.35,1.19,3.33,4.7,12.8,7.0,13.21,
Datadot Tech,DDT,0.036,-0.1,0.033,0.036,6829,0.037,0.035,0.038,0.035,0.105,0.017,-,,-,0.01,-,0.27,13.3,-0.2,-5.26,
Fleetwood Corp,FWD,10.06,-8,10.04,10.06,1132,10.14,10.00,10.19,9.63,10.19,7.20,68,f,1.07,2.86,6.76,72.6,13.9,19.0,1.93,
Orbital Corp Ltd,OEC,0.032,-0.1,0.032,0.036,2394,0.033,0.032,0.037,0.032,0.068,0.025,-,,-,0.04,-,0.94,3.4,-0.3,-8.57,
Schaffer Corp Ltd,SFC,4.85,15,4.16,4.75,5,4.85,4.85,4.85,4.70,6.73,4.50,40,f,0.80,3.50,8.25,31.9,15.2,-,-,
Supply Net,SNL,0.425,-1,0.42,0.425,75,0.425,0.425,0.435,0.42,0.51,0.24,3,f,1.98,0.42,7.06,5.93,7.2,0.5,1.19,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.015,-0.1,0.014,0.015,2000,0.015,0.015,0.017,0.015,0.047,0.008,-,,-,0.12,-,-7.66,-,-0.3,-16.67,
Atlantic Ltd,ATI,-,-,-,-,-,-,-,0.04,0.04,0.07,0.023,-,,-,0.01,-,-0.12,-,-,-,
  opt dec11,ATIO,-,-,-,-,-,-,-,0.032,0.032,0.058,0.013,-,,-,-,-,-,-,-,-,
Atlas Southsea Pearl,ATP,0.11,-,0.115,0.125,-,-,-,0.11,0.105,0.145,0.08,-,,-,0.13,-,-6.75,-,0.5,4.76,
Billabong Intl,BBG,7.90,2,7.89,7.92,13650,7.95,7.86,7.95,7.54,12.32,7.31,36,p,1.62,0.40,4.56,58.3,13.6,43.0,5.76,
BKM Management,BKM,0.008,-,0.008,0.01,-,-,-,0.009,0.008,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-11.11,
Energio Ltd,EIO,0.008,-0.1,0.008,0.009,267,0.008,0.008,0.01,0.008,0.013,0.006,-,,-,-0.02,-,-1.4,-,-0.2,-20,
  opt mar13,EIOO,-,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.41,-0.5,0.41,0.415,983,0.41,0.405,0.415,0.40,0.66,0.395,-,,-,-,-,-10.54,-,0.5,1.23,
Funtastic Ltd,FUN,0.19,1,0.19,0.195,199,0.195,0.19,0.20,0.18,0.30,0.16,-,,-,0.01,-,-25,-,-1.0,-5,
Gale Pacific Ltd,GAP,0.21,-,0.215,0.24,-,-,-,0.24,0.21,0.24,0.095,2,f,1.08,0.26,9.52,2.15,9.8,-,-,
Gazal Corp,GZL,1.73,-,1.75,1.79,-,-,-,1.73,1.68,1.73,1.20,11,f,1.46,0.79,6.36,16.1,10.7,9.0,5.49,
GLG Corp Ltd,GLE,0.30,1,0.30,0.39,100,0.30,0.30,0.30,0.24,0.40,0.24,-,,-,0.49,-,7.78,3.9,6.0,25,
Globe Intl,GLB,0.68,-4,0.68,0.80,159,0.715,0.68,0.75,0.68,0.75,0.385,5,f,0.63,0.74,7.35,3.17,21.5,-7.0,-9.33,
GUD Hldgs,GUD,9.90,10,9.88,9.90,2348,10.00,9.80,10.00,9.46,10.62,7.79,62,f,1.23,1.92,6.26,76.5,12.9,56.0,6,
Headline Grp Ltd,HLD,0.37,-,0.35,0.37,783,0.37,0.35,0.38,0.35,0.41,0.135,-,,-,0.08,-,-1.79,-,-,-,
Island Sky Aust,ISK,0.02,-0.1,0.019,0.02,796,0.021,0.02,0.024,0.02,0.201,0.02,-,,-,0.03,-,-2.07,-,-0.5,-20,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.40,-0.5,0.40,0.41,1723,0.415,0.40,0.415,0.375,0.46,0.18,3.5,f,1.35,0.17,8.75,4.72,8.5,2.0,5.26,
McPherson's Ltd,MCP,2.87,-4,2.87,2.90,387,2.90,2.85,2.92,2.85,3.48,2.16,20,f,1.82,0.12,6.97,36.4,7.9,-3.0,-1.03,
Merchant House,MHI,0.18,-,0.17,0.18,-,-,-,0.18,0.18,0.18,0.12,1.5,,2.84,0.25,8.33,4.26,4.2,-,-,
Mesbon China Nylon,MES,0.135,-1,0.135,0.155,850,0.145,0.135,0.16,0.135,0.16,0.085,0.5,,4.08,0.32,3.70,2.04,6.6,-1.0,-6.9,
Photo-Me Aust,PTO,0.002,-,0.002,0.004,-,-,-,0.003,0.002,0.009,0.002,-,,-,0.01,-,-2.08,-,-0.1,-33.33,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.105,-,0.09,0.105,-,-,-,0.105,0.091,0.33,0.063,-,,-,0.03,-,0.83,12.7,1.4,15.38,
Shenhua Ltd,SHU,0.47,-,0.40,0.485,-,-,-,0.49,0.49,0.54,0.45,-,,-,-,-,5.2,9.0,-2.0,-4.08,
Tamawood Ltd,TWD,2.44,1,2.43,2.44,150,2.44,2.43,2.44,2.41,2.76,2.13,21,f,1.32,0.91,8.61,27.66,8.8,2.0,0.83,
Thomas Bryson Int,TBI,0.30,-,-,0.30,-,-,-,0.30,0.30,0.53,0.30,1,,-,-,3.33,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.047,-,0.051,0.14,-,-,-,0.053,0.046,0.175,0.046,-,,-,0.33,-,0.17,27.6,0.1,2.17,
Undercoverwear,UCW,0.16,-,0.16,0.17,-,-,-,0.19,0.15,0.35,0.15,1.25,,-,0.07,7.81,-12.92,-,-3.0,-15.79,
Vmoto Ltd,VMT,0.12,0.5,0.12,0.125,1627,0.12,0.115,0.125,0.105,0.215,0.10,-,,-,0.02,-,-1.07,-,1.0,9.09,
Waterco Ltd,WAT,1.15,-,1.17,1.25,287,1.17,1.15,1.17,1.10,1.17,0.80,8,f,1.54,1.43,6.96,12.3,9.3,5.0,4.55,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.14,-,0.14,0.15,320,0.14,0.14,0.15,0.13,0.22,0.08,-,,-,0.01,-,-4.95,-,-2.0,-12.5,
Aircruising Aust,AIG,0.065,-,0.01,0.08,-,-,-,0.065,0.065,0.11,0.065,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.027,-0.3,0.027,0.029,362,0.028,0.027,0.03,0.027,0.195,0.024,0.5,,4.60,0.06,18.52,2.3,1.2,-0.3,-10,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.64,-19,3.64,3.65,16118,3.87,3.63,3.87,3.55,5.75,3.34,3.5,,-,0.15,0.96,-15,-,6.0,1.68,
Artist & Entertain,AEM,0.008,-,0.008,0.01,-,-,-,0.008,0.008,0.025,0.007,-,,-,-,-,-1.54,-,-,-,
Centrebet Internat,CIL,1.615,-11,1.61,1.65,194,1.68,1.615,1.79,1.615,1.89,1.05,13.5,f,1.24,0.14,8.36,16.7,9.7,-4.0,-2.42,
Crown Ltd,CWN,8.38,-12,8.37,8.40,26804,8.59,8.33,8.69,8.28,9.39,7.41,37,p,1.04,3.42,4.42,38.54,21.7,-3.0,-0.36,
Domino Pizza Enterpr,DMP,5.33,-7,5.32,5.41,43,5.40,5.33,5.42,5.32,5.764,3.826,14.4,f,1.82,0.70,2.70,26.2,20.3,-7.0,-1.3,
eBet Ltd,EBT,0.083,0.2,0.083,0.087,1523,0.083,0.083,0.085,0.08,0.105,0.065,-,,-,-0.01,-,0.52,16.0,0.1,1.22,
Eumundi Grp Ltd,EBG,0.047,-,0.047,0.06,-,-,-,0.047,0.046,0.08,0.03,-,,-,0.19,-,-6,-,0.1,2.17,
Flight Centre,FLT,21.21,38,21.19,21.22,3831,21.23,20.80,21.23,19.09,21.43,13.11,70,f,2.00,3.07,3.30,140.3,15.1,218.0,11.46,
G8 Education Ltd,GEM,0.60,-3.5,0.60,0.63,696,0.60,0.60,0.635,0.60,0.69,0.077,-,,-,-0.13,-,2.12,28.3,-3.0,-4.76,
Garratt's Ltd,GRT,0.365,-,0.41,0.50,-,-,-,0.365,0.365,0.56,0.305,3,,1.43,0.15,8.22,4.28,8.5,-,-,
Integrated Legal,IAW,0.11,-0.5,0.11,0.115,435,0.115,0.11,0.115,0.11,0.15,0.091,0.75,f,1.57,0.07,6.82,1.18,9.3,-,-,
Invocare Ltd,IVC,6.72,2,6.70,6.72,1481,6.72,6.59,6.85,6.31,6.85,5.33,26.75,f,1.31,0.47,3.98,35.1,19.1,46.0,7.35,
Jetset Travelworld,JET,0.82,-0.5,0.815,0.83,1918,0.83,0.815,0.85,0.675,1.70,0.63,1.6,,2.49,0.13,1.95,3.98,20.6,14.5,21.48,
Kip McGrath Edu Cntr,KME,0.25,-1,0.25,0.29,186,0.28,0.25,0.30,0.25,0.45,0.25,2,,0.90,-0.11,8.00,1.8,13.9,-5.0,-16.67,
Macro Corp Ltd,MAC,0.031,-,0.005,0.038,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.009,-,0.009,0.01,12050,0.009,0.009,0.011,0.006,0.044,0.005,-,,-,-0.32,-,0.34,2.6,0.3,50,
Navitas Ltd,NVT,4.46,-,4.45,4.49,2513,4.60,4.45,4.60,4.35,5.56,3.30,18.8,f,1.00,-0.23,4.22,18.8,23.7,1.0,0.22,
Newhaven Hotels,NHH,1.89,-,1.89,2.50,-,-,-,1.89,1.89,1.96,1.75,6,f,1.10,1.06,3.17,6.6,28.6,-,-,
Ocean Capital,OCE,0.23,-,0.27,0.355,-,-,-,0.23,0.20,0.40,0.20,0.75,f,1.85,0.41,3.26,1.39,16.5,3.0,15,
Odyssey Gaming,ODG,0.03,-,0.02,-,-,-,-,0.03,0.03,0.07,0.03,-,,-,0.06,-,0.23,13.0,-,-,
Planet Platinum,PPN,0.21,-,0.21,0.42,-,-,-,0.21,0.20,0.30,0.16,2.06,,2.17,0.21,9.81,4.46,4.7,-1.0,-4.55,
Qld Trustees Invest,QTI,0.33,-,0.32,0.36,-,-,-,0.36,0.33,0.50,0.33,-,,-,0.78,-,1.02,32.4,-3.0,-8.33,
Reef Casino Tr unt,RCT,1.775,4.5,1.73,1.775,3,1.775,1.775,1.80,1.70,2.15,1.70,24,,1.89,1.98,13.52,45.4,3.9,-0.5,-0.28,
