Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4325.8 at 16:34 21/5/2010  Report at 19:06 Friday 21/5/2010. Processed 19:16 Friday 21/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.022,-,0.018,0.022,-,-,-,0.022,0.019,0.038,0.009,-,,-,-,-,-0.32,-,0.2,10,
Advanced Engine,ACE,0.037,-0.2,0.037,0.04,88,0.037,0.037,0.04,0.037,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.055,-,0.05,0.055,-,-,-,0.055,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.42,-,0.42,0.45,263,0.42,0.42,0.42,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-,
Datadot Tech,DDT,0.037,-,0.036,0.038,1621,0.037,0.036,0.04,0.036,0.105,0.015,-,,-,0.01,-,-0.86,-,-,-,
Fleetwood Corp,FWD,8.34,-12,8.20,8.34,2306,8.37,8.00,9.13,8.00,9.74,5.30,66,f,0.98,2.12,7.91,64.7,12.9,-84.0,-9.15,
Orbital Corp Ltd,OEC,0.032,-0.1,0.031,0.033,638,0.033,0.032,0.034,0.032,0.115,0.032,-,,-,0.02,-,-0.51,-,-0.2,-5.88,
Schaffer Corp Ltd,SFC,5.76,-24,5.61,5.76,9,5.76,5.76,6.12,5.76,6.73,4.10,40,f,1.89,3.62,6.94,75.7,7.6,-44.0,-7.1,
Supply Net,SNL,0.315,-4.5,0.32,0.335,236,0.335,0.315,0.36,0.315,0.51,0.24,3,f,1.91,0.40,9.52,5.74,5.5,-3.5,-10,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.012,-,0.012,0.016,-,-,-,0.014,0.012,0.058,0.012,-,,-,0.12,-,-7.66,-,-0.3,-20,
Atlantic Ltd,ATI,0.042,-0.1,0.04,0.043,128612,0.043,0.039,0.055,0.039,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.7,-14.29,
  opt dec11,ATIO,0.03,-0.5,0.033,0.04,10000,0.031,0.03,0.046,0.03,0.058,0.003,-,,-,-,-,-,-,-1.2,-28.57,
Atlas Southsea Pearl,ATP,0.10,-,0.10,0.12,100,0.10,0.10,0.11,0.10,0.145,0.085,-,,-,0.13,-,-6.75,-,-1.0,-9.09,
Billabong Intl,BBG,10.15,-25,10.05,10.19,13765,10.29,9.99,11.19,9.99,12.32,7.64,36,p,1.59,0.84,3.55,57.2,17.7,-111.0,-9.86,
BKM Management,BKM,0.007,-,0.005,0.009,-,-,-,0.007,0.007,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.46,-1,0.45,0.47,10119,0.465,0.45,0.505,0.435,0.725,0.365,-,,-,-,-,-38.56,-,-4.0,-8,
Funtastic Ltd,FUN,0.235,-1,0.23,0.24,369,0.245,0.22,0.245,0.22,0.30,0.125,-,,-,0.01,-,-25,-,0.5,2.17,
