Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4462.1 at 16:37 20/8/2010  Report at 19:06 Friday 20/8/2010. Processed 08:35 Saturday 21/8/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.02,-,0.019,0.02,1800,0.02,0.02,0.022,0.02,0.038,0.016,-,,-,-,-,-0.32,-,-0.1,-4.76,
Advanced Engine,ACE,0.033,-,0.034,0.037,300,0.033,0.033,0.038,0.033,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.5,-13.16,
Auto Tech Ltd,ATJ,0.05,0.2,0.05,0.052,660,0.051,0.05,0.051,0.043,0.07,0.04,-,,-,0.02,-,-4.29,-,0.3,6.38,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.52,-,0.465,0.58,-,-,-,0.52,0.52,0.737,0.35,-,,-,1.23,-,19.64,2.6,-,-,
Datadot Tech,DDT,0.034,0.4,0.033,0.034,8510,0.035,0.03,0.035,0.03,0.105,0.017,-,,-,0.01,-,-0.86,-,0.1,3.03,
Fleetwood Corp,FWD,9.72,-30,9.69,10.00,1788,9.97,9.67,10.08,9.62,10.13,6.42,66,f,0.98,2.12,6.79,64.7,15.0,-17.0,-1.72,
Orbital Corp Ltd,OEC,0.031,-0.9,0.031,0.039,8462,0.034,0.03,0.04,0.03,0.07,0.025,-,,-,0.02,-,-0.51,-,0.1,3.33,
Schaffer Corp Ltd,SFC,4.84,-16,4.76,4.84,36,4.91,4.84,5.05,4.84,6.73,4.50,40,f,1.89,3.62,8.26,75.7,6.4,-27.0,-5.28,
Supply Net,SNL,0.42,1.5,0.395,0.42,363,0.42,0.415,0.42,0.395,0.51,0.24,3,f,1.91,0.40,7.14,5.74,7.3,2.0,5,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.014,0.018,-,-,-,0.018,0.018,0.047,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlas Southsea Pearl,ATP,0.11,-,0.11,0.125,1586,0.12,0.105,0.12,0.10,0.145,0.08,-,,-,0.13,-,-6.75,-,1.2,12.24,
Billabong Intl,BBG,8.03,-88,8.03,8.07,70657,8.09,7.74,9.00,7.74,12.32,7.74,36,p,1.59,0.84,4.48,57.2,14.0,-59.0,-6.84,
BKM Management,BKM,0.009,0.1,0.009,0.01,61,0.009,0.009,0.009,0.008,0.013,0.003,-,,-,-,-,-0.2,-,0.1,12.5,
Energio Ltd,EIO,0.011,0.2,0.01,0.011,217109,0.013,0.01,0.013,0.007,0.013,0.006,-,,-,-0.02,-,-1.4,-,0.4,57.14,
  opt mar13,EIOO,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.40,-1.5,0.40,0.415,1670,0.40,0.40,0.415,0.395,0.665,0.395,-,,-,-,-,-10.54,-,-,-,
Funtastic Ltd,FUN,0.20,-,0.20,0.21,90,0.205,0.20,0.22,0.20,0.30,0.16,-,,-,0.01,-,-25,-,-2.0,-9.09,
Gale Pacific Ltd,GAP,0.19,-,0.185,0.20,-,-,-,0.19,0.19,0.205,0.065,-,,-,0.24,-,3.11,6.1,-,-,
Gazal Corp,GZL,1.60,-,1.62,1.80,-,-,-,1.60,1.50,1.62,1.12,11,f,0.94,0.69,6.88,10.3,15.5,10.0,6.67,
GLG Corp Ltd,GLE,0.28,-,0.28,0.345,-,-,-,0.28,0.28,0.40,0.26,-,,-,0.49,-,7.78,3.6,-,-,
Globe Intl,GLB,0.70,4,0.70,0.75,222,0.70,0.70,0.70,0.60,0.70,0.20,-,,-,0.70,-,3.12,22.4,10.0,16.67,
GUD Hldgs,GUD,9.32,-28,9.32,9.70,2192,9.59,9.32,9.77,9.30,10.62,7.79,62,f,1.23,1.92,6.65,76.5,12.2,-16.0,-1.69,
Headline Grp Ltd,HLD,0.39,1.5,0.37,0.40,250,0.39,0.39,0.41,0.37,0.41,0.125,-,,-,0.08,-,-1.79,-,-0.5,-1.27,
Island Sky Aust,ISK,0.025,-,0.02,0.03,-,-,-,0.025,0.022,0.206,0.022,-,,-,0.03,-,-2.07,-,0.3,13.64,
  opt nov11,ISKO,0.025,-,0.003,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.385,1.5,0.385,0.39,4325,0.39,0.37,0.40,0.36,0.46,0.18,3.5,f,1.31,0.18,9.09,4.57,8.4,2.5,6.94,
McPherson's Ltd,MCP,2.85,2,2.82,2.90,265,2.85,2.82,2.89,2.79,3.48,2.09,10,f,2.96,0.02,3.51,29.6,9.6,5.0,1.79,
Merchant House,MHI,0.18,-,0.165,0.185,-,-,-,0.17,0.17,0.18,0.12,1.5,,2.84,0.25,8.33,4.26,4.2,-,-,
Mesbon China Nylon,MES,0.145,-,0.13,0.14,-,-,-,0.145,0.125,0.145,0.085,0.5,,4.08,0.32,3.45,2.04,7.1,2.0,16,
Photo-Me Aust,PTO,0.003,-,0.002,0.005,-,-,-,0.003,0.003,0.009,0.002,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.093,-,0.093,0.099,-,-,-,0.10,0.093,0.335,0.063,-,,-,0.03,-,2.41,3.9,0.3,3.33,
Shenhua Ltd,SHU,0.49,-,0.45,0.47,-,-,-,0.49,0.49,0.55,0.45,-,,-,-,-,5.2,9.4,-,-,
Tamawood Ltd,TWD,2.41,-3,2.42,2.44,2,2.41,2.41,2.45,2.40,2.76,2.034,21,f,1.32,0.91,8.71,27.66,8.7,1.0,0.42,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.051,-,0.046,0.14,-,-,-,0.051,0.051,0.175,0.05,-,,-,0.31,-,-5.24,-,-,-,
Undercoverwear,UCW,0.20,-1,0.19,0.20,50,0.20,0.20,0.21,0.20,0.35,0.185,2.25,f,-,0.09,11.25,-5.65,-,-1.5,-6.98,
Vmoto Ltd,VMT,0.105,-0.5,0.10,0.11,2400,0.105,0.105,0.12,0.10,0.215,0.08,-,,-,0.02,-,-1.07,-,-1.5,-12.5,
Waterco Ltd,WAT,1.05,-,1.05,1.10,-,-,-,1.06,1.01,1.06,0.78,6,f,1.72,1.26,5.71,10.3,10.2,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.12,1,0.12,0.13,173,0.12,0.12,0.12,0.11,0.22,0.08,-,,-,0.01,-,-4.95,-,1.0,9.09,
Aircruising Aust,AIG,0.065,-,0.055,0.08,-,-,-,0.065,0.065,0.11,0.065,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.032,-0.1,0.032,0.035,4415,0.033,0.031,0.04,0.029,0.205,0.024,0.5,,4.60,0.06,15.63,2.3,1.4,-0.5,-13.51,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.43,-13,3.42,3.44,21316,3.52,3.42,3.59,3.41,5.75,3.34,4.5,,-,0.07,1.31,-31.3,-,-2.0,-0.58,
Artist & Entertain,AEM,0.009,0.1,0.009,0.011,25,0.009,0.009,0.009,0.008,0.025,0.007,-,,-,-,-,-1.54,-,0.1,12.5,
Centrebet Internat,CIL,1.48,6,1.46,1.48,620,1.48,1.42,1.48,1.31,1.89,1.05,10.5,,1.02,0.11,7.09,10.7,13.8,17.0,12.98,
Crown Ltd,CWN,8.39,-21,8.28,8.39,19826,8.47,8.24,8.60,8.14,9.39,7.20,37,p,-,3.24,4.41,-92.35,-,7.0,0.84,
Domino Pizza Enterpr,DMP,5.54,-6,5.50,5.55,69,5.55,5.50,5.60,5.48,5.80,3.80,14.4,f,1.82,0.70,2.60,26.2,21.1,6.0,1.09,
eBet Ltd,EBT,0.093,0.2,0.091,0.095,300,0.093,0.093,0.095,0.091,0.105,0.065,-,,-,-0.01,-,0.52,17.9,-0.2,-2.11,
Eumundi Grp Ltd,EBG,0.044,-,0.046,0.055,-,-,-,0.044,0.044,0.08,0.03,-,,-,0.19,-,-6,-,-,-,
Flight Centre,FLT,18.32,-34,18.31,18.49,1674,18.54,18.20,19.48,18.11,21.43,12.68,26,f,2.44,2.56,1.42,63.4,28.9,-3.0,-0.16,
G8 Education Ltd,GEM,0.69,-,0.65,0.68,-,-,-,0.69,0.60,0.69,0.075,-,,-,-0.13,-,2.12,32.5,6.0,9.52,
Garratt's Ltd,GRT,0.365,-,0.365,0.50,-,-,-,0.365,0.365,0.56,0.305,3,,1.43,0.14,8.22,4.28,8.5,-,-,
Integrated Legal,IAW,0.105,-,0.11,0.13,-,-,-,0.105,0.105,0.165,0.091,0.75,f,1.57,0.07,7.14,1.18,8.9,-,-,
Invocare Ltd,IVC,6.24,-16,6.14,6.30,1926,6.35,6.14,6.47,6.14,6.50,5.33,26.75,f,1.23,0.48,4.29,32.9,19.0,-2.0,-0.32,
Jetset Travelworld,JET,0.69,-,0.71,0.785,-,-,-,0.80,0.63,1.70,0.63,1.6,,2.49,0.13,2.32,3.98,17.3,-11.0,-13.75,
Kip McGrath Edu Cntr,KME,0.31,-,0.26,0.37,-,-,-,0.31,0.30,0.45,0.145,2,,8.59,-0.10,6.45,17.19,1.8,1.0,3.33,
Macro Corp Ltd,MAC,0.031,-,0.005,0.031,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.007,-,0.005,0.007,-,-,-,0.007,0.006,0.044,0.006,-,,-,-0.32,-,0.34,2.1,0.1,16.67,
Navitas Ltd,NVT,4.47,-11,4.46,4.59,429,4.54,4.45,4.59,4.30,5.56,3.22,18.8,f,1.00,-0.23,4.21,18.8,23.8,6.0,1.36,
Newhaven Hotels,NHH,1.89,-,1.89,2.50,-,-,-,1.89,1.89,1.96,1.75,6,f,0.96,1.09,3.17,5.74,32.9,-,-,
Ocean Capital,OCE,0.20,-,0.20,0.28,-,-,-,0.20,0.20,0.40,0.20,1.5,,0.93,0.41,7.50,1.39,14.4,-4.0,-16.67,
Odyssey Gaming,ODG,0.03,-,0.02,0.06,-,-,-,0.03,0.03,0.07,0.03,-,,-,0.06,-,0.5,6.0,-,-,
Planet Platinum,PPN,0.20,-,0.20,0.40,-,-,-,0.20,0.20,0.30,0.16,2.06,,2.17,0.21,10.30,4.46,4.5,-,-,
Qld Trustees Invest,QTI,0.39,-,0.36,0.38,-,-,-,0.39,0.39,0.50,0.33,-,,-,0.78,-,1.02,38.2,-,-,
Reef Casino Tr unt,RCT,1.85,-2,1.85,1.87,40,1.87,1.85,1.89,1.85,2.15,1.70,24,,1.89,1.98,12.97,45.4,4.1,-,-,
Retail Food Grp,RFG,2.52,1,2.52,2.54,2956,2.55,2.50,2.62,2.45,3.10,2.11,11.75,f,2.15,-0.64,4.66,25.3,10.0,7.0,2.86,
Sino Strategic Intl,SSI,0.28,-,-,-,-,-,-,0.28,0.28,0.92,0.18,-,,-,-0.05,-,-67,-,-,-,
Sky City Entertain,SKC,2.26,-6,2.25,2.29,1506,2.26,2.26,2.45,2.25,2.89,2.25,11.69,,1.23,0.51,5.17,14.38,15.7,-9.0,-3.83,
