Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 5007.3 at 16:34 16/4/2010  Report at 19:06 Friday 16/4/2010. Processed 19:41 Friday 16/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.024,-,0.023,0.024,-,-,-,0.026,0.024,0.038,0.009,-,,-,-,-,-0.32,-,-0.1,-4
Advanced Engine,ACE,0.049,-,0.049,0.052,-,-,-,0.049,0.046,0.093,0.031,-,,-,-0.05,-,-2.58,-,0.3,6.52
Auto Tech Ltd,ATJ,0.06,-,0.05,0.057,-,-,-,0.06,0.051,0.151,0.028,-,,-,0.02,-,-4.29,-,1.9,46.34
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.01,0.01,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.425,-,0.435,0.47,-,-,-,0.46,0.415,0.737,0.35,-,,-,1.23,-,19.64,2.2,-0.5,-1.16
Datadot Tech,DDT,0.04,0.1,0.039,0.04,5030,0.04,0.039,0.056,0.039,0.105,0.015,-,,-,0.01,-,-0.86,-,0.1,2.56
Fleetwood Corp,FWD,9.52,-7,9.48,9.56,673,9.64,9.47,9.72,9.34,9.72,5.30,66,f,0.98,2.12,6.93,64.7,14.7,13.0,1.38
Orbital Corp Ltd,OEC,0.044,-,0.041,0.044,490,0.044,0.044,0.044,0.04,0.115,0.039,-,,-,0.02,-,-0.51,-,0.3,7.32
Schaffer Corp Ltd,SFC,6.10,-,6.11,6.30,-,-,-,6.10,6.02,6.73,3.99,40,f,1.89,3.62,6.56,75.7,8.1,8.0,1.33
Supply Net,SNL,0.35,-,0.35,0.39,173,0.35,0.35,0.35,0.34,0.51,0.23,3,f,1.91,0.40,8.57,5.74,6.1,-,-
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-0.1,0.018,0.02,5000,0.019,0.018,0.019,0.018,0.058,0.018,-,,-,0.12,-,-7.66,-,-,-
Atlantic Ltd,ATI,0.045,-0.2,0.044,0.045,91854,0.048,0.043,0.049,0.036,0.049,0.006,-,,-,0.01,-,-0.12,-,0.7,18.42
  opt dec11,ATIO,0.035,-0.1,0.035,0.036,19100,0.036,0.032,0.038,0.027,0.039,0.003,-,,-,-,-,-,-,0.7,25
Atlas Southsea Pearl,ATP,0.12,-,0.115,0.12,190,0.12,0.12,0.12,0.115,0.16,0.085,-,,-,0.13,-,-6.75,-,-,-
Billabong Intl,BBG,11.92,23,11.58,11.93,4238,11.93,11.61,11.95,11.23,12.19,7.64,36,p,1.59,0.84,3.02,57.2,20.8,68.0,6.05
BKM Management,BKM,0.01,-0.3,0.01,0.013,5100,0.011,0.01,0.013,0.01,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-9.09
Fisher & Paykel App,FPA,0.455,-1,0.455,0.465,30190,0.465,0.455,0.475,0.455,0.725,0.242,-,,-,-,-,-38.56,-,-1.5,-3.19
Funtastic Ltd,FUN,0.26,1,0.255,0.26,3431,0.26,0.24,0.26,0.24,0.30,0.125,-,,-,0.01,-,-25,-,1.0,4
Gale Pacific Ltd,GAP,0.175,-,0.17,0.175,-,-,-,0.175,0.175,0.205,0.05,-,,-,0.24,-,3.11,5.6,0.5,2.94
