FR GICSSEC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5851.5 at 2015-04-17T16:39:37. Report at Friday, April 17, 2015. Processed Saturday at 2015-04-18T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Automobiles & Components,,
Adv Braking Tech,ABV,.007,-,.006,.007,-,-,-,.007,.006,.01,.005,-,,-,-,-,-.64,-,-,Stdy,,
  opt aug16,ABVO,.003,-,-,.003,-,-,-,.003,.003,.003,.002,-,,-,-,-,-,-,-,Stdy,,
ARB Corp,ARB,12.40,-21,12.38,12.41,1516,12.56,12.32,12.93,12.29,13.00,10.49,29.00,f,2.03,2.42,2.34,58.75,21.1,-50,-3.88,,
Authorised Invest,AIY,.032,-,.02,.04,-,-,-,.032,.032,.032,.02,-,,-,.02,-,.40,8.0,-,Stdy,,
DataDot Tech,DDT,.032,-,.032,.033,10083,.032,.032,.034,.032,.037,.02,-,,-,-,-,-.14,-,-.2,-5.88,,
Orbital Corp,OEC,.51,-1,.51,.52,625,.525,.51,.54,.51,.63,.14,-,,-,.49,-,1.73,29.5,-5.5,-9.73,,
Schaffer Corp,SFC,5.00,-5,5.03,5.20,51,5.08,5.00,5.28,5.00,6.29,5.00,25.00,f,.96,4.77,5.00,24.00,20.8,-30,-5.66,,
Sprintex,SIX,.001,-,.001,.002,-,-,-,.001,.001,.011,.001,-,,-,-,-,-.66,-,-,Stdy,,
VMoto,VMT,.046,-.1,.045,.046,124422,.048,.044,.051,.038,.06,.032,-,,-,.01,-,.04,115.0,+.7,+17.95,,
Consumer Durables & Apparel,,
Atlas Pearls,ATP,.048,+.3,.048,.056,600,.048,.048,.048,.043,.14,.04,-,,-,.07,-,-1.63,-,+.6,+14.29,,
Audio Pixels,AKP,9.00,-25,9.02,9.50,166,9.20,8.95,9.95,8.90,14.50,3.60,-,,-,.05,-,-10.88,-,-100,-10.00,,
Billabong Int'l,BBG,.545,-.5,.545,.55,1502,.55,.54,.56,.535,.735,.43,-,,-,.16,-,.60,90.8,-,Stdy,,
Coats Grp PLC,CGW,.48,-1,.48,.50,1192,.50,.48,.50,.48,.635,.37,-,,-,.33,-,1.21,39.7,-1,-2.04,,
Fleetwood Corp,FWD,1.32,-.5,1.27,1.32,417,1.33,1.27,1.34,1.225,2.47,1.10,4.00,f,-,2.43,3.03,-.38,-,-1,-.75,,
Gale Pacific,GAP,.20,+.5,.20,.21,390,.20,.20,.205,.195,.275,.165,2.65,,.52,.21,13.25,1.37,14.6,-,Stdy,,
Gazal Corp,GZL,2.45,-,2.40,2.50,-,-,-,2.50,2.45,2.99,2.45,17.00,f,1.18,1.19,6.94,20.00,12.3,-5,-2.00,,
GLG Corp,GLE,.15,-,.155,.25,-,-,-,.15,.15,.26,.15,-,,-,.90,-,5.24,2.9,-,Stdy,,
Globe Int'l,GLB,1.15,+4,1.08,1.15,1,1.15,1.15,1.15,1.11,1.365,.40,3.00,f,-,.73,2.61,-27.82,-,+5.5,+5.02,,
GUD Hldgs,GUD,7.92,-32,7.92,7.93,1860,8.27,7.84,8.86,7.77,8.86,5.09,38.00,f,1.12,1.16,4.80,42.50,18.6,-76,-8.76,,
Kresta Hldgs,KRS,.25,-,-,.25,-,-,-,.26,.25,.28,.16,-,f,-,.12,-,-.95,-,-1,-3.85,,
McPherson's,MCP,1.12,-,1.115,1.13,697,1.12,1.11,1.13,1.10,1.46,1.03,11.00,f,1.49,-.07,9.82,16.40,6.8,-,Stdy,,
Merchant House,MHI,.215,-,.20,.21,-,-,-,.215,.19,.23,.16,.50,,22.70,.46,2.33,11.35,1.9,+2.5,+13.16,,
Quantum Energy,QTM,.014,-,.014,.02,520,.014,.014,.014,.014,.048,.01,-,,-,.01,-,-.52,-,-,Stdy,,
Shenhua Int'l,SHU,.45,-,-,.44,-,-,-,.45,.45,.60,.38,4.00,,1.30,.68,8.89,5.20,8.7,-,Stdy,,
Simonds Grp,SIO,1.52,+3.5,1.52,1.535,1174,1.565,1.48,1.565,1.46,1.785,1.44,-,,-,.08,-,-14.48,-,+3,+2.01,,
Tamawood,TWD,3.99,-1,3.90,3.99,44,3.99,3.90,4.04,3.85,4.10,2.70,23.00,f,1.09,.30,5.76,25.09,15.9,+7,+1.79,,
Treyo Leisure,TYO,.15,-,-,.30,-,-,-,.15,.15,.195,.15,-,,-,.22,-,1.60,9.4,-,Stdy,,
Waterco,WAT,1.06,-,1.06,1.08,-,-,-,1.08,1.06,1.25,1.025,6.00,f,.12,1.53,5.66,.70,151.4,-2,-1.85,,
Yanghao Int'l,YHL,.30,-,-,.30,-,-,-,.30,.30,.30,.10,-,,-,-,-,8.55,3.5,-,Stdy,,
Consumer Services,,
3P Learning,3PL,2.39,-,2.39,2.40,58,2.40,2.39,2.46,2.36,2.68,1.94,-,,-,.10,-,-2.29,-,-4,-1.65,,
Academies A'asia,AKG,.77,+2,.75,.79,10,.77,.77,.785,.75,1.40,.645,4.50,f,1.38,-.01,5.84,6.20,12.4,+1.5,+1.99,,
Aeeris,AER,.205,-.5,.20,.205,112,.205,.205,.21,.205,.25,.19,-,,-,-,-,-,-,-.5,-2.38,,
Affinity Education,AFJ,1.11,+6,1.11,1.13,27207,1.13,1.062,1.13,1.05,1.480,1.035,-,,-,-.15,-,-2.90,-,+5,+4.72,,
Ainsworth Game Tech,AGI,2.60,-1,2.60,2.61,6490,2.64,2.59,2.82,2.52,4.21,2.03,10.00,f,1.90,.71,3.85,19.00,13.7,-21,-7.47,,
Aquaint Capital,AQU,.22,-,-,-,-,-,-,.22,.22,.55,.18,1.00,,1.58,-,4.55,1.58,13.9,-,Stdy,,
Ardent Leisure Grp,AAD,2.15,-2,2.15,2.16,19412,2.17,2.14,2.22,2.12,3.49,1.75,13.20,p,.83,.78,6.14,10.92,19.7,-1,-.46,,
Aristocrat Leisure,ALL,8.22,-17,8.22,8.24,31537,8.465,8.19,8.59,8.19,8.59,4.84,16.00,,-,.91,1.95,-2.90,-,-17,-2.03,,
Aust Careers Network,ACO,1.80,-5,1.78,1.85,156,1.85,1.78,1.85,1.75,2.09,1.235,-,,-,.19,-,4.14,43.5,+5,+2.86,,
Collins Foods,CKF,2.34,-2,2.35,2.37,711,2.38,2.34,2.46,2.34,2.80,1.84,11.00,f,-,-.91,4.70,-16.22,-,-12,-4.88,,
Corporate Travel,CTD,10.87,-31,10.85,10.88,2087,11.24,10.85,11.70,10.62,13.09,5.476,13.50,f,1.66,1.91,1.24,22.40,48.5,-71,-6.13,,
Crown Resorts,CWN,13.24,-21,13.24,13.25,16354,13.56,13.215,14.11,13.215,16.82,11.66,37.00,p,1.76,4.14,2.79,65.22,20.3,-89,-6.30,,
Disruptive Invest,DVI,.011,+.1,.011,.012,12827,.011,.01,.011,.009,.021,.006,-,,-,-,-,-.16,-,+.3,+37.50,,
Domino's Pizza,DMP,35.19,-122,35.19,35.20,1255,36.74,35.06,37.85,35.06,37.85,18.55,43.60,f,1.44,-.01,1.24,62.70,56.1,-206,-5.53,,
Donaco Intl,DNA,.65,-.5,.65,.655,7633,.69,.645,.69,.62,1.294,.535,-,,-,.32,-,1.58,41.1,+1.5,+2.36,,
eBet,EBT,3.80,-,3.80,3.90,50,3.80,3.80,3.80,3.76,4.215,3.250,5.50,p,5.99,.84,1.45,32.95,11.5,+4,+1.06,,
Echo Entertainment,EGP,4.60,-12,4.59,4.62,34901,4.66,4.52,4.775,4.52,4.775,2.655,9.00,f,2.12,-,1.96,19.10,24.1,-11,-2.34,,
Eumundi Grp,EBG,.051,-,.052,-,-,-,-,.051,.051,.06,.043,.20,f,3.65,.09,3.92,.73,7.0,-,Stdy,,
Evolve Edu Grp,EVO,1.04,-,.80,1.045,-,-,-,1.04,.975,1.10,.97,-,,-,-,-,-,-,+6.5,+6.67,,
Flight Centre Travel,FLT,40.50,-40,40.45,40.51,3397,41.49,40.33,42.35,39.95,54.81,31.41,152.00,f,1.28,7.66,3.75,195.20,20.7,-63,-1.53,,
G8 Education,GEM,3.58,-11,3.57,3.59,28436,3.69,3.50,3.78,3.50,5.63,3.21,21.50,f,.75,-.83,6.01,16.15,22.2,-13,-3.50,,
Helloworld,HLO,.36,-2,.34,.36,1430,.38,.36,.38,.34,.39,.235,-,f,-,.04,-,-13.49,-,+1,+2.86,,
Indoor Skydive Aust,IDZ,.50,-,.50,.535,-,-,-,.60,.50,.752,.46,-,,-,.25,-,-3.88,-,-10,-16.67,,
Intueri Edu Grp,IQE,1.95,+12,1.90,1.955,120,1.955,1.88,2.05,1.82,3.01,1.82,7.42,,.92,.16,3.81,6.80,28.7,-10,-4.88,,
InvoCare,IVC,12.95,-18,12.95,12.97,2612,13.20,12.94,13.34,12.94,14.17,9.82,36.50,f,1.21,.46,2.82,44.10,29.4,-22,-1.67,,
iSelect,ISU,1.415,-1,1.415,1.42,6855,1.44,1.41,1.455,1.397,1.655,1.01,-,,-,.75,-,3.10,45.6,+1.5,+1.07,,
Jumbo Interactive,JIN,1.05,-6,1.05,1.095,107,1.08,1.05,1.14,1.02,1.52,.83,3.00,f,.68,.23,2.86,2.03,51.7,-,Stdy,,
Kip McGrath Edu Cntr,KME,.46,-,.445,.47,-,-,-,.46,.46,.46,.19,.50,f,4.86,-.02,1.09,2.43,18.9,+2,+4.55,,
Life corporation,LFC,.09,-,.04,-,-,-,-,.11,.082,.27,.082,-,,-,.04,-,-7.68,-,-2,-18.18,,
Mantra Grp,MTR,3.40,+1,3.38,3.40,2667,3.40,3.38,3.57,3.34,3.69,1.69,5.00,f,1.74,.32,1.47,8.70,39.1,-10,-2.86,,
Navitas,NVT,4.48,-1,4.47,4.50,11704,4.52,4.43,4.63,4.30,7.88,4.26,19.50,f,.64,-,4.35,12.40,36.1,-12,-2.61,,
Newhaven Hotels,NHH,.95,-,1.02,1.35,-,-,-,.92,.92,.95,.735,7.00,f,1.10,1.17,7.37,7.73,12.3,+3,+3.26,,
RedHill Education,RDH,1.40,-1,1.40,1.485,71,1.41,1.40,1.45,1.40,1.51,.88,-,,-,.17,-,16.56,8.5,-5,-3.45,,
Reef Casino Tr,RCT,3.28,-5,3.20,3.28,102,3.36,3.28,3.40,3.28,4.22,2.60,26.02,,.93,2.06,7.93,24.20,13.6,+8,+2.50,,
Retail Food Grp,RFG,6.57,-3,6.57,6.58,6355,6.69,6.56,6.96,6.41,8.00,3.86,22.75,f,1.24,-.55,3.46,28.10,23.4,-36,-5.19,,
SEALINK Travel Grp,SLK,2.58,+4,2.50,2.58,366,2.60,2.52,2.60,2.48,2.66,1.72,7.50,f,1.53,.67,2.91,11.50,22.4,-,Stdy,,
Shine,SHJ,3.06,-6,3.06,3.07,944,3.15,3.06,3.24,3.01,3.45,2.024,3.75,,3.91,.74,1.23,14.68,20.8,+3,+.99,,
Site Grp Int'l,SIT,.295,+.5,.29,.30,1462,.30,.29,.31,.28,.32,.12,-,,-,-,-,-.99,-,-1.5,-4.84,,
SkyCity Entertain,SKC,4.03,-1,4.03,4.04,2519,4.06,4.025,4.13,4.01,4.14,3.09,17.11,p,.87,.43,4.25,14.95,27.0,-4,-.98,,
Skydive The Beach Grp,SKB,.315,+1,.305,.31,10,.315,.315,.315,.29,.395,.29,-,,-,-,-,-,-,+.5,+1.61,,
Slater & Gordon,SGH,6.87,-34,6.86,6.89,56606,7.28,6.86,7.66,6.86,8.07,4.181,8.50,p,4.15,1.56,1.24,35.30,19.5,-42,-5.76,,
Tabcorp Hldgs,TAH,4.71,-9,4.70,4.71,25834,4.79,4.69,4.865,4.69,4.955,3.106,18.00,f,1.29,1.44,3.82,23.30,20.2,-12,-2.48,,
Tatts Grp,TTS,4.00,-6,4.00,4.01,27102,4.07,3.995,4.09,3.995,4.16,2.95,14.50,f,1.04,-1.19,3.62,15.10,26.5,-6,-1.48,,
Think Childcare & Edu,TNK,1.00,-,.98,1.00,137,1.00,.96,1.045,.96,1.18,.96,-,,-,-,-,-,-,-4.5,-4.31,,
Transmetro Corp,TCO,1.00,-,.85,1.19,-,-,-,1.00,1.00,1.11,1.00,5.00,f,.48,1.32,5.00,2.38,42.0,-,Stdy,,
Trustees Australia,TAU,.14,-,.13,.19,-,-,-,.14,.14,.14,.06,-,,-,.28,-,.70,20.0,-,Stdy,,
Vealls,VELCP,9.00,-,8.95,9.60,30,9.00,9.00,9.00,9.00,9.75,8.30,.50,f,65.88,13.69,.06,32.94,27.3,-,Stdy,,
  income,VELIN,1.50,-,-,-,-,-,-,1.50,1.446,1.60,1.446,10.70,f,-,-,7.13,-,-,-,Stdy,,
  7% cum pf,VELPA,3.00,-,-,-,-,-,-,2.997,2.993,3.00,2.993,.70,f,-,-,.23,-,-,+.3,+.12,,
Viagold Capital,VIA,.49,-,-,.15,-,-,-,.49,.49,.49,.49,-,,-,.09,-,-2.99,-,-,Stdy,,
