Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4671.9 at 16:47 18/12/2009  Report at 19:05 Friday 18/12/2009. Processed 19:37 Friday 18/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,-0.1,0.03,0.033,2600,0.033,0.03,0.033,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,-,-
Advanced Engine,ACE,0.057,-0.2,0.057,0.059,420,0.058,0.057,0.065,0.057,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.2,-3.39
Auto Tech Ltd,ATJ,0.045,-0.2,0.04,0.048,1250,0.049,0.045,0.053,0.045,0.151,0.028,-,,-,0.01,-,-5.55,-,-1.2,-21.05
Berklee Ltd,BER,0.59,-,0.40,0.56,-,-,-,0.59,0.59,0.737,0.297,-,f,-,0.89,-,13,4.5,-,-
Coventry Grp,CYG,2.30,-,2.25,2.30,-,-,-,2.30,2.15,2.35,0.60,5,f,-,3.30,2.17,-3.6,-,15.0,6.98
Datadot Tech,DDT,0.039,-0.1,0.039,0.041,1867,0.041,0.038,0.047,0.038,0.105,0.011,-,,-,0.01,-,-6.22,-,-0.7,-15.22
Fleetwood Corp,FWD,7.38,-7,7.38,7.45,979,7.50,7.37,7.54,7.36,8.86,3.27,66,f,1.04,2.63,8.94,68.7,10.7,-11.0,-1.47
Orbital Corp Ltd,OEC,0.048,-0.3,0.05,0.055,2000,0.055,0.048,0.055,0.048,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.5,-9.43
Schaffer Corp Ltd,SFC,6.25,-3,6.12,6.25,26,6.25,6.20,6.28,6.20,6.65,3.90,45,f,1.65,3.62,7.20,74.1,8.4,-3.0,-0.48
Supply Net,SNL,0.44,1,0.435,0.44,112,0.44,0.425,0.47,0.425,0.51,0.23,3,f,2.05,0.44,6.82,6.15,7.2,-3.0,-6.38
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.05,-0.3,0.04,0.05,-,0.05,0.05,0.053,0.05,0.08,0.038,-,,-,0.22,-,2,2.5,-0.4,-7.41
Atlantic Ltd,ATI,0.031,-,0.033,0.032,-,-,-,0.033,0.029,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.4,-11.43
  opt dec11,ATIO,0.021,-,0.022,0.025,-,-,-,0.024,0.02,0.039,0.003,-,,-,-,-,-,-,-0.3,-12.5
Atlas Southsea Pearl,ATP,0.11,0.5,0.105,0.115,100100,0.11,0.11,0.11,0.105,0.22,0.075,2,,-,0.20,18.18,-4.39,-,0.5,4.76
AVJennings,AVJ,0.49,-,0.49,0.51,52,0.49,0.49,0.50,0.42,0.63,0.16,2,,-,1.04,4.08,-4.68,-,-,-
Billabong Intl,BBG,10.65,15,10.60,10.78,9916,10.80,10.37,11.10,10.37,12.19,5.815,45,p,1.54,0.70,4.23,69.2,15.4,-23.0,-2.11
BKM Management,BKM,0.006,-,0.006,0.01,-,-,-,0.011,0.006,0.011,0.003,-,,-,-,-,-0.25,-,-0.5,-45.45
Fisher & Paykel App,FPA,0.47,1,0.47,0.48,721,0.475,0.46,0.475,0.445,0.806,0.207,3.87,,-,-,8.23,-38.56,-,1.5,3.3
