Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009. Processed 19:31 Friday 4/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.031,-,0.031,0.032,4050,0.032,0.031,0.032,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,0.3,10.71
Advanced Engine,ACE,0.06,-0.7,0.06,0.066,1375,0.064,0.06,0.067,0.06,0.093,0.031,-,,-,-0.04,-,-1.9,-,-1.0,-14.29
Auto Tech Ltd,ATJ,0.056,0.1,0.05,0.058,2070,0.058,0.056,0.058,0.047,0.151,0.028,-,,-,0.01,-,-5.55,-,0.2,3.7
Berklee Ltd,BER,0.53,-,0.525,0.62,-,-,-,0.53,0.53,0.737,0.297,-,f,-,0.89,-,13,4.1,-,-
Coventry Grp,CYG,2.29,-,2.05,2.25,-,-,-,2.29,2.24,2.35,0.60,5,f,-,3.30,2.18,-3.6,-,5.0,2.23
Datadot Tech,DDT,0.048,-,0.048,0.05,5966,0.048,0.048,0.051,0.048,0.105,0.011,-,,-,0.01,-,-6.22,-,-0.2,-4
Fleetwood Corp,FWD,7.56,-6,7.52,7.70,1795,7.66,7.52,7.71,7.35,8.86,3.27,66,f,1.04,2.63,8.73,68.7,11.0,21.0,2.86
Orbital Corp Ltd,OEC,0.06,0.6,0.053,0.06,1869,0.06,0.055,0.06,0.053,0.115,0.03,-,,-,0.03,-,-0.51,-,0.4,7.14
Schaffer Corp Ltd,SFC,6.29,-,6.28,6.30,-,-,-,6.30,6.29,6.65,3.90,45,f,1.65,3.62,7.15,74.1,8.5,3.0,0.48
Supply Net,SNL,0.51,-2,0.50,0.51,1276,0.535,0.50,0.535,0.50,0.535,0.25,3,f,2.05,0.44,5.88,6.15,8.3,2.5,5.15
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.047,-0.3,0.045,0.049,1200,0.047,0.047,0.05,0.047,0.08,0.038,-,,-,0.22,-,2,2.4,-0.3,-6
Atlantic Ltd,ATI,0.037,-0.2,0.037,0.038,22315,0.039,0.037,0.045,0.037,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.3,-7.5
  opt dec11,ATIO,0.027,-,0.027,0.03,9970,0.028,0.027,0.031,0.027,0.039,0.003,-,,-,-,-,-,-,-0.2,-6.9
Atlas Southsea Pearl,ATP,0.115,-,0.11,0.115,-,-,-,0.115,0.11,0.22,0.075,2,,-,0.20,17.39,-4.39,-,1.0,9.52
AVJennings,AVJ,0.54,-,0.52,0.54,478,0.54,0.54,0.55,0.52,0.63,0.16,2,,-,1.04,3.70,-4.68,-,-,-
Billabong Intl,BBG,10.52,-32,10.45,10.60,6507,10.83,10.45,11.07,10.15,12.19,5.815,45,p,1.54,0.70,4.28,69.2,15.2,42.0,4.16
BKM Management,BKM,0.006,-,0.006,0.008,-,-,-,0.006,0.006,0.01,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.455,-1.5,0.455,0.46,773,0.46,0.45,0.475,0.45,0.806,0.207,3.87,,-,-,8.51,-38.56,-,-1.5,-3.19
