Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4588.8 at 16:39 12/2/2010  Report at 19:06 Friday 12/2/2010. Processed 19:26 Friday 12/2/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.022,-0.1,0.022,0.025,6660,0.023,0.022,0.024,0.021,0.038,0.005,-,,-,-,-,-0.32,-,-0.2,-8.33
Advanced Engine,ACE,0.05,-,0.05,0.053,-,-,-,0.05,0.05,0.093,0.031,-,,-,-0.04,-,-1.9,-,-,-
Auto Tech Ltd,ATJ,0.058,0.8,0.057,0.058,2350,0.058,0.05,0.058,0.045,0.151,0.028,-,,-,0.01,-,-5.55,-,0.8,16
  optjun11d,ATJO,-,-,0.001,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.355,-,0.355,0.45,-,-,-,0.40,0.355,0.737,0.35,-,f,-,0.89,-,13,2.7,-,-
Datadot Tech,DDT,0.042,-0.1,0.042,0.043,5796,0.042,0.042,0.046,0.04,0.105,0.011,-,,-,0.01,-,-6.22,-,-,-
Fleetwood Corp,FWD,7.70,7,7.67,7.77,2315,7.78,7.65,8.05,7.57,9.00,3.60,66,f,1.04,2.63,8.57,68.7,11.2,-15.0,-1.91
Orbital Corp Ltd,OEC,0.041,-0.1,0.041,0.044,267,0.042,0.041,0.045,0.041,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.1,-2.38
Schaffer Corp Ltd,SFC,6.41,-,6.06,6.60,-,-,-,6.41,6.40,6.73,3.90,45,f,1.65,3.62,7.02,74.1,8.7,1.0,0.16
Supply Net,SNL,0.38,0.5,0.38,0.435,11,0.38,0.38,0.40,0.375,0.51,0.23,3,f,2.05,0.44,7.89,6.15,6.2,-,-
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.034,-,0.028,0.033,-,-,-,0.036,0.034,0.058,0.025,-,,-,0.22,-,2,1.7,0.2,4.62
Atlantic Ltd,ATI,0.026,-,0.025,0.032,4000,0.027,0.026,0.029,0.026,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.3,-10.34
  opt dec11,ATIO,0.015,-,0.015,0.017,30893,0.015,0.014,0.019,0.013,0.039,0.003,-,,-,-,-,-,-,-0.4,-21.05
Atlas Southsea Pearl,ATP,0.115,-,0.115,0.125,800,0.12,0.115,0.125,0.115,0.17,0.075,-,,-,0.20,-,-4.39,-,1.5,15
Billabong Intl,BBG,10.43,-11,10.35,10.45,6379,10.63,10.27,10.63,10.25,12.19,5.815,45,p,1.54,0.70,4.31,69.2,15.1,7.0,0.68
BKM Management,BKM,0.004,-,0.004,0.01,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.495,0.5,0.48,0.495,5629,0.495,0.48,0.505,0.465,0.725,0.207,3.87,,-,-,7.82,-38.56,-,3.5,7.61
Funtastic Ltd,FUN,0.21,-,0.21,0.22,2229,0.21,0.21,0.21,0.20,0.30,0.105,-,,-,0.05,-,-49.5,-,0.5,2.44
Gale Pacific Ltd,GAP,0.175,-,0.16,0.175,116,0.175,0.175,0.175,0.17,0.205,0.035,-,,-,0.24,-,-6.75,-,0.5,2.94
