FR GICSSEC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4411.4 at 2011-10-28T16:36:58. Report at Friday, October 28, 2011. Processed Saturday at 2011-10-29T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Automobiles & Components,,
Adv Braking Tech,ABV,.022,-.1,.021,.023,2000,.022,.022,.025,.021,.038,.016,-,,-,.01,-,.06,36.7,-,Stdy,,
Auto Technology,ATJ,.02,-,.021,.025,1246,.02,.02,.021,.02,.052,.018,-,,-,.02,-,-1.44,-,-.1,-4.76,,
  opt jun12,ATJOA,.01,-,-,-,-,-,-,.01,.01,.01,.003,-,,-,-,-,-,-,-,Stdy,,
Berklee,BER,.44,-,.42,.51,-,-,-,.44,.44,.60,.40,2.00,f,-,1.19,4.55,-22.30,-,-,Stdy,,
DataDot Tech,DDT,.033,-.1,.031,.033,2750,.033,.033,.037,.033,.055,.025,-,,-,.01,-,-.12,-,-.4,-10.81,,
Fleetwood Corp,FWD,11.90,-10,11.80,11.92,1354,12.15,11.82,12.15,11.63,14.25,9.53,73.00,f,1.23,3.52,6.13,90.00,13.2,+11,+.93,,
Orbital Corp,OEC,.39,-1,.365,.395,512,.40,.365,.40,.35,.46,.18,-,,-,.36,-,3.65,10.7,-.5,-1.27,,
Schaffer Corp,SFC,4.00,-,4.01,4.09,-,-,-,4.00,3.80,4.70,3.10,20.00,f,1.75,3.50,5.00,35.10,11.4,+20,+5.26,,
Supply Net,SNL,.70,-,.67,.70,276,.70,.70,.72,.67,.72,.377,5.00,f,1.56,.42,7.14,7.82,9.0,+1.5,+2.19,,
Consumer Durables & Apparel,,
Atlas Southsea Pearl,ATP,.105,-,.099,.105,80,.105,.105,.105,.099,.13,.085,-,,-,.15,-,.41,25.6,+.5,+5.00,,
Audio Pixels Ltd,AKP,6.61,+20,6.43,6.61,8,6.61,6.61,6.61,6.40,9.65,3.50,-,,-,.20,-,-8.55,-,-14,-2.07,,
Billabong Int'l,BBG,4.29,-1,4.25,4.30,25499,4.36,4.24,4.48,3.58,9.07,2.81,29.00,p,1.63,-.29,6.76,47.40,9.1,+75,+21.19,,
BKM Management,BKM,.003,-,-,-,-,-,-,.003,.003,.012,.003,-,,-,-,-,-.21,-,-,Stdy,,
Energio,EIO,.017,-.1,.016,.017,46826,.019,.017,.019,.016,.073,.009,-,,-,-,-,-.88,-,-,Stdy,,
  opt mar13,EIOO,.01,-,-,-,-,-,-,.01,.01,.011,.001,-,,-,-,-,-,-,-,Stdy,,
Fisher & Paykel App,FPA,.35,+2.5,.32,.38,650,.35,.335,.35,.32,.495,.32,-,,-,-,-,3.38,10.4,+.5,+1.45,,
Funtastic,FUN,.036,-.2,.036,.04,1220,.038,.036,.04,.036,.205,.036,-,,-,-.11,-,-11.20,-,-.4,-10.00,,
Gale Pacific,GAP,.24,-.5,.23,.245,4655,.25,.24,.25,.225,.25,.165,2.20,f,1.15,.18,9.17,2.54,9.4,+1.5,+6.67,,
Gazal Corp,GZL,1.78,-,1.78,1.80,5,1.78,1.78,1.78,1.78,2.20,1.78,13.00,f,1.05,.77,7.30,13.60,13.1,-,Stdy,,
GLG Corp,GLE,.26,+1,.22,.275,179,.26,.26,.26,.25,.375,.20,-,,-,.47,-,3.40,7.6,+1,+4.00,,
Globe Int'l,GLB,.39,-,.34,.45,160,.39,.39,.45,.39,.70,.39,5.00,f,.53,.68,12.82,2.63,14.8,-2.5,-6.02,,
GUD Hldgs,GUD,7.82,+22,7.76,7.85,3650,7.86,7.66,7.86,7.25,10.74,6.84,64.00,f,.91,1.25,8.18,58.10,13.5,+30,+3.99,,
Guinness Peat,GPG,.48,+.5,.48,.485,1291,.48,.475,.48,.46,.66,.445,1.74,,2.29,.74,3.62,3.99,12.0,+1.5,+3.23,,
Island Sky Aust,ISK,.006,-,-,-,-,-,-,.006,.005,.017,.004,-,,-,-,-,-1.79,-,-,Stdy,,
  opt nov11,ISKO,.01,-,-,-,-,-,-,.01,.01,.025,.01,-,,-,-,-,-,-,-,Stdy,,
Kresta Hldgs,KRS,.24,+2.5,.21,.22,100,.24,.24,.24,.215,.35,.205,.50,,-,.11,2.08,-.54,-,+2,+9.09,,
McPherson's,MCP,2.28,+1,2.26,2.28,965,2.30,2.25,2.35,2.19,3.40,2.19,26.00,f,1.04,.30,11.40,27.10,8.4,-4,-1.72,,
Merchant House,MHI,.15,-,.115,.145,-,-,-,.15,.15,.19,.115,1.00,,2.86,.24,6.67,2.86,5.2,-,Stdy,,
Mesbon China Nylon,MES,.18,-,-,-,-,-,-,.18,.18,.325,.12,-,,-,.34,-,4.53,4.0,-,Stdy,,
Mothercare,MLC,.125,-,.125,.13,13,.125,.125,.125,.12,.375,.11,-,,-,.03,-,-11.09,-,-,Stdy,,
Photo-Me Aust,PTO,.002,-,-,-,-,-,-,.002,.002,.006,.001,-,,-,-,-,-.70,-,-,Stdy,,
Quantum Energy,QTM,.021,-,.024,.031,-,-,-,.021,.021,.095,.019,-,,-,.01,-,-.97,-,-,Stdy,,
Shenhua Int'l,SHU,.315,-,.32,.41,-,-,-,.315,.315,.46,.27,2.50,,4.16,.39,7.94,10.40,3.0,-,Stdy,,
Tamawood,TWD,2.48,+6,2.46,2.48,105,2.48,2.44,2.54,2.39,2.97,1.99,21.00,f,.83,.94,8.47,17.37,14.3,+8,+3.33,,
Treyo Leisure,TYO,.335,-,-,-,-,-,-,.335,.335,.335,.335,-,,-,.11,-,1.17,28.6,-,Stdy,,
TWT Grp,TWT,.051,-,.046,.079,-,-,-,.051,.051,.07,.05,-,,-,.59,-,.01,510.0,-,Stdy,,
UnderCoverWear,UCW,.035,-,-,-,-,-,-,.035,.035,.14,.035,-,,-,.03,-,-37.42,-,-,Stdy,,
VMoto,VMT,.026,-,.022,.026,-,-,-,.029,.023,.125,.015,-,,-,.01,-,-.79,-,-.2,-7.14,,
Waterco,WAT,1.39,+9,1.31,1.39,2,1.39,1.39,1.39,1.30,1.65,1.01,9.00,f,1.09,1.21,6.47,9.80,14.2,+9,+6.92,,
Yanghao Int'l,YHL,.10,-,-,-,-,-,-,.10,.10,.10,.10,-,,-,-.67,-,13.58,.7,-,Stdy,,
Consumer Services,,
Academies A'asia,AKG,.51,-,-,-,-,-,-,.55,.51,.55,.45,4.00,f,1.35,.09,7.84,5.40,9.4,-4,-7.27,,
Ainsworth Game Tech,AGI,.35,-1,.345,.37,1923,.36,.35,.36,.34,.48,.135,-,,-,.09,-,8.00,4.4,-1,-2.78,,
Aircruising Aust,AIG,.08,-,.052,-,-,-,-,.08,.08,.08,.035,-,,-,-.16,-,-5.00,-,-,Stdy,,
Ardent Leisure Grp,AAD,1.10,-1.5,1.095,1.12,18323,1.13,1.095,1.145,1.08,1.59,.955,11.50,,1.00,.90,10.45,11.51,9.6,+3,+2.80,,
Aristocrat Leisure,ALL,2.29,+3,2.26,2.33,10272,2.31,2.27,2.31,2.14,3.79,1.88,4.00,,2.48,.17,1.75,9.90,23.1,+13,+6.02,,
Artist & Entertain,AEM,.005,-,-,-,-,-,-,.005,.005,.015,.005,-,,-,-,-,-.38,-,-,Stdy,,
Collins Foods,CKF,1.90,-9,1.86,1.95,3921,2.00,1.87,2.00,1.87,2.48,1.87,-,,-,-,-,-,-,-10,-5.00,,
Corporate Travel,CTD,1.90,-,1.90,1.95,324,2.02,1.90,2.02,1.865,2.16,1.43,5.00,f,2.70,.42,2.63,13.50,14.1,-,Stdy,,
Crown,CWN,8.26,+9,8.11,8.30,24789,8.33,8.11,8.33,7.79,9.20,7.45,37.00,p,1.20,3.14,4.48,44.29,18.6,+41,+5.22,,
Domino's Pizza,DMP,6.69,-7,6.50,6.82,1141,6.82,6.50,6.82,6.50,7.45,5.25,21.90,f,1.43,.71,3.27,31.30,21.4,+17,+2.61,,
eBet,EBT,.04,+.5,.04,.05,113,.04,.036,.04,.035,.083,.033,-,,-,.01,-,-2.71,-,+.2,+5.26,,
Echo Entertainment,EGP,3.82,-11,3.80,3.84,40862,3.93,3.80,3.94,3.72,4.52,3.43,-,,-,-,-,-,-,+12,+3.24,,
Eumundi Grp,EBG,.057,-,-,-,-,-,-,.057,.057,.07,.048,-,,-,.12,-,1.53,3.7,-1.3,-18.57,,
Flight Centre,FLT,19.97,+47,19.70,20.00,7837,20.03,19.50,20.03,17.89,25.12,16.01,84.00,f,1.67,3.95,4.21,140.00,14.3,+217,+12.19,,
G8 Education,GEM,.50,-,.49,.50,3000,.50,.50,.50,.48,1.08,.41,4.00,,1.33,-.13,8.00,5.31,9.4,+3,+6.38,,
Integrated Legal,IAW,.115,-.5,.115,.12,225,.12,.115,.12,.115,.15,.10,.90,f,1.57,-,7.83,1.41,8.2,-.5,-4.17,,
InvoCare,IVC,6.96,-7,6.91,7.15,1992,7.15,6.92,7.15,6.92,7.73,6.25,28.75,f,.86,.28,4.13,24.60,28.3,+5,+.72,,
Jetset Travelworld,JET,.75,-,.75,.77,155,.75,.72,.77,.72,1.027,.602,2.00,f,2.50,.02,2.67,4.99,15.0,-2,-2.60,,
Kip McGrath Edu Cntr,KME,.028,-,.028,.047,-,-,-,.028,.025,.24,.016,-,,-,-.14,-,-16.83,-,+.3,+12.00,,
Macro Corp,MAC,.01,-,.011,-,-,-,-,.01,.01,.031,.002,-,,-,.03,-,-3.20,-,-,Stdy,,
National Leisure,NLG,.004,-,-,-,-,-,-,.004,.004,.025,.002,-,,-,-.28,-,-10.41,-,-,Stdy,,
