Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4656.3 at 16:34 19/2/2010  Report at 19:06 Friday 19/2/2010. Processed 19:44 Friday 19/2/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.021,-,0.021,0.023,-,-,-,0.023,0.021,0.038,0.005,-,,-,-,-,-0.32,-,-0.1,-4.55
Advanced Engine,ACE,0.055,-0.1,0.053,0.059,750,0.056,0.055,0.06,0.05,0.093,0.031,-,,-,-0.04,-,-1.9,-,0.5,10
Auto Tech Ltd,ATJ,0.055,-,0.048,0.055,-,-,-,0.06,0.055,0.151,0.028,-,,-,0.01,-,-5.55,-,-0.3,-5.17
  opt jun11,ATJO,-,-,0.002,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.35,-,0.355,0.45,-,-,-,0.355,0.35,0.737,0.35,-,f,-,0.89,-,13,2.7,-0.5,-1.41
Datadot Tech,DDT,0.047,0.5,0.045,0.047,13028,0.05,0.041,0.05,0.041,0.105,0.011,-,,-,0.01,-,-6.22,-,0.5,11.9
Fleetwood Corp,FWD,8.37,-18,8.34,8.40,2281,8.54,8.33,8.62,7.65,9.00,3.60,66,f,0.98,2.12,7.89,64.7,12.9,67.0,8.7
Orbital Corp Ltd,OEC,0.043,-0.2,0.043,0.046,30,0.043,0.043,0.046,0.041,0.115,0.032,-,,-,0.03,-,-0.51,-,0.2,4.88
Schaffer Corp Ltd,SFC,6.40,-,6.15,6.20,-,-,-,6.41,6.35,6.73,3.90,40,f,1.89,3.62,6.25,75.7,8.5,-1.0,-0.16
Supply Net,SNL,0.38,-,0.375,0.38,-,-,-,0.38,0.375,0.51,0.23,3,f,2.05,0.44,7.89,6.15,6.2,-,-
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.029,-,0.027,0.029,-,-,-,0.033,0.029,0.058,0.025,-,,-,0.22,-,2,1.5,-0.5,-14.71
Atlantic Ltd,ATI,0.03,0.1,0.03,0.031,19435,0.03,0.03,0.03,0.028,0.048,0.005,-,,-,0.01,-,-0.11,-,0.4,15.38
  opt dec11,ATIO,0.02,0.1,0.02,0.021,6843,0.02,0.019,0.02,0.017,0.039,0.003,-,,-,-,-,-,-,0.5,33.33
Atlas Southsea Pearl,ATP,0.11,-,0.105,0.11,-,-,-,0.125,0.11,0.16,0.075,-,,-,0.20,-,-4.39,-,-0.5,-4.35
Billabong Intl,BBG,10.47,-17,10.42,10.70,25189,10.69,10.31,10.84,10.31,12.19,5.948,45,p,1.54,0.70,4.30,69.2,15.1,4.0,0.38
BKM Management,BKM,0.004,-,0.004,0.009,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.49,-0.5,0.47,0.49,5010,0.49,0.49,0.495,0.48,0.725,0.207,3.87,,-,-,7.90,-38.56,-,-0.5,-1.01
Funtastic Ltd,FUN,0.215,-0.5,0.215,0.22,259,0.215,0.215,0.22,0.21,0.30,0.105,-,,-,0.05,-,-49.5,-,0.5,2.38
Gale Pacific Ltd,GAP,0.17,-,0.16,0.195,-,-,-,0.185,0.16,0.205,0.035,-,,-,0.24,-,-6.75,-,-0.5,-2.86
