Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4942.2 at 16:42 8/1/2010  Report at 19:05 Friday 8/1/2010. Processed 19:41 Friday 8/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.029,-0.2,0.028,0.03,3231,0.03,0.029,0.031,0.029,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.1,-3.33
Advanced Engine,ACE,0.055,-,0.054,0.057,565,0.055,0.055,0.055,0.053,0.093,0.031,-,,-,-0.04,-,-1.9,-,0.3,5.77
Auto Tech Ltd,ATJ,0.049,0.3,0.041,0.049,1500,0.049,0.047,0.049,0.041,0.151,0.028,-,,-,0.01,-,-5.55,-,0.2,4.26
Berklee Ltd,BER,0.53,-,0.455,0.53,-,-,-,0.59,0.53,0.737,0.327,-,f,-,0.89,-,13,4.1,-6.0,-10.17
Coventry Grp,CYG,2.40,8,2.40,2.41,41,2.40,2.40,2.40,2.22,2.40,0.60,5,f,-,3.30,2.08,-3.6,-,15.0,6.67
Datadot Tech,DDT,0.041,-,0.039,0.041,4258,0.041,0.038,0.042,0.037,0.105,0.011,-,,-,0.01,-,-6.22,-,0.1,2.5
Fleetwood Corp,FWD,8.80,28,8.80,8.85,2202,8.90,8.60,8.90,7.96,8.90,3.36,66,f,1.04,2.63,7.50,68.7,12.8,81.0,10.14
Orbital Corp Ltd,OEC,0.054,-0.5,0.054,0.059,1555,0.058,0.054,0.059,0.054,0.115,0.03,-,,-,0.03,-,-0.51,-,-,-
Schaffer Corp Ltd,SFC,6.49,-,6.40,6.60,-,-,-,6.50,6.40,6.65,3.90,45,f,1.65,3.62,6.93,74.1,8.8,-1.0,-0.15
Supply Net,SNL,0.42,-,0.42,0.43,-,-,-,0.44,0.41,0.51,0.23,3,f,2.05,0.44,7.14,6.15,6.8,1.0,2.44
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.04,-,0.04,0.045,10399,0.042,0.04,0.042,0.038,0.08,0.035,-,,-,0.22,-,2,2.0,0.2,5.26
Atlantic Ltd,ATI,0.037,-0.1,0.036,0.037,17883,0.038,0.036,0.038,0.035,0.048,0.005,-,,-,0.01,-,-0.11,-,0.2,5.71
  opt dec11,ATIO,0.028,-0.1,0.028,0.029,23450,0.029,0.028,0.03,0.027,0.039,0.003,-,,-,-,-,-,-,0.1,3.7
Atlas Southsea Pearl,ATP,0.125,-2,0.125,0.135,580,0.13,0.125,0.145,0.125,0.22,0.075,-,,-,0.20,-,-4.39,-,-,-
AVJennings,AVJ,0.53,0.5,0.52,0.53,370,0.53,0.52,0.53,0.51,0.63,0.16,-,,-,1.04,-,-4.68,-,2.5,4.95
Billabong Intl,BBG,11.55,58,11.30,11.59,12184,11.71,11.14,11.71,10.91,12.19,5.815,45,p,1.54,0.70,3.90,69.2,16.7,60.0,5.48
BKM Management,BKM,0.006,-,0.004,0.009,-,-,-,0.006,0.006,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.50,0.5,0.495,0.51,951,0.50,0.495,0.50,0.47,0.806,0.207,3.87,,-,-,7.74,-38.56,-,-,-
Funtastic Ltd,FUN,0.225,1,0.22,0.225,4760,0.225,0.22,0.225,0.215,0.30,0.105,-,,-,0.05,-,-49.5,-,-,-
