FR GICSSEC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4389.0 at 2012-02-24T16:37:45. Report at Friday, February 24, 2012. Processed Saturday at 2012-02-25T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Automobiles & Components,,
Adv Braking Tech,ABV,.018,-,-,-,-,-,-,.018,.018,.03,.016,-,,-,.01,-,.06,30.0,-,Stdy,,
Autodom,AIE,.035,-,-,-,-,-,-,.036,.035,.065,.011,-,,-,.04,-,-5.95,-,-.1,-2.78,,
Berklee,BER,.43,-,-,-,-,-,-,.44,.43,.60,.40,2.00,f,-,1.19,4.65,-22.30,-,-,Stdy,,
DataDot Tech,DDT,.025,-,.025,.027,73,.025,.025,.027,.025,.047,.023,-,,-,.01,-,-.12,-,-.3,-10.71,,
Fleetwood Corp,FWD,12.67,-25,12.62,12.75,1252,12.79,12.25,13.38,12.25,13.60,9.53,74.00,f,1.25,2.52,5.84,92.80,13.7,-12,-.94,,
Orbital Corp,OEC,.28,+3,.28,.29,1630,.28,.26,.28,.25,.41,.24,-,,-,.36,-,3.65,7.7,+3.5,+14.29,,
Schaffer Corp,SFC,3.60,-,-,-,-,-,-,3.60,3.27,4.01,3.10,20.00,f,1.75,3.50,5.56,35.10,10.3,+25,+7.46,,
Sprintex,SIX,.03,-,-,-,-,-,-,.03,.03,.043,.018,-,,-,.02,-,-1.44,-,+.8,+36.36,,
  opt jun12,SIXOA,.01,-,-,-,-,-,-,.01,.01,.01,.01,-,,-,-,-,-,-,-,Stdy,,
Supply Net,SNL,.85,-,.81,.89,-,-,-,.89,.85,.90,.45,6.00,f,1.30,.42,7.06,7.82,10.9,-1,-1.16,,
Consumer Durables & Apparel,,
Atlas Southsea Pearl,ATP,.054,-,.054,.056,1633,.054,.054,.056,.052,.127,.050,-,,-,.15,-,.41,13.2,+.3,+5.88,,
Audio Pixels,AKP,6.75,-,6.75,6.93,-,-,-,6.90,6.70,9.65,3.50,-,,-,.20,-,-8.55,-,+11,+1.66,,
Billabong Int'l,BBG,2.91,+15,2.89,2.93,31488,2.97,2.75,2.97,2.72,8.55,1.70,16.00,,1.94,-.46,5.50,31.00,9.4,+29,+11.07,,
BKM Management,BKM,.004,-,-,-,-,-,-,.004,.004,.011,.002,-,,-,-,-,-.21,-,-,Stdy,,
Fisher & Paykel App,FPA,.31,+1.5,.31,.34,5,.31,.31,.34,.295,.495,.25,-,,-,-,-,2.19,14.2,-1.5,-4.62,,
Funtastic,FUN,.155,+.5,.15,.155,140,.155,.135,.155,.135,.19,.027,-,,-,-.11,-,-11.20,-,+1.5,+10.71,,
Gale Pacific,GAP,.26,+1,.26,.27,1000,.26,.26,.26,.25,.27,.165,2.20,f,1.15,.18,8.46,2.54,10.2,+1,+4.00,,
Gazal Corp,GZL,1.795,-.5,1.795,2.00,14,1.795,1.795,1.82,1.68,2.20,1.60,14.00,f,.97,.77,7.80,13.60,13.2,+11.5,+6.85,,
GLG Corp,GLE,.105,-,-,-,-,-,-,.105,.098,.30,.098,-,,-,.47,-,3.40,3.1,+.7,+7.14,,
Globe Int'l,GLB,.40,-,.35,.45,85,.40,.40,.40,.40,.63,.37,5.00,f,.53,.68,12.50,2.63,15.2,-,Stdy,,
