Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4831.5 at 16:35 12/3/2010  Report at 19:07 Friday 12/3/2010. Processed 19:26 Friday 12/3/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.02,-0.2,0.019,0.022,1000,0.02,0.02,0.022,0.019,0.038,0.005,-,,-,-,-,-0.32,-,-,-
Advanced Engine,ACE,0.047,-,0.048,0.052,-,-,-,0.053,0.047,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.3,-6
Auto Tech Ltd,ATJ,0.051,-,0.05,0.054,-,-,-,0.055,0.05,0.151,0.028,-,,-,0.02,-,-4.29,-,-0.1,-1.92
  opt jun11,ATJO,-,-,0.002,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.45,4.5,0.45,0.475,60,0.45,0.45,0.45,0.405,0.737,0.35,-,,-,1.23,-,19.64,2.3,4.5,11.11
Datadot Tech,DDT,0.044,-0.1,0.045,0.046,13470,0.048,0.044,0.05,0.041,0.105,0.011,-,,-,0.01,-,-0.86,-,0.3,7.32
Fleetwood Corp,FWD,7.85,-13,7.82,7.98,1427,8.10,7.80,8.13,7.80,9.00,4.19,66,f,0.98,2.12,8.41,64.7,12.1,-1.0,-0.13
Orbital Corp Ltd,OEC,0.041,-,0.04,0.043,-,-,-,0.045,0.039,0.115,0.032,-,,-,0.02,-,-0.51,-,-,-
Schaffer Corp Ltd,SFC,6.55,5,6.45,6.55,11,6.60,6.54,6.60,6.40,6.73,3.91,40,f,1.89,3.62,6.11,75.7,8.7,15.0,2.34
Supply Net,SNL,0.355,-0.5,0.355,0.37,401,0.36,0.355,0.36,0.355,0.51,0.23,3,f,1.91,0.40,8.45,5.74,6.2,-0.5,-1.39
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.022,-,0.022,0.023,2093,0.022,0.022,0.025,0.021,0.058,0.021,-,,-,0.12,-,-7.66,-,0.1,4.76
Atlantic Ltd,ATI,0.029,-0.2,0.027,0.029,15130,0.029,0.028,0.031,0.027,0.048,0.006,-,,-,0.01,-,-0.12,-,-,-
  opt dec11,ATIO,0.017,-,0.017,0.019,9000,0.018,0.017,0.018,0.016,0.039,0.003,-,,-,-,-,-,-,-0.1,-5.56
Atlas Southsea Pearl,ATP,0.125,0.5,0.125,0.13,100,0.125,0.125,0.13,0.115,0.16,0.08,-,,-,0.13,-,-6.75,-,1.0,8.7
Billabong Intl,BBG,10.60,-27,10.54,10.62,12007,10.74,10.52,10.95,10.51,12.19,6.884,36,p,1.59,0.84,3.40,57.2,18.5,-6.0,-0.56
BKM Management,BKM,0.01,0.1,0.01,0.011,4421,0.011,0.01,0.013,0.009,0.013,0.003,-,,-,-,-,-0.2,-,0.6,150
Fisher & Paykel App,FPA,0.495,-,0.49,0.495,33,0.495,0.495,0.50,0.48,0.725,0.207,3.87,,-,-,7.82,-38.56,-,1.5,3.13
Funtastic Ltd,FUN,0.20,-,0.20,0.21,744,0.20,0.195,0.21,0.195,0.30,0.11,-,,-,0.01,-,-25,-,-1.0,-4.76
Gale Pacific Ltd,GAP,0.17,-1,0.165,0.18,1405,0.17,0.155,0.18,0.155,0.205,0.036,-,,-,0.24,-,3.11,5.5,2.0,13.33
