Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4404.1 at 16:38 27/8/2010  Report at 19:06 Friday 27/8/2010. Processed 11:35 Saturday 28/8/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-0.2,0.018,0.02,6450,0.02,0.018,0.02,0.017,0.038,0.016,-,,-,-,-,-0.32,-,-0.2,-10,
Advanced Engine,ACE,0.033,-,0.033,0.037,-,-,-,0.033,0.033,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.045,-0.5,0.045,0.05,100,0.045,0.045,0.05,0.045,0.07,0.04,-,,-,0.02,-,-4.29,-,-0.5,-10,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.53,1,0.53,0.58,400,0.53,0.51,0.53,0.51,0.737,0.35,-,,-,1.23,-,19.64,2.7,1.0,1.92,
Datadot Tech,DDT,0.038,0.3,0.035,0.037,3550,0.038,0.037,0.039,0.035,0.105,0.017,-,,-,0.01,-,0.27,14.1,0.4,11.76,
Fleetwood Corp,FWD,9.87,5,9.85,9.92,1330,9.94,9.76,9.94,9.65,10.13,7.05,68,f,0.95,2.12,6.89,64.7,15.3,15.0,1.54,
Orbital Corp Ltd,OEC,0.035,0.3,0.035,0.036,1698,0.036,0.032,0.039,0.031,0.07,0.025,-,,-,0.02,-,-0.51,-,0.4,12.9,
Schaffer Corp Ltd,SFC,4.85,24,4.67,4.85,50,4.85,4.85,4.85,4.61,6.73,4.50,40,f,0.80,3.50,8.25,31.9,15.2,1.0,0.21,
Supply Net,SNL,0.42,-,0.42,0.45,-,-,-,0.42,0.415,0.51,0.24,3,f,1.91,0.40,7.14,5.74,7.3,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.014,0.018,-,-,-,0.018,0.018,0.047,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlas Southsea Pearl,ATP,0.105,-1.5,0.10,0.125,1430,0.11,0.10,0.12,0.10,0.145,0.08,-,,-,0.13,-,-6.75,-,-0.5,-4.55,
Billabong Intl,BBG,7.47,3,7.45,7.50,11436,7.61,7.42,7.99,7.31,12.32,7.31,36,p,1.62,0.40,4.82,58.3,12.8,-56.0,-6.97,
BKM Management,BKM,0.009,-,0.009,0.01,-,-,-,0.011,0.009,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Energio Ltd,EIO,0.01,-,0.009,0.01,79000,0.01,0.009,0.012,0.009,0.013,0.006,-,,-,-0.02,-,-1.4,-,-0.1,-9.09,
  opt mar13,EIOO,-,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.405,-0.5,0.405,0.41,682,0.405,0.405,0.42,0.40,0.66,0.395,-,,-,-,-,-10.54,-,0.5,1.25,
Funtastic Ltd,FUN,0.20,-,0.20,0.205,-,-,-,0.21,0.20,0.30,0.16,-,,-,0.01,-,-25,-,-,-,
Gale Pacific Ltd,GAP,0.21,-,0.195,0.21,500,0.21,0.21,0.21,0.20,0.21,0.075,-,,-,0.24,-,3.11,6.8,2.0,10.53,
Gazal Corp,GZL,1.64,-,1.68,1.71,-,-,-,1.64,1.60,1.64,1.20,11,f,1.46,0.79,6.71,16.1,10.2,4.0,2.5,
GLG Corp Ltd,GLE,0.24,-,0.24,0.32,-,-,-,0.28,0.24,0.40,0.24,-,,-,0.49,-,7.78,3.1,-4.0,-14.29,
Globe Intl,GLB,0.75,4,0.75,0.80,270,0.75,0.75,0.75,0.70,0.75,0.385,5,f,0.62,0.70,6.67,3.12,24.0,5.0,7.14,
GUD Hldgs,GUD,9.34,-1,9.32,9.36,817,9.40,9.30,9.49,9.21,10.62,7.79,62,f,1.23,1.92,6.64,76.5,12.2,2.0,0.21,
Headline Grp Ltd,HLD,0.37,-,0.355,0.37,648,0.37,0.355,0.395,0.35,0.41,0.135,-,,-,0.08,-,-1.79,-,-2.0,-5.13,
Island Sky Aust,ISK,0.025,-,0.02,0.024,-,-,-,0.025,0.025,0.201,0.022,-,,-,0.03,-,-2.07,-,-,-,
  opt nov11,ISKO,0.025,-,0.003,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.38,2,0.36,0.38,-,0.38,0.38,0.385,0.36,0.46,0.18,3.5,f,1.35,0.17,9.21,4.72,8.1,-0.5,-1.3,
McPherson's Ltd,MCP,2.90,-1,2.90,2.92,2921,2.92,2.90,3.00,2.76,3.48,2.09,20,f,1.48,0.02,6.90,29.6,9.8,5.0,1.75,
Merchant House,MHI,0.18,-,0.165,0.18,-,-,-,0.18,0.17,0.18,0.12,1.5,,2.84,0.25,8.33,4.26,4.2,1.0,5.88,
Mesbon China Nylon,MES,0.145,1.5,0.14,0.145,827,0.145,0.14,0.145,0.13,0.145,0.085,0.5,,4.08,0.32,3.45,2.04,7.1,-,-,
Photo-Me Aust,PTO,0.003,-,0.002,0.005,-,-,-,0.003,0.003,0.009,0.002,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.091,-,0.091,0.093,-,-,-,0.093,0.09,0.335,0.063,-,,-,0.03,-,2.41,3.8,-0.2,-2.15,
Shenhua Ltd,SHU,0.49,-,0.45,0.47,-,-,-,0.49,0.49,0.54,0.45,-,,-,-,-,5.2,9.4,-,-,
Tamawood Ltd,TWD,2.42,-,2.41,2.42,-,-,-,2.44,2.41,2.76,2.034,21,f,1.32,0.91,8.68,27.66,8.7,1.0,0.41,
Thomas Bryson Int,TBI,0.30,-,-,0.30,-,-,-,0.35,0.30,0.53,0.30,1,,-,-,3.33,-2.26,-,-5.0,-14.29,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.046,-,0.051,0.14,-,-,-,0.046,0.046,0.175,0.046,-,,-,0.31,-,-5.24,-,-0.5,-9.8,
Undercoverwear,UCW,0.19,-,0.16,0.20,-,-,-,0.20,0.19,0.35,0.185,2.25,f,-,0.09,11.84,-5.65,-,-1.0,-5,
Vmoto Ltd,VMT,0.11,1,0.105,0.11,3807,0.11,0.105,0.11,0.10,0.215,0.10,-,,-,0.02,-,-1.07,-,0.5,4.76,
Waterco Ltd,WAT,1.10,-,1.10,1.51,-,-,-,1.10,1.05,1.10,0.80,8,f,1.29,1.26,7.27,10.3,10.7,5.0,4.76,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.16,-,0.13,0.15,33,0.16,0.16,0.175,0.12,0.22,0.08,-,,-,0.01,-,-4.95,-,4.0,33.33,
Aircruising Aust,AIG,0.065,-,0.055,0.08,-,-,-,0.065,0.065,0.11,0.065,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.03,-,0.029,0.03,-,-,-,0.032,0.027,0.195,0.024,0.5,,4.60,0.06,16.67,2.3,1.3,-0.2,-6.25,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.58,13,3.56,3.58,22615,3.59,3.35,3.65,3.35,5.75,3.34,3.5,,-,0.15,0.98,-15,-,15.0,4.37,
Artist & Entertain,AEM,0.008,-,0.008,0.01,-,-,-,0.009,0.008,0.025,0.007,-,,-,-,-,-1.54,-,-0.1,-11.11,
Centrebet Internat,CIL,1.655,5.5,1.655,1.67,1211,1.69,1.63,1.69,1.47,1.89,1.05,13.5,f,0.79,0.11,8.16,10.7,15.5,17.5,11.82,
Crown Ltd,CWN,8.41,-8,8.33,8.47,26456,8.51,8.34,8.60,8.22,9.39,7.41,37,p,1.04,3.42,4.40,38.54,21.8,2.0,0.24,
Domino Pizza Enterpr,DMP,5.40,7,5.33,5.60,29,5.40,5.39,5.516,5.30,5.764,3.776,14.4,f,1.82,0.70,2.67,26.2,20.6,-10.6,-1.92,
eBet Ltd,EBT,0.082,-0.7,0.082,0.093,1174,0.082,0.082,0.093,0.082,0.105,0.065,-,,-,-0.01,-,0.52,15.8,-1.1,-11.83,
Eumundi Grp Ltd,EBG,0.046,0.2,0.046,0.07,163,0.046,0.046,0.046,0.044,0.08,0.03,-,,-,0.19,-,-6,-,0.2,4.55,
Flight Centre,FLT,19.03,-7,18.75,19.07,1298,19.18,18.62,19.29,18.20,21.43,13.07,70,f,2.00,3.07,3.68,140.3,13.6,71.0,3.88,
G8 Education Ltd,GEM,0.63,-1.5,0.62,0.63,10,0.63,0.63,0.68,0.63,0.69,0.076,-,,-,-0.13,-,2.12,29.7,-6.0,-8.7,
Garratt's Ltd,GRT,0.365,-,0.37,0.50,-,-,-,0.365,0.365,0.56,0.305,3,,1.43,0.15,8.22,4.28,8.5,-,-,
Integrated Legal,IAW,0.11,-,0.11,0.13,200,0.11,0.11,0.11,0.105,0.165,0.091,0.75,f,1.57,0.07,6.82,1.18,9.3,0.5,4.76,
Invocare Ltd,IVC,6.26,9,6.18,6.39,3058,6.35,6.12,6.35,6.02,6.50,5.33,26.75,f,1.31,0.47,4.27,35.1,17.8,2.0,0.32,
Jetset Travelworld,JET,0.675,-3.5,0.675,0.73,60,0.68,0.675,0.71,0.675,1.70,0.63,1.6,,2.49,0.13,2.37,3.98,17.0,-1.5,-2.17,
Kip McGrath Edu Cntr,KME,0.30,-,0.26,0.29,-,-,-,0.31,0.30,0.45,0.26,2,,8.59,-0.10,6.67,17.19,1.7,-1.0,-3.23,
Macro Corp Ltd,MAC,0.031,-,0.003,0.038,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.006,-,0.005,0.006,-,-,-,0.006,0.005,0.044,0.005,-,,-,-0.32,-,0.34,1.8,-0.1,-14.29,
Navitas Ltd,NVT,4.45,-5,4.40,4.50,637,4.50,4.42,4.56,4.40,5.56,3.22,18.8,f,1.00,-0.23,4.22,18.8,23.7,-2.0,-0.45,
Newhaven Hotels,NHH,1.89,-,1.89,2.50,-,-,-,1.89,1.89,1.96,1.75,6,f,0.96,1.09,3.17,5.74,32.9,-,-,
Ocean Capital,OCE,0.20,-,0.20,0.35,-,-,-,0.20,0.20,0.40,0.20,1.5,,0.93,0.41,7.50,1.39,14.4,-,-,
Odyssey Gaming,ODG,0.03,-,0.02,-,-,-,-,0.03,0.03,0.07,0.03,-,,-,0.06,-,0.23,13.0,-,-,
Planet Platinum,PPN,0.22,2,0.20,0.22,-,0.22,0.22,0.22,0.20,0.30,0.16,2.06,,2.17,0.21,9.36,4.46,4.9,2.0,10,
Qld Trustees Invest,QTI,0.36,1,0.34,0.38,150,0.36,0.36,0.36,0.35,0.50,0.33,-,,-,0.78,-,1.02,35.3,-3.0,-7.69,
Reef Casino Tr unt,RCT,1.78,-,1.75,1.80,-,-,-,1.85,1.75,2.15,1.70,24,,1.89,1.98,13.48,45.4,3.9,-7.0,-3.78,
Retail Food Grp,RFG,2.50,4,2.46,2.50,412,2.50,2.50,2.53,2.45,3.10,2.11,11.75,f,2.15,-0.64,4.70,25.3,9.9,-2.0,-0.79,
Sino Strategic Intl,SSI,0.28,-,-,-,-,-,-,0.28,0.28,0.92,0.18,-,,-,-0.05,-,-67,-,-,-,
