Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4972.9 at 16:33 9/4/2010  Report at 19:07 Friday 9/4/2010. Processed 19:24 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.025,0.3,0.022,0.025,2800,0.025,0.025,0.03,0.021,0.038,0.009,-,,-,-,-,-0.32,-,0.2,8.7
Advanced Engine,ACE,0.046,-,0.046,0.049,260,0.046,0.046,0.049,0.046,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.1,-2.13
Auto Tech Ltd,ATJ,0.041,-0.1,0.044,0.051,20,0.041,0.041,0.05,0.041,0.151,0.028,-,,-,0.02,-,-4.29,-,-0.9,-18
  opt jun11,ATJO,0.01,-,0.01,-,1200,0.01,0.01,0.01,0.01,0.01,0.01,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.43,2.5,0.43,0.46,1,0.43,0.43,0.43,0.405,0.737,0.35,-,,-,1.23,-,19.64,2.2,2.5,6.17
Datadot Tech,DDT,0.039,-,0.038,0.04,3450,0.04,0.039,0.04,0.039,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.1,-2.5
Fleetwood Corp,FWD,9.39,7,9.32,9.40,839,9.43,9.24,9.50,9.17,9.50,5.30,66,f,0.98,2.12,7.03,64.7,14.5,24.0,2.62
Orbital Corp Ltd,OEC,0.041,-,0.041,0.044,-,-,-,0.041,0.04,0.115,0.039,-,,-,0.02,-,-0.51,-,0.1,2.5
Schaffer Corp Ltd,SFC,6.02,-12,6.02,6.11,127,6.14,6.02,6.14,6.02,6.73,3.99,40,f,1.89,3.62,6.64,75.7,8.0,-10.0,-1.63
Supply Net,SNL,0.35,-2,0.33,0.35,30,0.35,0.35,0.37,0.33,0.51,0.23,3,f,1.91,0.40,8.57,5.74,6.1,2.0,6.06
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.018,0.021,-,-,-,0.019,0.018,0.058,0.018,-,,-,0.12,-,-7.66,-,-0.1,-5.26
Atlantic Ltd,ATI,0.038,0.8,0.037,0.038,477752,0.041,0.032,0.041,0.029,0.048,0.006,-,,-,0.01,-,-0.12,-,0.7,22.58
  opt dec11,ATIO,0.028,0.7,0.027,0.028,66193,0.029,0.022,0.029,0.02,0.039,0.003,-,,-,-,-,-,-,0.8,40
Atlas Southsea Pearl,ATP,0.12,-,0.12,0.13,40,0.12,0.12,0.125,0.12,0.16,0.085,-,,-,0.13,-,-6.75,-,1.0,9.09
Billabong Intl,BBG,11.24,-2,11.14,11.25,3249,11.24,11.15,11.39,11.08,12.19,7.64,36,p,1.59,0.84,3.20,57.2,19.7,2.0,0.18
BKM Management,BKM,0.011,-0.2,0.011,0.014,60,0.011,0.011,0.013,0.01,0.013,0.003,-,,-,-,-,-0.2,-,0.1,10
Fisher & Paykel App,FPA,0.47,-,0.465,0.475,214,0.475,0.465,0.475,0.465,0.725,0.238,-,,-,-,-,-38.56,-,-,-
Funtastic Ltd,FUN,0.25,-,0.25,0.255,3982,0.255,0.245,0.27,0.225,0.30,0.125,-,,-,0.01,-,-25,-,2.0,8.7
Gale Pacific Ltd,GAP,0.17,-,0.17,0.175,1854,0.17,0.17,0.175,0.17,0.205,0.046,-,,-,0.24,-,3.11,5.5,-,-
