Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 08:13 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,-0.2,0.03,0.032,200,0.03,0.03,0.032,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.1,-3.23
Advanced Engine,ACE,0.059,-,0.059,0.067,-,-,-,0.06,0.059,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.1,-1.67
Auto Tech Ltd,ATJ,0.057,-0.1,0.05,0.057,87,0.057,0.057,0.058,0.052,0.151,0.028,-,,-,0.01,-,-5.55,-,0.1,1.79
Berklee Ltd,BER,0.59,-,0.40,0.56,-,-,-,0.59,0.52,0.737,0.297,-,f,-,0.89,-,13,4.5,6.0,11.32
Coventry Grp,CYG,2.15,-,2.15,2.25,318,2.15,2.15,2.17,2.06,2.35,0.60,5,f,-,3.30,2.33,-3.6,-,-14.0,-6.11
Datadot Tech,DDT,0.046,0.2,0.044,0.047,2934,0.046,0.044,0.049,0.042,0.105,0.011,-,,-,0.01,-,-6.22,-,-0.2,-4.17
Fleetwood Corp,FWD,7.49,11,7.48,7.50,1028,7.53,7.40,7.65,7.35,8.86,3.27,66,f,1.04,2.63,8.81,68.7,10.9,-7.0,-0.93
Orbital Corp Ltd,OEC,0.053,-,0.053,0.058,-,-,-,0.053,0.051,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.7,-11.67
Schaffer Corp Ltd,SFC,6.28,-,6.26,6.28,48,6.28,6.28,6.29,6.28,6.65,3.90,45,f,1.65,3.62,7.17,74.1,8.5,-1.0,-0.16
Supply Net,SNL,0.47,-,0.44,0.47,-,-,-,0.51,0.47,0.51,0.23,3,f,2.05,0.44,6.38,6.15,7.6,-,0
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.054,-,0.046,0.054,400,0.054,0.054,0.055,0.045,0.08,0.038,-,,-,0.22,-,2,2.7,0.7,14.89
Atlantic Ltd,ATI,0.035,0.1,0.033,0.034,10030,0.035,0.032,0.038,0.032,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.2,-5.41
  opt dec11,ATIO,0.024,0.1,0.024,0.026,1500,0.024,0.024,0.027,0.023,0.039,0.003,-,,-,-,-,-,-,-0.3,-11.11
Atlas Southsea Pearl,ATP,0.105,-,0.105,0.12,100,0.105,0.105,0.115,0.105,0.22,0.075,2,,-,0.20,19.05,-4.39,-,-1.0,-8.7
AVJennings,AVJ,0.49,-3,0.49,0.505,703,0.505,0.48,0.54,0.48,0.63,0.16,2,,-,1.04,4.08,-4.68,-,-5.0,-9.26
Billabong Intl,BBG,10.88,-,10.70,10.91,4160,11.05,10.70,11.38,10.67,12.19,5.815,45,p,1.54,0.70,4.14,69.2,15.7,36.0,3.42
BKM Management,BKM,0.011,-,0.007,0.011,-,-,-,0.011,0.006,0.011,0.003,-,,-,-,-,-0.25,-,0.5,83.33
Fisher & Paykel App,FPA,0.455,-0.5,0.455,0.46,176,0.465,0.455,0.47,0.445,0.806,0.207,3.87,,-,-,8.51,-38.56,-,-,-
