Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:27 Friday 15/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,0.1,0.027,0.03,12698,0.03,0.027,0.03,0.027,0.038,0.005,-,,-,0.01,-,-0.36,-,0.1,3.45
Advanced Engine,ACE,0.054,-,0.054,0.057,-,-,-,0.055,0.054,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.1,-1.82
Auto Tech Ltd,ATJ,0.045,-,0.031,0.045,-,-,-,0.049,0.04,0.151,0.028,-,,-,0.01,-,-5.55,-,-0.4,-8.16
Berklee Ltd,BER,0.50,-,0.475,0.50,229,0.50,0.48,0.53,0.45,0.737,0.357,-,f,-,0.89,-,13,3.8,-3.0,-5.66
Coventry Grp,CYG,2.41,1,2.41,2.49,415,2.45,2.40,2.45,2.32,2.45,0.60,5,f,-,3.30,2.07,-3.6,-,1.0,0.42
Datadot Tech,DDT,0.036,-0.1,0.035,0.036,2542,0.037,0.035,0.041,0.035,0.105,0.011,-,,-,0.01,-,-6.22,-,-0.5,-12.2
Fleetwood Corp,FWD,8.80,-,8.75,8.85,1048,8.89,8.73,9.00,8.64,9.00,3.36,66,f,1.04,2.63,7.50,68.7,12.8,-,-
Orbital Corp Ltd,OEC,0.05,-,0.049,0.055,-,-,-,0.055,0.049,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.4,-7.41
Schaffer Corp Ltd,SFC,6.50,-,6.44,6.60,15,6.50,6.50,6.50,6.49,6.65,3.90,45,f,1.65,3.62,6.92,74.1,8.8,1.0,0.15
Supply Net,SNL,0.40,2,0.38,0.40,340,0.40,0.38,0.42,0.38,0.51,0.23,3,f,2.05,0.44,7.50,6.15,6.5,-2.0,-4.76
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.041,-,0.041,0.044,-,-,-,0.041,0.04,0.08,0.035,-,,-,0.22,-,2,2.0,0.1,2.5
Atlantic Ltd,ATI,0.036,0.1,0.035,0.036,16989,0.036,0.035,0.038,0.034,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.1,-2.7
  opt dec11,ATIO,0.026,0.1,0.025,0.026,11198,0.027,0.025,0.028,0.025,0.039,0.003,-,,-,-,-,-,-,-0.2,-7.14
Atlas Southsea Pearl,ATP,0.135,-,0.13,0.135,130,0.135,0.135,0.135,0.125,0.205,0.075,-,,-,0.20,-,-4.39,-,1.0,8
AVJennings,AVJ,0.525,4,0.50,0.525,405,0.53,0.505,0.53,0.485,0.63,0.16,-,,-,1.04,-,-4.68,-,-0.5,-0.94
Billabong Intl,BBG,11.79,-11,11.52,11.84,10512,11.90,11.52,11.96,11.30,12.19,5.815,45,p,1.54,0.70,3.82,69.2,17.0,24.0,2.08
BKM Management,BKM,0.006,-,0.004,0.009,-,-,-,0.006,0.006,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.51,0.5,0.50,0.51,46,0.51,0.51,0.51,0.495,0.771,0.207,3.87,,-,-,7.59,-38.56,-,1.0,2
Funtastic Ltd,FUN,0.235,-0.5,0.235,0.245,2189,0.24,0.235,0.24,0.22,0.30,0.105,-,,-,0.05,-,-49.5,-,1.0,4.44
