Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4472.4 at 16:37 4/6/2010  Report at 19:06 Friday 4/6/2010. Processed 19:34 Friday 4/6/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-0.1,0.018,0.019,464,0.019,0.018,0.021,0.018,0.038,0.009,-,,-,-,-,-0.32,-,-0.3,-14.29,
Advanced Engine,ACE,0.032,-,0.035,0.039,-,-,-,0.037,0.032,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.5,-13.51,
Auto Tech Ltd,ATJ,0.05,-0.4,0.041,0.054,705,0.052,0.05,0.054,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-0.4,-7.41,
  opt jun11,ATJO,0.01,-,0.003,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.44,-,0.43,0.495,-,-,-,0.44,0.44,0.737,0.35,-,,-,1.23,-,19.64,2.2,-,-,
Datadot Tech,DDT,0.036,-,0.035,0.036,2435,0.036,0.035,0.038,0.032,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.1,-2.7,
Fleetwood Corp,FWD,8.72,-14,8.60,8.85,1072,8.82,8.61,8.86,8.39,9.74,5.30,66,f,0.98,2.12,7.57,64.7,13.5,2.0,0.23,
Orbital Corp Ltd,OEC,0.032,-,-,-,-,-,-,0.032,0.032,0.093,0.03,-,,-,0.02,-,-0.51,-,0.1,3.23,
Schaffer Corp Ltd,SFC,5.50,-,5.40,5.50,-,-,-,5.50,5.50,6.73,4.10,40,f,1.89,3.62,7.27,75.7,7.3,-,-,
Supply Net,SNL,0.38,-,0.36,0.375,-,-,-,0.38,0.36,0.51,0.24,3,f,1.91,0.40,7.89,5.74,6.6,4.0,11.76,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.01,-,0.008,0.01,6650,0.01,0.009,0.012,0.008,0.058,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.04,0.1,0.039,0.04,21765,0.04,0.038,0.043,0.036,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.3,-6.98,
  opt dec11,ATIO,0.03,-,0.029,0.032,300,0.03,0.03,0.034,0.03,0.058,0.003,-,,-,-,-,-,-,-0.4,-11.76,
Atlas Southsea Pearl,ATP,0.105,-,0.12,0.13,-,-,-,0.11,0.10,0.145,0.085,-,,-,0.13,-,-6.75,-,0.5,5,
Billabong Intl,BBG,9.75,14,9.70,9.80,36323,9.84,9.54,10.17,9.51,12.32,7.93,36,p,1.59,0.84,3.69,57.2,17.0,-37.0,-3.66,
BKM Management,BKM,0.005,-,0.006,0.007,-,-,-,0.005,0.005,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.445,-,0.445,0.455,1686,0.445,0.44,0.46,0.435,0.715,0.435,-,,-,-,-,-10.54,-,0.5,1.14,
Funtastic Ltd,FUN,0.23,-,0.23,0.235,995,0.235,0.225,0.235,0.225,0.30,0.125,-,,-,0.01,-,-25,-,-,-,
Gale Pacific Ltd,GAP,0.14,-,0.14,0.16,-,-,-,0.14,0.14,0.205,0.054,-,,-,0.24,-,3.11,4.5,-,-,
