Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4754.5 at 16:47 9/10/2009 Report at 19:41 Friday 9/10/2009. Processed 00:48 Saturday 10/10/2009.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: CONSUMER DISCRETIONARY,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: AUTOMOBILES & COMPONENTS,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.026,-,0.021,0.026,2700,0.027,0.026,0.028,0.026,0.038,0.005,-,,-,0.01,-,-0.36,-,0.1,4,
Advanced Engine,ACE,0.053,-,0.051,0.053,-,-,-,0.055,0.053,0.14,0.031,-,,-,-0.04,-,-1.9,-,-0.3,-5.36,
Auto Tech Ltd,ATJ,0.05,-,0.055,0.067,2096,0.05,0.05,0.05,0.046,0.206,0.028,-,,-,0.01,-,-5.55,-,-,-,
 def,ATJN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.54,-0.5,0.52,0.53,30,0.54,0.54,0.545,0.465,0.62,0.25,-,f,-,0.89,-,13,4.2,6.5,13.68,
Coventry Grp,CYG,1.66,-,1.61,1.66,284,1.665,1.62,1.67,1.62,2.02,0.60,5,f,-,3.30,3.01,-3.6,-,-1.0,-0.6,
Datadot Tech,DDT,0.082,3.1,0.082,0.083,1607843,0.085,0.047,0.105,0.047,0.105,0.011,-,,-,0.01,-,-6.22,-,1.0,13.89,
Fleetwood Corp,FWD,8.34,3,8.33,8.40,857,8.40,8.15,8.65,8.15,8.86,3.119,66,f,1.04,2.63,7.91,68.7,12.1,7.0,0.85,
Orbital Corp Ltd,OEC,0.06,-,0.056,0.059,874,0.06,0.06,0.064,0.06,0.115,0.03,-,,-,0.03,-,-0.51,-,0.4,7.14
Schaffer Corp Ltd,SFC,6.00,10,5.86,6.00,125,6.00,6.00,6.00,5.60,6.00,3.90,45,f,1.65,3.62,7.50,74.1,8.1,35.0,6.19
Supply Net,SNL,0.365,-,0.355,0.365,95,0.365,0.365,0.365,0.36,0.39,0.25,3,f,2.05,0.44,8.22,6.15,5.9,1.5,4.29
INDUSTRY GROUP: CONSUMER DURABLES & APPAREL,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.059,-,0.056,0.059,-,-,-,0.06,0.059,0.085,0.036,-,,-,0.22,-,2,2.9,-0.1,-1.67
Atlantic Ltd,ATI,0.035,-0.3,0.035,0.037,21304,0.038,0.035,0.04,0.035,0.042,0.005,-,,-,0.01,-,-0.11,-,-0.2,-5.41
 opt dec11,ATIO,0.025,-0.3,0.025,0.028,37423,0.029,0.025,0.029,0.024,0.031,0.003,-,,-,-,-,-,-,-0.2,-7.41
Atlas Southsea Pearl,ATP,0.12,-,0.12,0.125,-,-,-,0.135,0.12,0.34,0.075,2,,-,0.20,16.67,-4.39,-,-1.0,-7.69
AVJennings,AVJ,0.49,4.5,0.49,0.495,434,0.49,0.485,0.50,0.41,0.50,0.16,2,,-,1.04,4.08,-4.68,-,10.0,25.64
Billabong Intl,BBG,11.72,-23,11.50,11.75,15658,11.95,11.53,11.97,11.16,12.307,5.815,45,p,1.54,0.70,3.84,69.2,16.9,35.0,3.08
BKM Management,BKM,0.006,-,0.005,0.009,-,-,-,0.008,0.006,0.009,0.003,-,,-,-,-,-0.25,-,-0.2,-25
Fisher & Paykel App,FPA,0.555,-,0.555,0.565,164,0.56,0.555,0.575,0.54,0.919,0.207,3.87,,-,0.01,6.97,-27.37,-,-,-
Funtastic Ltd,FUN,0.205,-0.5,0.205,0.21,1716,0.215,0.205,0.215,0.20,0.30,0.105,-,,-,0.05,-,-49.5,-,-0.5,-2.38
Gale Pacific Ltd,GAP,0.12,-,0.10,0.135,-,-,-,0.12,0.095,0.183,0.035,-,,-,0.24,-,-6.75,-,2.5,26.32
Gazal Corp,GZL,1.20,-,1.22,1.40,-,-,-,1.44,1.20,1.55,0.85,8,f,1.41,0.60,6.67,11.3,10.6,-24.0,-16.67
GLG Corp Ltd,GLE,0.26,-,0.21,0.27,-,-,-,0.26,0.26,0.32,0.13,-,,-,0.45,-,3.55,7.3,-,-
Globe Intl,GLB,0.45,-,0.25,0.49,-,-,-,0.495,0.45,0.50,0.125,-,,-,0.70,-,-21.39,-,-,-
GUD Hldgs,GUD,8.48,-14,8.45,8.70,2203,8.84,8.45,8.84,8.31,9.39,3.30,60,f,1.00,0.66,7.08,60,14.1,3.0,0.36
Headline Grp Ltd,HLD,0.15,-,0.145,0.15,-,-,-,0.15,0.15,0.15,0.08,-,,-,0.12,-,-1.31,-,0.5,3.45
Island Sky Aust,ISK,0.185,-,0.185,0.20,45,0.185,0.185,0.20,0.185,0.42,0.135,-,,-,0.08,-,0.63,29.4,-0.5,-2.63
Kresta Hldgs,KRS,0.18,-1,0.18,0.22,1557,0.195,0.18,0.21,0.18,0.225,0.08,1,f,2.68,0.16,5.56,2.68,6.7,-1.0,-5.26
McPherson's Ltd,MCP,2.84,13,2.77,2.85,5248,2.85,2.73,2.85,2.59,2.91,0.27,13,,2.32,-0.52,4.58,30.2,9.4,5.0,1.79
Merchant House,MHI,0.13,-,0.13,0.135,-,-,-,0.13,0.13,0.16,0.08,1,,3.04,0.30,7.69,3.04,4.3,-,-
Mesbon China Nylon,MES,0.11,1,0.10,0.11,550,0.11,0.105,0.11,0.095,0.14,0.04,2,,-,0.32,18.18,-1.3,-,1.5,15.79
Photo-Me Aust,PTO,0.01,-,0.007,0.01,-,-,-,0.01,0.01,0.05,0.006,-,,-,-0.02,-,-2.5,-,-,-
 opt jul11,PTOO,0.001,-,-,0.005,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.225,-1,0.225,0.235,1056,0.23,0.225,0.27,0.225,0.42,0.068,-,,-,0.02,-,2.97,7.6,-2.5,-10
Shenhua Ltd,SHU,0.48,-,-,0.50,-,-,-,0.48,0.48,0.55,0.48,-,,-,-,-,-,-,-,-
Tamawood Ltd,TWD,2.70,2,2.70,2.75,826,2.75,2.69,2.75,2.65,2.75,1.50,21,f,1.16,1.06,7.78,24.35,11.1,12.0,4.65
Thomas Bryson Int,TBI,0.52,-,-,0.60,-,-,-,0.52,0.52,0.57,0.50,-,,-,-,-,-,-,-,-
Treyo Leisure,TYO,0.28,-,0.28,0.30,-,-,-,0.28,0.28,0.28,0.25,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.115,-,0.09,0.12,-,-,-,0.12,0.115,0.31,0.07,3.5,,-,0.33,30.43,-6.18,-,-0.5,-4.17
Undercoverwear,UCW,0.27,2,0.26,0.315,300,0.27,0.26,0.27,0.245,0.42,0.16,2,f,-,0.10,7.41,-4.72,-,1.0,3.85
Vmoto Ltd,VMT,0.175,1,0.17,0.175,26355,0.175,0.165,0.175,0.145,0.175,0.03,-,,-,0.01,-,-1.27,-,3.5,25
Waterco Ltd,WAT,0.95,-,0.96,1.10,-,-,-,0.95,0.95,0.95,0.48,5,f,1.60,1.36,5.26,8,11.9,-,-
INDUSTRY GROUP: HOTELS RESTAURANTS & LEISURE,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.17,-,0.17,0.19,2554,0.175,0.16,0.175,0.135,0.175,0.04,-,,-,0.02,-,-4.45,-,3.5,25.93
Aircruising Aust,AIG,0.10,-,-,0.11,-,-,-,0.10,0.10,0.13,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.145,-,0.14,0.145,1316,0.145,0.14,0.155,0.14,0.385,0.10,0.5,f,5.60,0.05,3.45,2.8,5.2,-1.0,-6.45
 opt dec10,ABQO,0.001,-,0.005,0.10,-,-,-,0.001,0.001,0.08,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,5.38,-7,5.36,5.41,20141,5.55,5.32,5.75,5.19,6.77,3.16,14.5,f,-,0.35,2.70,-0.2,-,21.0,4.06
Artist & Entertain,AEM,0.019,-,0.016,0.019,-,-,-,0.02,0.019,0.05,0.003,-,,-,-,-,2.83,0.7,-0.1,-5
Capital Intelligence,CPT,0.02,-0.1,0.011,0.02,1000,0.02,0.02,0.021,0.02,0.06,0.003,-,,-,-,-,0.09,22.2,-0.1,-4.76
Celtex Ltd,CXE,0.018,-,-,-,-,-,-,0.018,0.018,0.12,0.011,-,,-,-0.01,-,-0.72,-,-,-
Centrebet Internat,CIL,1.15,3,1.10,1.15,1289,1.15,1.10,1.15,1.08,1.40,0.86,9.5,,1.00,0.08,8.26,9.5,12.1,9.0,8.49
Crown Ltd,CWN,8.49,-21,8.46,8.57,247512,8.77,8.46,8.82,8.44,9.14,4.18,37,p,-,3.42,4.36,-166.89,-,-10.0,-1.16
Cypress Lakes Grp,CLK,0.007,-,0.006,0.008,-,-,-,0.008,0.007,0.03,0.007,-,,-,-,-,-2.3,-,-0.1,-12.5
Domino Pizza Enterpr,DMP,4.16,12,3.86,4.16,294,4.16,4.05,4.16,3.95,4.20,2.55,12.4,f,1.82,0.69,2.98,22.6,18.4,7.0,1.71
Early Learning Serv,ELY,0.12,-0.5,0.11,0.115,600,0.12,0.115,0.125,0.10,0.16,0.07,-,,-,-,-,-25.22,-,2.0,20
eBet Ltd,EBT,0.087,0.6,0.082,0.087,1450,0.088,0.087,0.088,0.071,0.105,0.024,-,,-,-0.01,-,0.7,12.4,0.7,8.75
Empowernet Int,ENI,0.011,-,0.012,0.017,-,-,-,0.011,0.011,0.05,0.006,-,,-,-,-,-0.3,-,-,-
Enerji Ltd,ERJ,0.18,-1,0.18,0.185,10593,0.19,0.175,0.195,0.175,0.20,0.004,-,,-,-,-,-3.71,-,-1.0,-5.26
Eumundi Grp Ltd,EBG,0.065,-,0.065,0.08,-,-,-,0.065,0.065,0.15,0.06,-,,-,0.27,-,-5.89,-,-0.1,-1.52
Flight Centre,FLT,14.97,-15,14.80,15.19,3401,15.30,14.62,15.30,13.11,17.80,3.39,9,,4.26,1.92,0.60,38.3,39.1,11.0,0.74
Garratt's Ltd,GRT,0.46,1,0.415,0.45,195,0.46,0.46,0.46,0.43,0.46,0.22,3,,1.43,0.13,6.52,4.3,10.7,3.0,6.98
Integrated Legal,IAW,0.145,-,0.12,0.135,-,-,-,0.145,0.145,0.19,0.13,2.2,,0.40,0.05,15.17,0.89,16.3,-,-
 new,IAWN,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
 new 0309,IAWNA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Intl Allsports,IAS,0.595,-,-,-,-,-,-,0.595,0.595,0.60,0.145,-,,-,-,-,-17.63,-,-,-
Invocare Ltd,IVC,5.70,-12,5.69,5.76,2624,5.85,5.68,6.04,5.68,6.48,4.04,24.5,f,1.22,0.35,4.30,29.9,19.1,-21.0,-3.55
Jetset Travelworld,JET,1.33,3,1.30,1.36,64,1.36,1.30,1.40,1.22,1.47,0.55,7,f,1.06,0.10,5.26,7.39,18.0,-7.0,-5
Kip McGrath Edu Cntr,KME,0.35,-4,0.36,0.41,30,0.35,0.35,0.39,0.35,0.45,0.105,2,f,8.50,-0.09,5.71,17,2.1,-4.0,-10.26
Macro Corp Ltd,MAC,0.029,-,0.01,0.028,-,-,-,0.029,0.029,0.04,0.028,-,,-,0.07,-,-0.37,-,-,-
National Leisure,NLG,0.026,-0.3,0.026,0.027,3370,0.029,0.026,0.03,0.025,0.03,0.005,-,,-,-0.30,-,0.08,32.5,0.1,4
Navitas Ltd,NVT,3.54,-4,3.52,3.58,7065,3.58,3.52,3.75,3.52,3.88,2.01,14.3,f,1.00,-0.23,4.04,14.3,24.8,-3.0,-0.84
Newhaven Hotels,NHH,1.75,-,1.45,2.00,-,-,-,1.75,1.75,2.35,1.75,6,f,0.88,1.06,3.43,5.3,33.0,-,-
Ocean Capital,OCE,0.40,-,0.20,0.41,-,-,-,0.40,0.40,0.40,0.24,1.5,f,0.89,0.41,3.75,1.33,30.1,-,-
Odyssey Gaming,ODG,0.035,-,0.034,-,-,-,-,0.035,0.035,0.059,0.017,-,,-,0.06,-,0.24,14.6,-,-
Planet Platinum,PPN,0.255,-,0.22,0.255,79,0.255,0.255,0.255,0.22,0.30,0.08,2.06,f,0.97,0.20,8.08,2,12.8,3.5,15.91
Qld Trustees Invest,QTI,0.44,-,0.44,0.60,-,-,-,0.44,0.44,0.475,0.365,-,,-,0.79,-,1.3,33.8,-,-
Reef Casino Tr unt,RCT,2.10,10,2.00,2.10,98,2.10,2.09,2.10,2.00,2.30,1.65,24.5,,0.04,2.64,11.67,1.1,190.9,13.0,6.6
Retail Food Grp,RFG,2.57,-,2.56,2.59,285,2.59,2.55,2.64,2.53,2.90,0.80,9.25,f,2.56,-0.86,3.60,23.7,10.8,5.0,1.98
Sino Strategic Intl,SSI,0.75,-,0.71,0.76,5,0.75,0.75,0.75,0.74,0.92,0.33,-,,-,-0.04,-,-70,-,1.0,1.35
Sky City Entertain,SKC,2.64,-1,2.62,2.65,3351,2.67,2.62,2.73,2.62,3.08,1.90,5.44,,3.46,0.47,2.06,18.83,14.0,-6.0,-2.22
Slater & Gordon,SGH,1.60,4,1.61,1.64,12,1.60,1.60,1.60,1.55,1.82,1.245,4.25,f,3.74,0.80,2.66,15.9,10.1,5.0,3.23
Tabcorp Hldgs Ltd,TAH,6.93,-12,6.92,6.93,46553,7.08,6.90,7.15,6.90,7.73,6.05,65,f,1.43,-0.02,9.38,93.2,7.4,-13.0,-1.84
Tatts Grp Ltd,TTS,2.44,-4,2.44,2.45,55722,2.52,2.43,2.52,2.43,2.97,2.15,21,f,1.04,-0.56,8.61,21.9,11.1,-3.0,-1.21
