Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4651.5 at 16:42 24/9/2010  Report at 19:07 Friday 24/9/2010. Processed 22:23 Sunday 26/9/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.015,-,0.014,0.015,5270,0.015,0.014,0.016,0.014,0.034,0.014,-,,-,-,-,-0.16,-,-0.2,-11.76,
Advanced Engine,ACE,0.035,0.1,0.035,0.04,241,0.035,0.035,0.037,0.034,0.093,0.031,-,,-,-0.03,-,-2.3,-,-,-,
Auto Tech Ltd,ATJ,0.044,-,0.047,0.051,-,-,-,0.048,0.044,0.065,0.04,-,,-,0.01,-,-2.46,-,-0.4,-8.33,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.50,-,0.36,0.595,-,-,-,0.51,0.50,0.719,0.35,2,f,2.35,1.19,4.00,4.7,10.6,-1.0,-1.96,
Datadot Tech,DDT,0.044,-0.1,0.044,0.046,2600,0.044,0.044,0.049,0.044,0.105,0.017,-,,-,0.01,-,0.27,16.3,-0.2,-4.35,
Fleetwood Corp,FWD,10.80,-10,10.80,10.85,691,10.87,10.70,11.16,10.63,11.16,7.20,68,f,1.07,2.86,6.30,72.6,14.9,33.0,3.15,
Orbital Corp Ltd,OEC,0.03,0.3,0.029,0.032,3500,0.03,0.028,0.03,0.026,0.068,0.025,-,,-,0.04,-,0.94,3.2,0.3,11.11,
Schaffer Corp Ltd,SFC,4.68,13,4.36,4.68,32,4.68,4.60,4.68,4.45,6.73,4.32,40,f,0.80,3.50,8.55,31.9,14.7,23.0,5.17,
Supply Net,SNL,0.425,-,0.39,0.41,-,-,-,0.425,0.425,0.51,0.24,3,f,1.98,0.42,7.06,5.93,7.2,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.016,0.018,-,-,-,0.02,0.015,0.044,0.008,-,,-,0.05,-,-6,-,-0.1,-5.26,
Atlas Southsea Pearl,ATP,0.115,-0.5,0.115,0.12,1422,0.12,0.115,0.12,0.115,0.145,0.08,-,,-,0.16,-,-5.06,-,-,-,
Billabong Intl,BBG,7.97,-2,7.95,8.01,4247,8.00,7.88,8.16,7.88,12.32,7.31,36,p,1.62,0.40,4.52,58.3,13.7,-21.0,-2.57,
BKM Management,BKM,0.008,-,0.008,0.011,-,-,-,0.01,0.008,0.013,0.004,-,,-,-,-,-0.1,-,-0.2,-20,
Energio Ltd,EIO,0.01,-,0.01,0.011,8750,0.01,0.01,0.011,0.008,0.013,0.006,-,,-,-,-,0.02,50.0,0.3,42.86,
  opt mar13,EIOO,-,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.445,-1,0.435,0.445,5139,0.45,0.445,0.485,0.445,0.58,0.395,-,,-,-,-,-10.54,-,-1.0,-2.2,
Funtastic Ltd,FUN,0.19,-0.5,0.19,0.20,145,0.19,0.19,0.20,0.18,0.30,0.16,-,,-,0.01,-,-25,-,-1.0,-5,
Gale Pacific Ltd,GAP,0.23,-,0.23,0.25,834,0.235,0.23,0.25,0.23,0.26,0.095,2,f,1.08,0.26,8.70,2.15,10.7,-3.0,-11.54,
Gazal Corp,GZL,1.80,-,1.82,1.85,-,-,-,1.80,1.80,1.80,1.20,11,f,1.46,0.79,6.11,16.1,11.2,-,-,
GLG Corp Ltd,GLE,0.30,-,0.30,0.365,-,-,-,0.30,0.30,0.40,0.24,-,,-,0.56,-,12.73,2.4,-,-,
Globe Intl,GLB,0.74,-,0.60,0.75,-,-,-,0.76,0.72,0.76,0.385,5,f,0.63,0.74,6.76,3.17,23.3,-2.0,-2.63,
GUD Hldgs,GUD,9.61,-2,9.60,9.67,901,9.67,9.51,9.84,9.51,10.62,7.79,62,f,1.23,1.92,6.45,76.5,12.6,-17.0,-1.74,
Headline Grp Ltd,HLD,0.44,-,0.44,0.445,1784,0.445,0.44,0.46,0.39,0.46,0.135,-,,-,0.05,-,-2.66,-,5.0,12.82,
Island Sky Aust,ISK,0.019,-,0.017,0.019,270,0.019,0.019,0.019,0.019,0.196,0.019,-,,-,0.02,-,-3.72,-,-,-,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.365,-,0.36,0.365,446,0.365,0.365,0.38,0.35,0.46,0.18,3.5,f,1.35,0.17,9.59,4.72,7.7,1.5,4.29,
McPherson's Ltd,MCP,2.91,2,2.87,2.92,525,2.92,2.87,2.92,2.75,3.48,2.35,20,f,1.82,0.12,6.87,36.4,8.0,15.0,5.43,
Merchant House,MHI,0.18,-,0.175,0.18,-,-,-,0.18,0.17,0.18,0.12,1.5,,2.84,0.25,8.33,4.26,4.2,1.0,5.88,
Mesbon China Nylon,MES,0.12,-,0.12,0.13,-,-,-,0.12,0.12,0.16,0.085,0.5,,10.86,0.35,4.17,5.43,2.2,-,-,
Photo-Me Aust,PTO,0.002,-,0.002,0.005,-,-,-,0.002,0.002,0.009,0.002,-,,-,0.01,-,-0.7,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.09,-1,0.09,0.105,570,0.09,0.09,0.11,0.09,0.27,0.063,-,,-,0.03,-,0.83,10.8,-2.0,-18.18,
Shenhua Ltd,SHU,0.47,-,0.40,0.46,-,-,-,0.49,0.49,0.54,0.45,-,,-,0.39,-,9.8,4.8,-2.0,-4.08,
Tamawood Ltd,TWD,2.47,1,2.46,2.48,633,2.50,2.47,2.50,2.45,2.76,2.13,21,f,1.32,0.91,8.50,27.66,8.9,3.0,1.23,
Thomas Bryson Int,TBI,0.10,-,0.10,-,-,-,-,0.10,0.10,0.52,0.10,1,,-,0.03,10.00,-23.4,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.12,-,1.56,21.5,-,-,
TWT Grp Ltd,TWT,0.05,-,0.031,0.12,-,-,-,0.05,0.05,0.175,0.046,-,,-,0.33,-,0.17,29.4,-,-,
Undercoverwear,UCW,0.15,-,0.16,0.165,-,-,-,0.16,0.15,0.35,0.15,1.25,,-,0.07,8.33,-12.92,-,-1.0,-6.25,
Vmoto Ltd,VMT,0.12,0.5,0.12,0.125,600,0.12,0.12,0.125,0.115,0.215,0.10,-,,-,0.02,-,-0.77,-,-0.5,-4,
Waterco Ltd,WAT,1.18,-,1.20,1.22,-,-,-,1.20,1.18,1.20,0.92,8,f,1.54,1.43,6.78,12.3,9.6,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.135,1,0.125,0.135,910,0.135,0.125,0.135,0.125,0.22,0.08,-,,-,0.01,-,-1,-,1.0,8,
Aircruising Aust,AIG,0.065,-,0.001,0.08,-,-,-,0.065,0.065,0.11,0.065,-,,-,-0.11,-,-3.63,-,-,-,
Allied Brands Ltd,ABQ,0.017,-,0.018,0.019,2054,0.017,0.017,0.019,0.014,0.195,0.014,0.5,,-,-0.07,29.41,-18.9,-,-0.2,-10.53,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.64,-4,3.61,3.69,10294,3.68,3.61,3.83,3.61,5.75,3.34,3.5,,-,0.15,0.96,-15,-,-10.0,-2.67,
Artist & Entertain,AEM,0.011,-,0.009,0.01,-,-,-,0.011,0.009,0.023,0.007,-,,-,-,-,-0.4,-,0.2,22.22,
Centrebet Internat,CIL,1.65,3.5,1.60,1.65,127,1.65,1.60,1.745,1.60,1.89,1.05,13.5,f,1.24,0.14,8.18,16.7,9.9,-5.5,-3.23,
Crown Ltd,CWN,8.42,-3,8.39,8.50,8422,8.46,8.39,8.55,8.39,9.39,7.41,37,p,1.04,3.42,4.39,38.54,21.8,-8.0,-0.94,
Domino Pizza Enterpr,DMP,5.90,7,5.89,5.90,237,6.00,5.89,6.00,5.51,6.00,3.926,14.4,f,1.82,0.70,2.44,26.2,22.5,40.0,7.27,
eBet Ltd,EBT,0.08,-,0.08,0.089,183,0.08,0.08,0.085,0.079,0.096,0.065,-,,-,-,-,0.81,9.9,-0.5,-5.88,
Eumundi Grp Ltd,EBG,0.046,-,0.046,0.06,-,-,-,0.046,0.046,0.08,0.03,-,,-,0.16,-,-4.9,-,-,-,
Flight Centre,FLT,22.49,-25,22.30,22.52,2524,22.58,22.26,23.27,22.26,23.35,13.11,70,f,2.00,3.07,3.11,140.3,16.0,-81.0,-3.48,
G8 Education Ltd,GEM,0.67,-1,0.68,0.72,970,0.725,0.67,0.725,0.65,0.725,0.092,1,,2.12,-0.13,1.49,2.12,31.6,-,-,
Garratt's Ltd,GRT,0.52,-,0.36,-,-,-,-,0.55,0.50,0.56,0.365,3,,1.43,0.15,5.77,4.28,12.1,2.0,4,
Integrated Legal,IAW,0.12,-,0.12,0.125,-,-,-,0.12,0.115,0.145,0.091,0.75,f,1.57,0.07,6.25,1.18,10.2,-,-,
Invocare Ltd,IVC,6.38,-2,6.35,6.44,899,6.42,6.35,6.55,6.35,6.85,5.33,26.75,f,1.31,0.47,4.19,35.1,18.2,-1.0,-0.16,
Jetset Travelworld,JET,0.81,-,0.81,0.85,-,-,-,0.82,0.785,1.70,0.63,1.6,,2.49,0.13,1.98,3.98,20.4,-1.0,-1.22,
Kip McGrath Edu Cntr,KME,0.28,-,0.135,0.24,-,-,-,0.28,0.28,0.40,0.25,2,,0.90,-0.11,7.14,1.8,15.6,-,-,
Macro Corp Ltd,MAC,0.031,-,-,0.038,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.06,-,-1.83,-,-,-,
National Leisure,NLG,0.009,-,0.009,0.01,1642,0.009,0.009,0.009,0.009,0.044,0.005,-,,-,-0.26,-,-0.77,-,-,-,
Navitas Ltd,NVT,4.39,11,4.33,4.40,930,4.39,4.27,4.39,4.13,5.56,3.34,18.8,f,1.00,-0.23,4.28,18.8,23.4,6.0,1.39,
Newhaven Hotels,NHH,1.89,-,1.90,2.50,-,-,-,1.89,1.89,1.96,1.75,6,f,1.10,1.06,3.17,6.6,28.6,-,-,
Ocean Capital,OCE,0.32,-,0.26,0.32,-,-,-,0.32,0.32,0.40,0.20,0.75,f,-,0.36,2.34,-2.18,-,-,-,
Odyssey Gaming,ODG,0.02,-,0.024,-,-,-,-,0.02,0.02,0.07,0.02,-,,-,0.06,-,0.23,8.7,-,-,
Planet Platinum,PPN,0.23,-,0.20,0.30,-,-,-,0.23,0.23,0.30,0.16,2.06,,2.63,0.24,8.96,5.42,4.2,2.0,9.52,
Qld Trustees Invest,QTI,0.30,-0.5,0.30,0.34,100,0.305,0.30,0.305,0.30,0.50,0.30,-,,-,0.60,-,-3.6,-,-0.5,-1.64,
Redhill Education,RDH,1.20,-,1.20,1.24,845,1.20,1.20,1.20,1.11,1.20,1.11,-,,-,-,-,-,-,-,-,
Reef Casino Tr unt,RCT,1.78,-,1.78,1.80,2,1.78,1.78,1.86,1.78,2.15,1.70,24,,1.89,1.98,13.48,45.4,3.9,-4.0,-2.2,
Retail Food Grp,RFG,2.49,-8,2.47,2.52,972,2.55,2.49,2.57,2.45,3.10,2.11,11.75,f,2.15,-0.64,4.72,25.3,9.8,2.0,0.81,
Sky City Entertain,SKC,2.22,-3,2.22,2.25,5055,2.25,2.22,2.26,2.21,2.89,2.21,13.64,,1.05,0.51,6.14,14.38,15.4,-1.0,-0.45,
