Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4437.0 at 16:39 16/7/2010  Report at 19:05 Friday 16/7/2010. Processed 22:46 Friday 16/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-,0.017,0.021,2042,0.018,0.018,0.018,0.018,0.038,0.012,-,,-,-,-,-0.32,-,-,-,
Advanced Engine,ACE,0.04,0.9,0.04,0.045,446,0.04,0.04,0.04,0.031,0.093,0.031,-,,-,-0.05,-,-2.58,-,0.5,14.29,
Auto Tech Ltd,ATJ,0.054,-,0.05,0.054,1500,0.054,0.054,0.055,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-0.1,-1.82,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.004,0.003,0.011,0.003,-,,-,-,-,-,-,-0.1,-25,
Berklee Ltd,BER,0.44,-,0.43,0.52,-,-,-,0.44,0.42,0.78,0.35,-,,-,1.23,-,19.64,2.2,2.0,4.76,
Datadot Tech,DDT,0.028,-0.2,0.027,0.03,850,0.03,0.028,0.03,0.028,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.1,-3.45,
Fleetwood Corp,FWD,9.71,18,9.70,9.75,1919,9.77,9.57,9.77,9.49,10.00,5.88,66,f,0.98,2.12,6.80,64.7,15.0,18.0,1.89,
Orbital Corp Ltd,OEC,0.03,-0.1,0.03,0.035,33,0.03,0.03,0.032,0.029,0.08,0.025,-,,-,0.02,-,-0.51,-,0.1,3.45,
Schaffer Corp Ltd,SFC,5.00,-,4.89,5.00,-,-,-,5.00,4.83,6.73,4.36,40,f,1.89,3.62,8.00,75.7,6.6,17.0,3.52,
Supply Net,SNL,0.37,-,0.33,0.37,-,-,-,0.37,0.37,0.51,0.24,3,f,1.91,0.40,8.11,5.74,6.4,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.014,0.018,3825,0.018,0.018,0.019,0.014,0.058,0.008,-,,-,0.12,-,-7.66,-,0.4,28.57,
Atlantic Ltd,ATI,0.042,-,0.041,0.042,-,-,-,0.045,0.041,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.1,-2.33,
  opt dec11,ATIO,0.032,0.2,0.03,0.035,6000,0.032,0.03,0.032,0.03,0.058,0.004,-,,-,-,-,-,-,0.2,6.67,
Atlas Southsea Pearl,ATP,0.105,-,0.105,0.115,80,0.105,0.105,0.105,0.105,0.145,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,9.18,10,9.14,9.21,8447,9.20,9.11,9.26,8.92,12.32,8.05,36,p,1.59,0.84,3.92,57.2,16.0,8.0,0.88,
BKM Management,BKM,0.008,-0.1,0.006,0.009,3200,0.008,0.008,0.009,0.005,0.013,0.003,-,,-,-,-,-0.2,-,0.3,60,
Fisher & Paykel App,FPA,0.45,-,0.44,0.45,2237,-,-,0.45,0.435,0.715,0.425,-,,-,-,-,-10.54,-,1.0,2.27,
Funtastic Ltd,FUN,0.215,-,0.21,0.215,1099,0.215,0.215,0.215,0.21,0.30,0.13,-,,-,0.01,-,-25,-,0.5,2.38,
Gale Pacific Ltd,GAP,0.16,-,0.17,0.20,-,-,-,0.16,0.155,0.205,0.054,-,,-,0.24,-,3.11,5.1,-,-,
Gazal Corp,GZL,1.59,-,-,1.70,-,-,-,1.59,1.59,1.62,0.95,8,f,1.29,0.69,5.03,10.3,15.4,-,-,
GLG Corp Ltd,GLE,0.28,-,0.28,0.32,-,-,-,0.28,0.28,0.40,0.15,-,,-,0.49,-,7.78,3.6,-,-,
Globe Intl,GLB,0.55,5,0.55,0.60,125,0.55,0.55,0.55,0.42,0.55,0.195,-,,-,0.70,-,3.12,17.6,13.0,30.95,
GUD Hldgs,GUD,8.80,20,8.80,8.83,1805,8.84,8.68,8.85,8.60,10.62,6.88,61,f,1.18,1.09,6.93,71.73,12.3,-7.0,-0.79,
Headline Grp Ltd,HLD,0.33,5,0.30,0.335,14358,0.33,0.295,0.33,0.28,0.35,0.11,-,,-,0.08,-,-1.79,-,4.0,13.79,
Island Sky Aust,ISK,0.032,0.2,0.028,0.031,500,0.032,0.032,0.033,0.028,0.278,0.027,-,,-,0.03,-,-2.07,-,0.4,14.29,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.37,-1,0.37,0.38,330,0.37,0.37,0.38,0.36,0.46,0.155,3,f,1.52,0.18,8.11,4.57,8.1,1.0,2.78,
McPherson's Ltd,MCP,2.58,-7,2.57,2.64,319,2.65,2.58,2.67,2.54,3.48,1.66,10,f,2.96,0.02,3.88,29.6,8.7,3.0,1.18,
Merchant House,MHI,0.17,-,0.16,0.165,-,-,-,0.17,0.17,0.18,0.105,1.5,,2.84,0.25,8.82,4.26,4.0,-,-,
Mesbon China Nylon,MES,0.105,-,0.11,0.115,-,-,-,0.11,0.105,0.14,0.061,0.5,,4.08,0.32,4.76,2.04,5.1,-1.5,-12.5,
Photo-Me Aust,PTO,0.005,-,0.002,0.005,-,-,-,0.005,0.005,0.009,0.004,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.074,-0.5,0.055,0.08,404,0.074,0.069,0.079,0.069,0.42,0.063,-,,-,0.03,-,2.41,3.1,-0.3,-3.9,
Shenhua Ltd,SHU,0.49,-,0.42,0.49,-,-,-,0.495,0.49,0.55,0.45,-,,-,-,-,5.2,9.4,-0.5,-1.01,
Tamawood Ltd,TWD,2.47,-3,2.35,2.48,8,2.47,2.47,2.50,2.40,2.76,1.858,21,f,1.39,0.91,8.50,29.22,8.5,2.0,0.82,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.05,-,0.05,0.079,-,-,-,0.05,0.05,0.175,0.05,-,,-,0.31,-,-5.24,-,-,-,
Undercoverwear,UCW,0.21,-,0.185,0.21,179,0.21,0.21,0.21,0.21,0.35,0.19,2.25,f,-,0.09,10.71,-5.65,-,-,-,
Vmoto Ltd,VMT,0.14,-0.5,0.14,0.145,120,0.14,0.14,0.145,0.13,0.215,0.061,-,,-,0.02,-,-1.07,-,0.5,3.7,
Waterco Ltd,WAT,1.02,-,0.86,1.00,-,-,-,1.02,1.02,1.06,0.69,6,f,1.72,1.26,5.88,10.3,9.9,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.085,-,0.085,0.09,20,0.085,0.085,0.085,0.085,0.22,0.075,-,,-,0.01,-,-4.95,-,-,-,
Aircruising Aust,AIG,0.11,-,0.02,0.08,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.037,0.7,0.035,0.037,95209,0.037,0.03,0.037,0.025,0.245,0.024,0.5,,4.60,0.06,13.51,2.3,1.6,1.0,37.04,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.53,-2,3.46,3.54,17579,3.55,3.44,3.62,3.41,5.75,3.41,4.5,,-,0.07,1.27,-31.3,-,-7.0,-1.94,
Artist & Entertain,AEM,0.011,-,0.008,0.011,455,0.011,0.011,0.012,0.01,0.025,0.007,-,,-,-,-,-1.54,-,0.4,57.14,
Centrebet Internat,CIL,1.395,-,1.39,1.45,296,1.41,1.395,1.41,1.37,1.89,0.955,10.5,,1.02,0.11,7.53,10.7,13.0,-0.5,-0.36,
Crown Ltd,CWN,7.73,-6,7.70,7.79,19422,7.84,7.71,7.99,7.71,9.39,6.95,37,p,-,3.24,4.79,-92.35,-,-17.0,-2.15,
Domino Pizza Enterpr,DMP,5.33,2,4.80,5.40,1240,5.33,5.30,5.39,5.26,5.80,3.13,14,f,1.86,0.69,2.63,26,20.5,2.0,0.38,
eBet Ltd,EBT,0.089,0.6,0.077,0.089,620,0.089,0.089,0.089,0.083,0.105,0.065,-,,-,-0.01,-,0.52,17.1,0.6,7.23,
Eumundi Grp Ltd,EBG,0.045,-,0.045,0.052,-,-,-,0.052,0.045,0.081,0.03,-,,-,0.19,-,-6,-,-0.7,-13.46,
Flight Centre,FLT,17.88,23,17.45,17.90,1434,17.89,17.64,17.89,16.88,21.43,8.48,26,f,2.44,2.56,1.45,63.4,28.2,97.0,5.74,
G8 Education Ltd,GEM,0.60,-,0.57,0.61,-,-,-,0.63,0.60,0.685,0.07,-,,-,-0.27,-,-0.35,-,-1.0,-1.64,
Garratt's Ltd,GRT,0.38,-,0.365,0.50,-,-,-,0.38,0.38,0.56,0.305,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.10,-,0.09,0.105,1900,0.10,0.10,0.10,0.10,0.17,0.091,0.25,f,2.16,0.06,2.50,0.54,18.5,-,-,
Invocare Ltd,IVC,6.00,4,5.96,6.06,1217,6.06,5.96,6.10,5.96,6.50,5.33,25.25,f,1.30,0.48,4.21,32.9,18.2,-,-,
Jetset Travelworld,JET,0.84,-,0.81,0.84,-,-,-,0.84,0.80,1.70,0.71,3.6,f,0.63,0.12,4.29,2.28,36.8,-1.0,-1.18,
Kip McGrath Edu Cntr,KME,0.26,-,0.275,0.30,-,-,-,0.26,0.26,0.45,0.105,2,,8.59,-0.10,7.69,17.19,1.5,-,-,
Macro Corp Ltd,MAC,0.024,-,0.027,0.03,-,-,-,0.024,0.024,0.04,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.006,-,0.006,0.007,-,-,-,0.007,0.006,0.044,0.006,-,,-,-0.32,-,0.34,1.8,-,-,
Navitas Ltd,NVT,4.30,10,4.28,4.35,12260,4.35,4.26,4.35,4.14,5.56,2.65,16.9,f,0.99,-0.25,3.93,16.8,25.6,11.0,2.63,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.96,2.20,1.75,6,f,0.96,1.09,3.06,5.74,34.1,-,-,
Ocean Capital,OCE,0.25,-,0.25,0.355,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.039,-,-,-,-,0.04,0.04,0.07,0.018,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.18,-,0.17,0.30,-,-,-,0.18,0.18,0.30,0.16,2.06,,2.17,0.21,11.44,4.46,4.0,-,-,
Qld Trustees Invest,QTI,0.34,-,0.34,0.39,-,-,-,0.34,0.34,0.50,0.34,-,,-,0.78,-,1.02,33.3,-,-,
Reef Casino Tr unt,RCT,1.88,-,1.87,1.90,-,-,-,1.90,1.88,2.15,1.70,24,,1.07,2.04,12.77,25.7,7.3,1.0,0.53,
Retail Food Grp,RFG,2.57,-,2.57,2.58,66,2.57,2.52,2.58,2.50,3.10,1.765,10,f,2.54,-0.70,3.89,25.4,10.1,2.0,0.78,
Sino Strategic Intl,SSI,0.20,0.5,0.20,0.25,17997,0.20,0.20,0.235,0.18,0.92,0.18,-,,-,-0.05,-,-67,-,-3.5,-14.89,
Sky City Entertain,SKC,2.43,4,2.40,2.60,2511,2.43,2.43,2.43,2.34,2.89,2.24,11.69,,1.63,0.53,4.81,19.09,12.7,7.0,2.97,
