Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4803.3 at 14:41 24/12/2009  Report at 15:42 Thursday 24/12/2009. Processed 16:08 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.028,-,0.03,0.033,-,-,-,0.032,0.026,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.2,-6.67
Advanced Engine,ACE,0.058,-,0.052,0.059,-,-,-,0.058,0.057,0.093,0.031,-,,-,-0.04,-,-1.9,-,0.1,1.75
Auto Tech Ltd,ATJ,0.047,-,0.04,0.047,-,-,-,0.048,0.04,0.151,0.028,-,,-,0.01,-,-5.55,-,0.2,4.44
Berklee Ltd,BER,0.59,-,0.455,0.56,-,-,-,0.59,0.59,0.737,0.297,-,f,-,0.89,-,13,4.5,-,-
Coventry Grp,CYG,2.10,-5,2.10,2.20,166,2.15,2.10,2.25,2.10,2.35,0.60,5,f,-,3.30,2.38,-3.6,-,-20.0,-8.7
Datadot Tech,DDT,0.04,-,0.037,0.04,-,-,-,0.041,0.038,0.105,0.011,-,,-,0.01,-,-6.22,-,0.1,2.56
Fleetwood Corp,FWD,7.75,11,7.72,7.75,540,7.75,7.68,7.75,7.39,8.86,3.36,66,f,1.04,2.63,8.52,68.7,11.3,37.0,5.01
Orbital Corp Ltd,OEC,0.051,-0.4,0.051,0.055,100,0.051,0.051,0.055,0.048,0.115,0.03,-,,-,0.03,-,-0.51,-,0.3,6.25
Schaffer Corp Ltd,SFC,6.20,-,6.20,6.25,-,-,-,6.25,6.20,6.65,3.90,45,f,1.65,3.62,7.26,74.1,8.4,-5.0,-0.8
Supply Net,SNL,0.38,-3.5,0.37,0.385,693,0.415,0.345,0.44,0.345,0.51,0.23,3,f,2.05,0.44,7.89,6.15,6.2,-6.0,-13.64
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.041,-0.1,0.041,0.05,3200,0.041,0.04,0.042,0.035,0.08,0.035,-,,-,0.22,-,2,2.0,-0.9,-18
Atlantic Ltd,ATI,0.035,-0.1,0.034,0.037,27491,0.037,0.035,0.041,0.035,0.048,0.005,-,,-,0.01,-,-0.11,-,0.4,12.9
  opt dec11,ATIO,0.027,0.1,0.026,0.027,16492,0.027,0.027,0.034,0.026,0.039,0.003,-,,-,-,-,-,-,0.6,28.57
Atlas Southsea Pearl,ATP,0.125,-,0.11,0.125,-,-,-,0.125,0.11,0.22,0.075,2,,-,0.20,16.00,-4.39,-,1.5,13.64
AVJennings,AVJ,0.52,-,0.495,0.505,-,-,-,0.52,0.49,0.63,0.16,2,,-,1.04,3.85,-4.68,-,3.0,6.12
Billabong Intl,BBG,10.70,1,10.60,10.77,2300,10.80,10.61,10.89,10.44,12.19,5.815,45,p,1.54,0.70,4.21,69.2,15.5,5.0,0.47
BKM Management,BKM,0.006,-,0.006,0.01,-,-,-,0.006,0.006,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.525,-,0.50,0.525,19,0.525,0.525,0.525,0.475,0.806,0.207,3.87,,-,-,7.37,-38.56,-,5.5,11.7
Funtastic Ltd,FUN,0.22,0.5,0.22,0.225,666,0.22,0.215,0.22,0.205,0.30,0.105,-,,-,0.05,-,-49.5,-,-,-
