Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4596.9 at 16:34 29/1/2010  Report at 19:05 Friday 29/1/2010. Processed 19:54 Friday 29/1/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.025,-,0.024,0.025,2413,0.025,0.023,0.027,0.023,0.038,0.005,-,,-,0.01,-,-0.36,-,-0.3,-10.71
Advanced Engine,ACE,0.053,-0.2,0.05,0.055,6043,0.053,0.05,0.058,0.049,0.093,0.031,-,,-,-0.04,-,-1.9,-,0.4,8.16
Auto Tech Ltd,ATJ,0.05,0.3,0.045,0.049,1000,0.05,0.05,0.05,0.047,0.151,0.028,-,,-,0.01,-,-5.55,-,0.3,6.38
  optjun11d,ATJO,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.40,-6,0.31,0.46,71,0.40,0.40,0.50,0.40,0.737,0.357,-,f,-,0.89,-,13,3.1,-10.0,-20
Coventry Grp,CYG,2.26,-,2.25,2.39,63,2.26,2.26,2.44,2.26,2.50,0.60,5,f,-,3.30,2.21,-3.6,-,-13.0,-5.44
Datadot Tech,DDT,0.04,-0.1,0.039,0.041,75607,0.041,0.038,0.052,0.038,0.105,0.011,-,,-,0.01,-,-6.22,-,-1.2,-23.08
Fleetwood Corp,FWD,8.06,-13,8.05,8.09,1522,8.15,8.00,8.47,8.00,9.00,3.36,66,f,1.04,2.63,8.19,68.7,11.7,-35.0,-4.16
Orbital Corp Ltd,OEC,0.044,-0.4,0.042,0.044,13058,0.045,0.042,0.05,0.04,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.1,-2.22
Schaffer Corp Ltd,SFC,6.40,-30,6.40,6.73,34,6.73,6.40,6.73,6.40,6.73,3.90,45,f,1.65,3.62,7.03,74.1,8.6,-10.0,-1.54
Supply Net,SNL,0.36,-1,0.36,0.38,446,0.37,0.36,0.37,0.36,0.51,0.23,3,f,2.05,0.44,8.33,6.15,5.9,-1.0,-2.7
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.041,-0.5,0.041,0.046,5000,0.044,0.041,0.047,0.041,0.08,0.035,-,,-,0.22,-,2,2.0,-0.2,-4.65
Atlantic Ltd,ATI,0.031,0.1,0.03,0.031,3000,0.031,0.03,0.035,0.03,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.5,-13.89
  opt dec11,ATIO,0.021,-0.1,0.02,0.021,3734,0.022,0.021,0.024,0.021,0.039,0.003,-,,-,-,-,-,-,-0.3,-12.5
Atlas Southsea Pearl,ATP,0.105,-3,0.11,0.13,20470,0.125,0.10,0.135,0.10,0.185,0.075,-,,-,0.20,-,-4.39,-,-3.0,-22.22
AVJennings,AVJ,0.50,-,0.495,0.50,94,0.50,0.50,0.51,0.485,0.63,0.16,-,,-,1.04,-,-4.68,-,-2.0,-3.85
Billabong Intl,BBG,10.48,-32,10.43,10.63,13585,10.74,10.43,11.39,10.43,12.19,5.815,45,p,1.54,0.70,4.29,69.2,15.1,-86.0,-7.58
BKM Management,BKM,0.004,-,0.004,0.009,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-,-
