Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4604.4 at 16:47 6/11/2009  Report at 19:05 Friday 6/11/2009. Processed 19:24 Friday 6/11/2009.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,-0.2,0.03,0.032,1648,0.03,0.03,0.033,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,-,-,
Advanced Engine,ACE,0.06,-0.2,0.06,0.062,2811,0.063,0.06,0.066,0.06,0.10,0.031,-,,-,-0.04,-,-1.9,-,-0.8,-11.76,
Auto Tech Ltd,ATJ,0.06,2,0.04,0.06,8140,0.061,0.045,0.063,0.04,0.179,0.028,-,,-,0.01,-,-5.55,-,-0.3,-4.76,
Berklee Ltd,BER,0.545,2.5,0.535,0.55,557,0.545,0.52,0.545,0.52,0.62,0.25,-,f,-,0.89,-,13,4.2,1.5,2.83,
Coventry Grp,CYG,1.85,6.5,1.85,1.90,61,1.85,1.82,1.85,1.67,2.02,0.60,5,f,-,3.30,2.70,-3.6,-,15.0,8.82,
Datadot Tech,DDT,0.054,0.6,0.054,0.055,59861,0.058,0.049,0.058,0.046,0.105,0.011,-,,-,0.01,-,-6.22,-,0.3,5.88,
Fleetwood Corp,FWD,7.45,20,7.40,7.46,992,7.46,7.30,7.54,7.20,8.86,3.27,66,f,1.04,2.63,8.86,68.7,10.8,-12.0,-1.59,
Orbital Corp Ltd,OEC,0.06,-,0.058,0.064,-,-,-,0.065,0.06,0.115,0.03,-,,-,0.03,-,-0.51,-,-0.8,-11.76,
Schaffer Corp Ltd,SFC,6.42,-3,6.42,6.45,45,6.45,6.42,6.45,6.42,6.65,3.90,45,f,1.65,3.62,7.01,74.1,8.7,-1.0,-0.16
Supply Net,SNL,0.435,6.5,0.43,0.435,789,0.44,0.405,0.44,0.36,0.44,0.25,3,f,2.05,0.44,6.90,6.15,7.1,6.5,17.57
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.059,0.8,0.053,0.055,400,0.059,0.051,0.059,0.047,0.085,0.038,-,,-,0.22,-,2,2.9,0.9,18
Atlantic Ltd,ATI,0.04,-0.2,0.04,0.041,63383,0.045,0.04,0.048,0.036,0.048,0.005,-,,-,0.01,-,-0.11,-,-,-
  opt dec11,ATIO,0.032,-0.2,0.031,0.033,31500,0.034,0.032,0.039,0.025,0.039,0.003,-,,-,-,-,-,-,0.2,6.67
Atlas Southsea Pearl,ATP,0.115,1.5,0.115,0.13,30,0.115,0.115,0.115,0.10,0.32,0.075,2,,-,0.20,17.39,-4.39,-,-0.5,-4.17
AVJennings,AVJ,0.54,-,0.54,0.545,498,0.54,0.54,0.57,0.485,0.63,0.16,2,,-,1.04,3.70,-4.68,-,1.0,1.89
Billabong Intl,BBG,10.00,13,9.96,10.00,9151,10.17,9.95,10.35,9.84,12.19,5.815,45,p,1.54,0.70,4.50,69.2,14.5,-40.0,-3.85
BKM Management,BKM,0.008,-,0.008,0.01,-,-,-,0.008,0.008,0.01,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.535,1.5,0.52,0.54,1202,0.54,0.53,0.54,0.495,0.891,0.207,3.87,,-,0.01,7.23,-27.37,-,2.0,3.88
Funtastic Ltd,FUN,0.21,-,0.21,0.22,2437,0.22,0.21,0.23,0.21,0.30,0.105,-,,-,0.05,-,-49.5,-,-2.5,-10.64
Gale Pacific Ltd,GAP,0.125,-,0.13,0.15,-,-,-,0.15,0.12,0.17,0.035,-,,-,0.24,-,-6.75,-,-2.5,-16.67
Gazal Corp,GZL,1.40,10,1.40,1.55,45,1.40,1.40,1.40,1.30,1.49,0.85,8,f,1.41,0.60,5.71,11.3,12.4,3.0,2.19
GLG Corp Ltd,GLE,0.28,-,0.22,0.35,300,0.28,0.27,0.28,0.27,0.32,0.13,-,,-,0.45,-,3.55,7.9,-,-
Globe Intl,GLB,0.45,5,0.44,0.47,633,0.45,0.44,0.50,0.385,0.50,0.125,-,,-,0.70,-,-21.39,-,-5.0,-10
GUD Hldgs,GUD,8.72,9,8.66,8.90,1950,8.92,8.62,9.00,8.38,9.67,3.30,60,f,1.00,0.66,6.88,60,14.5,6.0,0.69
Headline Grp Ltd,HLD,0.135,-,0.135,0.15,-,-,-,0.15,0.135,0.16,0.08,-,,-,0.12,-,-1.31,-,-0.5,-3.57
Island Sky Aust,ISK,0.18,0.5,0.165,0.18,1544,0.18,0.17,0.20,0.16,0.395,0.135,-,,-,0.08,-,0.63,28.6,-,-
Kresta Hldgs,KRS,0.20,-1,0.20,0.21,456,0.21,0.20,0.21,0.19,0.225,0.08,1,f,2.68,0.16,5.00,2.68,7.5,-,-
McPherson's Ltd,MCP,3.19,-1,3.18,3.19,343,3.23,3.17,3.36,2.74,3.36,0.27,13,,2.32,-0.52,4.08,30.2,10.6,26.0,8.87
Merchant House,MHI,0.14,-,0.14,0.15,-,-,-,0.14,0.14,0.16,0.08,1,,3.04,0.30,7.14,3.04,4.6,-,-
Mesbon China Nylon,MES,0.10,-,0.10,0.11,-,-,-,0.10,0.097,0.14,0.04,2,,-,0.32,20.00,-1.3,-,-,-
Photo-Me Aust,PTO,0.011,-,0.011,0.013,-,-,-,0.011,0.011,0.04,0.006,-,,-,-0.02,-,-2.5,-,-0.1,-8.33
  opt jul11,PTOO,0.001,-,-,0.003,-,-,-,0.001,0.001,0.006,0.001,-,,-,-,-,-,-,-,-
Quantum Energy,QTM,0.165,-1.5,0.16,0.165,1546,0.18,0.16,0.195,0.15,0.42,0.08,-,,-,0.02,-,2.97,5.6,-3.0,-15.38
Shenhua Ltd,SHU,0.54,-,-,0.52,-,-,-,0.53,0.53,0.55,0.48,-,,-,-,-,-,-,1.0,1.89
Tamawood Ltd,TWD,2.45,-,2.22,2.55,-,-,-,2.45,2.30,2.69,1.393,21,f,1.16,1.06,8.57,24.35,10.1,7.0,2.94
Thomas Bryson Int,TBI,0.40,-,-,0.40,-,-,-,0.40,0.38,0.57,0.35,-,,-,-,-,-,-,5.0,14.29
Treyo Leisure,TYO,0.30,-,0.23,0.30,-,-,-,0.30,0.30,0.30,0.23,-,,-,-,-,-,-,-,-
TWT Grp Ltd,TWT,0.10,-,0.10,0.12,314,0.10,0.10,0.10,0.10,0.25,0.07,3.5,,-,0.33,35.00,-6.18,-,-,-
Undercoverwear,UCW,0.29,-,0.275,0.325,-,-,-,0.29,0.26,0.37,0.16,2,f,-,0.10,6.90,-4.72,-,3.0,11.54
Vmoto Ltd,VMT,0.165,-0.5,0.165,0.17,1710,0.175,0.165,0.175,0.16,0.215,0.03,-,,-,0.01,-,-1.27,-,-1.5,-8.33
Waterco Ltd,WAT,0.96,-,0.97,0.995,-,-,-,0.96,0.96,1.00,0.48,5,f,1.60,1.36,5.21,8,12.0,-,-
INDUSTRY GROUP: Hotels Restaurants & Leisure,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.195,0.5,0.18,0.20,205,0.195,0.195,0.195,0.17,0.22,0.04,-,,-,0.02,-,-4.45,-,3.0,18.18
Aircruising Aust,AIG,0.11,-,0.11,-,-,-,-,0.11,0.11,0.12,0.098,-,,-,-0.07,-,-5.34,-,-,-
Allied Brands Ltd,ABQ,0.15,-,0.14,0.15,2086,0.15,0.14,0.155,0.14,0.285,0.10,0.5,f,5.60,0.05,3.33,2.8,5.4,1.0,7.14
  opt dec10,ABQO,0.005,-,0.002,0.10,-,-,-,0.005,0.005,0.07,0.001,-,,-,-,-,-,-,-,-
Aristocrat Leisure,ALL,4.19,4,4.14,4.21,16110,4.24,4.12,4.46,4.12,5.75,3.16,14.5,f,-,0.35,3.46,-0.2,-,-33.0,-7.3
Artist & Entertain,AEM,0.016,-,0.016,0.017,-,-,-,0.017,0.016,0.025,0.003,-,,-,-,-,2.83,0.6,-0.2,-11.11
Capital Intelligence,CPT,0.025,-,0.019,0.025,-,-,-,0.025,0.025,0.06,0.003,-,,-,-,-,0.09,27.8,-,-
Celtex Ltd,CXE,0.018,-,0.019,0.028,-,-,-,0.018,0.018,0.075,0.011,-,,-,-0.01,-,-0.72,-,-,-
Centrebet Internat,CIL,1.16,-,1.16,1.17,190,1.17,1.13,1.17,1.10,1.39,0.86,9.5,,1.00,0.08,8.19,9.5,12.2,4.0,3.57
Crown Ltd,CWN,8.16,1,8.12,8.18,12011,8.30,8.09,8.30,7.90,9.39,4.18,37,p,-,3.42,4.53,-166.89,-,-9.0,-1.09
Cypress Lakes Grp,CLK,0.006,-,0.006,0.007,-,-,-,0.006,0.006,0.03,0.006,-,,-,-,-,-2.3,-,-,-
Domino Pizza Enterpr,DMP,4.60,10,4.50,4.62,796,4.60,4.45,4.67,4.32,4.72,2.55,12.4,f,1.82,0.69,2.70,22.6,20.4,-,-
Early Learning Serv,ELY,0.135,-,0.10,0.19,-,-,-,0.135,0.135,0.16,0.07,-,,-,-,-,-25.22,-,-,-
eBet Ltd,EBT,0.082,0.2,0.08,0.085,1025,0.082,0.08,0.085,0.08,0.105,0.024,-,,-,-0.01,-,0.7,11.7,-0.3,-3.53
Empowernet Int,ENI,0.015,-,0.011,0.02,-,-,-,0.015,0.015,0.05,0.006,-,,-,-,-,-0.3,-,-,-
Enerji Ltd,ERJ,0.195,-,-,-,-,-,-,0.195,0.195,0.24,0.004,-,,-,-,-,-3.71,-,-,-
Eumundi Grp Ltd,EBG,0.075,-,0.068,0.09,-,-,-,0.075,0.075,0.145,0.06,-,,-,0.27,-,-5.89,-,-,-
Flight Centre,FLT,16.58,23,16.40,16.89,1851,17.03,16.47,17.03,15.35,17.47,3.39,9,,4.26,1.92,0.54,38.3,43.3,-42.0,-2.47
Garratt's Ltd,GRT,0.50,-,0.47,0.50,-,-,-,0.50,0.50,0.53,0.22,3,,1.43,0.13,6.00,4.3,11.6,-3.0,-5.66
Integrated Legal,IAW,0.14,2,0.12,0.14,150,0.14,0.14,0.14,0.12,0.18,0.12,2.2,,0.40,0.05,15.71,0.89,15.7,1.0,7.69
