Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4507.4 at 16:36 30/7/2010  Report at 19:05 Friday 30/7/2010. Processed 20:40 Friday 30/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.019,-,0.019,0.02,5420,0.021,0.019,0.021,0.018,0.038,0.015,-,,-,-,-,-0.32,-,0.1,5.56,
Advanced Engine,ACE,0.044,-,0.031,0.047,-,-,-,0.048,0.044,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.6,-12,
Auto Tech Ltd,ATJ,0.05,-,0.042,0.05,-,-,-,0.05,0.05,0.087,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.003,-,0.003,0.009,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.44,-,0.44,0.52,-,-,-,0.44,0.44,0.737,0.35,-,,-,1.23,-,19.64,2.2,-,-,
Datadot Tech,DDT,0.034,0.1,0.034,0.036,4400,0.035,0.033,0.046,0.027,0.105,0.017,-,,-,0.01,-,-0.86,-,0.6,21.43,
Fleetwood Corp,FWD,9.67,-14,9.63,9.75,1264,9.77,9.48,10.13,9.48,10.13,6.42,66,f,0.98,2.12,6.83,64.7,14.9,-38.0,-3.78,
Orbital Corp Ltd,OEC,0.03,-,0.03,0.033,6846,0.03,0.03,0.035,0.03,0.076,0.025,-,,-,0.02,-,-0.51,-,-,-,
Schaffer Corp Ltd,SFC,4.80,-,4.91,5.10,-,-,-,4.98,4.80,6.73,4.50,40,f,1.89,3.62,8.33,75.7,6.3,-18.0,-3.61,
Supply Net,SNL,0.39,1,0.36,0.39,-,0.39,0.39,0.39,0.36,0.51,0.24,3,f,1.91,0.40,7.69,5.74,6.8,2.0,5.41,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.017,-0.2,0.015,0.018,1176,0.017,0.017,0.019,0.017,0.056,0.008,-,,-,0.12,-,-7.66,-,-0.2,-10.53,
Atlantic Ltd,ATI,0.04,-,0.042,0.042,-,-,-,0.042,0.04,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.1,-2.44,
  opt dec11,ATIO,0.031,-,0.027,0.035,-,-,-,0.031,0.031,0.058,0.005,-,,-,-,-,-,-,-,-,
Atlas Southsea Pearl,ATP,0.09,0.5,0.089,0.099,100,0.09,0.09,0.09,0.085,0.145,0.08,-,,-,0.13,-,-6.75,-,0.3,3.45,
Billabong Intl,BBG,9.12,6,9.01,9.13,7952,9.18,9.00,9.26,9.00,12.32,8.28,36,p,1.59,0.84,3.95,57.2,15.9,-1.0,-0.11,
BKM Management,BKM,0.009,-,0.006,0.009,-,-,-,0.009,0.008,0.013,0.003,-,,-,-,-,-0.2,-,0.1,12.5,
Energio Ltd,EIO,0.008,-,0.007,0.008,3560,0.009,0.008,0.009,0.006,0.01,0.006,-,,-,-0.02,-,-1.4,-,0.2,33.33,
  opt mar13,EIOO,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.425,-1,0.425,0.44,1329,0.43,0.425,0.46,0.425,0.71,0.425,-,,-,-,-,-10.54,-,-1.5,-3.41,
Funtastic Ltd,FUN,0.22,-1,0.22,0.225,459,0.225,0.22,0.23,0.215,0.30,0.13,-,,-,0.01,-,-25,-,-,-,
Gale Pacific Ltd,GAP,0.17,-,0.17,0.225,-,-,-,0.17,0.165,0.205,0.054,-,,-,0.24,-,3.11,5.5,0.5,3.03,
Gazal Corp,GZL,1.42,-,1.42,1.60,7,1.42,1.42,1.59,1.36,1.62,1.07,8,f,1.29,0.69,5.63,10.3,13.8,-17.0,-10.69,
GLG Corp Ltd,GLE,0.34,-,0.28,0.365,-,-,-,0.34,0.34,0.40,0.18,-,,-,0.49,-,7.78,4.4,-,-,
Globe Intl,GLB,0.55,-,0.55,0.60,-,-,-,0.55,0.55,0.62,0.195,-,,-,0.70,-,3.12,17.6,-,-,
GUD Hldgs,GUD,9.35,-,9.30,9.36,1759,9.35,9.22,9.43,8.87,10.62,7.79,62,f,1.23,1.92,6.63,76.5,12.2,56.0,6.37,
Headline Grp Ltd,HLD,0.385,-1,0.35,0.385,515,0.385,0.37,0.395,0.345,0.395,0.11,-,,-,0.08,-,-1.79,-,4.5,13.24,
Island Sky Aust,ISK,0.026,-0.1,0.025,0.027,962,0.026,0.026,0.028,0.025,0.278,0.025,-,,-,0.03,-,-2.07,-,-0.2,-7.14,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.37,-,0.36,0.38,201,0.37,0.37,0.38,0.37,0.46,0.155,3,f,1.52,0.18,8.11,4.57,8.1,-,-,
McPherson's Ltd,MCP,2.66,-,2.66,2.72,244,2.66,2.66,2.70,2.60,3.48,2.09,10,f,2.96,0.02,3.76,29.6,9.0,2.0,0.76,
Merchant House,MHI,0.175,-,0.155,0.175,-,-,-,0.175,0.17,0.18,0.105,1.5,,2.84,0.25,8.57,4.26,4.1,0.5,2.94,
Mesbon China Nylon,MES,0.125,-,0.12,0.13,-,-,-,0.13,0.12,0.14,0.079,0.5,,4.08,0.32,4.00,2.04,6.1,-0.5,-3.85,
Photo-Me Aust,PTO,0.005,-,0.002,0.005,-,-,-,0.005,0.005,0.009,0.004,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.07,-1,0.07,0.084,5734,0.08,0.07,0.08,0.07,0.42,0.063,-,,-,0.03,-,2.41,2.9,-0.3,-4.11,
Shenhua Ltd,SHU,0.49,-,0.43,0.49,-,-,-,0.49,0.49,0.55,0.45,-,,-,-,-,5.2,9.4,-,-,
Tamawood Ltd,TWD,2.42,4,2.42,2.48,64,2.48,2.42,2.48,2.38,2.76,1.858,21,f,1.39,0.91,8.68,29.22,8.3,-1.0,-0.41,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.05,-,0.052,0.079,-,-,-,0.05,0.05,0.175,0.05,-,,-,0.31,-,-5.24,-,-,-,
Undercoverwear,UCW,0.20,-,0.195,0.225,-,-,-,0.20,0.185,0.35,0.185,2.25,f,-,0.09,11.25,-5.65,-,-1.0,-4.76,
Vmoto Ltd,VMT,0.125,-0.5,0.125,0.13,6305,0.13,0.125,0.135,0.125,0.215,0.063,-,,-,0.02,-,-1.07,-,-0.5,-3.85,
Waterco Ltd,WAT,1.02,-,1.02,1.05,-,-,-,1.03,1.02,1.06,0.695,6,f,1.72,1.26,5.88,10.3,9.9,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.084,-,0.09,0.105,23,0.084,0.084,0.086,0.084,0.22,0.075,-,,-,0.01,-,-4.95,-,0.4,5,
Aircruising Aust,AIG,0.11,-,0.02,0.08,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.044,-0.1,0.041,0.043,26868,0.046,0.044,0.05,0.038,0.245,0.024,0.5,,4.60,0.06,11.36,2.3,1.9,0.5,12.82,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.39,-4,3.37,3.45,31773,3.45,3.34,3.62,3.34,5.75,3.34,4.5,,-,0.07,1.33,-31.3,-,-19.0,-5.31,
Artist & Entertain,AEM,0.008,-,0.008,0.012,-,-,-,0.008,0.008,0.025,0.007,-,,-,-,-,-1.54,-,-,-,
Centrebet Internat,CIL,1.305,-1.5,1.30,1.35,189,1.31,1.30,1.37,1.29,1.89,0.955,10.5,,1.02,0.11,8.05,10.7,12.2,-8.5,-6.12,
Crown Ltd,CWN,7.96,-6,7.93,7.98,9800,8.07,7.90,8.10,7.90,9.39,6.95,37,p,-,3.24,4.65,-92.35,-,-4.0,-0.5,
Domino Pizza Enterpr,DMP,5.46,1,5.35,5.49,159,5.49,5.46,5.49,5.39,5.80,3.60,14,f,1.86,0.69,2.56,26,21.0,5.0,0.92,
eBet Ltd,EBT,0.09,-,0.085,0.09,500,0.09,0.09,0.091,0.09,0.105,0.065,-,,-,-0.01,-,0.52,17.3,0.4,4.65,
Eumundi Grp Ltd,EBG,0.045,-,0.045,0.052,-,-,-,0.045,0.045,0.08,0.03,-,,-,0.19,-,-6,-,-,-,
Flight Centre,FLT,18.56,12,18.16,18.70,1478,18.73,18.33,19.19,18.14,21.43,9.53,26,f,2.44,2.56,1.40,63.4,29.3,44.0,2.43,
G8 Education Ltd,GEM,0.63,-1,0.62,0.64,783,0.65,0.63,0.65,0.605,0.685,0.075,-,,-,-0.27,-,-0.35,-,1.0,1.61,
Garratt's Ltd,GRT,0.38,-,0.365,0.50,-,-,-,0.38,0.38,0.56,0.305,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.096,-,0.098,0.105,-,-,-,0.10,0.095,0.17,0.091,0.25,f,2.16,0.06,2.60,0.54,17.8,-0.4,-4,
Invocare Ltd,IVC,6.07,-1,6.04,6.09,727,6.07,5.99,6.17,5.97,6.50,5.33,25.25,f,1.30,0.48,4.16,32.9,18.4,7.0,1.17,
Jetset Travelworld,JET,0.80,-,0.80,0.835,-,-,-,0.85,0.80,1.70,0.76,3.6,f,0.63,0.12,4.50,2.28,35.1,4.0,5.26,
Kip McGrath Edu Cntr,KME,0.30,-,0.26,0.30,-,-,-,0.30,0.30,0.45,0.105,2,,8.59,-0.10,6.67,17.19,1.7,-,-,
Macro Corp Ltd,MAC,0.031,-,0.003,0.031,100,0.031,0.031,0.031,0.031,0.032,0.024,-,,-,0.08,-,-0.43,-,0.1,3.33,
National Leisure,NLG,0.007,-,0.007,0.008,-,-,-,0.007,0.006,0.044,0.006,-,,-,-0.32,-,0.34,2.1,0.1,16.67,
Navitas Ltd,NVT,4.33,-7,4.26,4.38,3486,4.42,4.30,4.46,4.26,5.56,2.71,16.9,f,0.99,-0.25,3.90,16.8,25.8,-,-,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.96,1.96,1.75,6,f,0.96,1.09,3.06,5.74,34.1,-,-,
Ocean Capital,OCE,0.25,-,0.25,0.28,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.04,0.06,-,-,-,0.04,0.04,0.07,0.018,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.20,-,0.18,0.40,-,-,-,0.20,0.20,0.30,0.16,2.06,,2.17,0.21,10.30,4.46,4.5,-,-,
Qld Trustees Invest,QTI,0.33,-,0.33,0.39,-,-,-,0.34,0.33,0.50,0.33,-,,-,0.78,-,1.02,32.4,-1.0,-2.94,
Reef Casino Tr unt,RCT,1.93,3,1.90,1.93,446,1.93,1.90,1.93,1.85,2.15,1.70,24,,1.07,2.04,12.44,25.7,7.5,8.0,4.32,
Retail Food Grp,RFG,2.65,5,2.60,2.65,552,2.65,2.57,2.65,2.57,3.10,1.89,10,f,2.54,-0.70,3.77,25.4,10.4,-,-,
