Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4651.1 at 16:35 26/2/2010  Report at 19:05 Friday 26/2/2010. Processed 20:01 Friday 26/2/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.021,-,0.021,0.023,-,-,-,0.023,0.021,0.038,0.005,-,,-,-,-,-0.32,-,-,-
Advanced Engine,ACE,0.055,-,0.05,0.056,-,-,-,0.059,0.055,0.093,0.031,-,,-,-0.04,-,-1.9,-,-,-
Auto Tech Ltd,ATJ,0.055,-0.5,0.049,0.055,2000,0.055,0.055,0.063,0.047,0.151,0.028,-,,-,0.01,-,-5.55,-,-,-
  opt jun11,ATJO,-,-,0.002,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.40,-,0.405,0.44,1978,0.44,0.40,0.44,0.35,0.737,0.35,-,,-,0.89,-,13,3.1,5.0,14.29
Datadot Tech,DDT,0.04,-,0.04,0.042,2446,0.04,0.04,0.045,0.039,0.105,0.011,-,,-,0.01,-,-0.86,-,-0.7,-14.89
Fleetwood Corp,FWD,7.87,-22,7.86,7.90,880,8.10,7.76,8.35,7.76,9.00,3.75,66,f,0.98,2.12,8.39,64.7,12.2,-50.0,-5.97
Orbital Corp Ltd,OEC,0.042,-,0.041,0.042,-,-,-,0.043,0.042,0.115,0.032,-,,-,0.03,-,-0.51,-,-0.1,-2.33
Schaffer Corp Ltd,SFC,6.35,-,6.16,6.25,-,-,-,6.40,6.20,6.73,3.91,40,f,1.89,3.62,6.30,75.7,8.4,-5.0,-0.78
Supply Net,SNL,0.37,-,0.36,0.375,-,-,-,0.38,0.36,0.51,0.23,3,f,2.05,0.44,8.11,6.15,6.0,-1.0,-2.63
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.021,-,0.021,0.023,3000,0.021,0.021,0.029,0.021,0.058,0.021,-,,-,0.22,-,2,1.1,-0.8,-27.59
Atlantic Ltd,ATI,0.029,0.2,0.028,0.032,68753,0.029,0.026,0.033,0.026,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.1,-3.33
  opt dec11,ATIO,0.017,-,0.017,0.02,-,-,-,0.021,0.017,0.039,0.003,-,,-,-,-,-,-,-0.3,-15
Atlas Southsea Pearl,ATP,0.105,-0.5,0.105,0.115,152,0.105,0.105,0.11,0.105,0.16,0.075,-,,-,0.20,-,-4.39,-,-0.5,-4.55
Billabong Intl,BBG,10.17,-22,10.01,10.20,17780,10.29,9.93,10.80,9.93,12.19,6.158,36,p,1.59,0.84,3.54,57.2,17.8,-30.0,-2.87
BKM Management,BKM,0.004,-,0.004,0.009,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.47,1,0.465,0.47,7996,0.47,0.46,0.48,0.445,0.725,0.207,3.87,,-,-,8.23,-38.56,-,-2.0,-4.08
Funtastic Ltd,FUN,0.215,-,0.215,0.22,200,0.215,0.215,0.235,0.215,0.30,0.105,-,,-,0.05,-,-49.5,-,-,-
Gale Pacific Ltd,GAP,0.17,-,0.16,0.185,-,-,-,0.17,0.17,0.205,0.035,-,,-,0.24,-,3.11,5.5,-,-
