Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4890.1 at 16:38 19/3/2010  Report at 19:06 Friday 19/3/2010. Processed 20:06 Friday 19/3/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.022,0.2,0.02,0.023,9719,0.022,0.022,0.022,0.02,0.038,0.006,-,,-,-,-,-0.32,-,0.2,10
Advanced Engine,ACE,0.048,-0.1,0.048,0.05,200,0.048,0.048,0.052,0.048,0.093,0.031,-,,-,-0.05,-,-2.58,-,0.1,2.13
Auto Tech Ltd,ATJ,0.052,0.2,0.035,0.054,500,0.052,0.052,0.065,0.049,0.151,0.028,-,,-,0.02,-,-4.29,-,0.1,1.96
  opt jun11,ATJO,-,-,0.005,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.44,-,0.42,0.44,-,-,-,0.45,0.44,0.737,0.35,-,,-,1.23,-,19.64,2.2,-1.0,-2.22
Datadot Tech,DDT,0.043,-,0.043,0.045,6535,0.046,0.043,0.046,0.042,0.105,0.011,-,,-,0.01,-,-0.86,-,-0.1,-2.27
Fleetwood Corp,FWD,8.35,-,8.30,8.35,1854,8.38,8.22,8.38,7.85,9.00,4.67,66,f,0.98,2.12,7.90,64.7,12.9,50.0,6.37
Orbital Corp Ltd,OEC,0.04,-0.4,0.04,0.043,1223,0.043,0.04,0.045,0.04,0.115,0.034,-,,-,0.02,-,-0.51,-,-0.1,-2.44
Schaffer Corp Ltd,SFC,6.10,10,6.10,6.35,5,6.10,6.10,6.35,6.00,6.73,3.91,40,f,1.89,3.62,6.56,75.7,8.1,-45.0,-6.87
Supply Net,SNL,0.345,-,0.345,0.37,-,-,-,0.355,0.345,0.51,0.23,3,f,1.91,0.40,8.70,5.74,6.0,-1.0,-2.82
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.019,-,0.021,0.022,180,0.019,0.019,0.022,0.019,0.058,0.019,-,,-,0.12,-,-7.66,-,-0.3,-13.64
Atlantic Ltd,ATI,0.03,0.3,0.028,0.031,50964,0.03,0.028,0.03,0.027,0.048,0.006,-,,-,0.01,-,-0.12,-,0.1,3.45
  opt dec11,ATIO,0.018,0.1,0.018,0.019,17000,0.018,0.017,0.018,0.017,0.039,0.003,-,,-,-,-,-,-,0.1,5.88
Atlas Southsea Pearl,ATP,0.125,-0.5,0.125,0.13,260,0.125,0.125,0.13,0.125,0.16,0.082,-,,-,0.13,-,-6.75,-,-,-
Billabong Intl,BBG,10.83,17,10.73,10.90,10109,10.92,10.59,10.92,10.28,12.19,7.276,36,p,1.59,0.84,3.32,57.2,18.9,23.0,2.17
BKM Management,BKM,0.01,-,0.01,0.011,480,0.01,0.01,0.011,0.009,0.013,0.003,-,,-,-,-,-0.2,-,-,-
Fisher & Paykel App,FPA,0.465,-,0.465,0.47,2967,0.465,0.46,0.495,0.46,0.725,0.207,3.87,,-,-,8.32,-38.56,-,-3.0,-6.06
Funtastic Ltd,FUN,0.205,0.5,0.20,0.205,593,0.205,0.20,0.205,0.195,0.30,0.12,-,,-,0.01,-,-25,-,0.5,2.5
Gale Pacific Ltd,GAP,0.16,-0.5,0.165,0.175,20,0.16,0.16,0.17,0.16,0.205,0.036,-,,-,0.24,-,3.11,5.1,-1.0,-5.88
