Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4773.4 at 16:35 5/3/2010  Report at 19:07 Friday 5/3/2010. Processed 20:42 Friday 5/3/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.02,-,0.02,0.022,750,0.02,0.02,0.022,0.02,0.038,0.005,-,,-,-,-,-0.32,-,-0.1,-4.76
Advanced Engine,ACE,0.05,-,0.052,0.056,-,-,-,0.054,0.05,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.5,-9.09
Auto Tech Ltd,ATJ,0.052,-0.2,0.05,0.054,1400,0.052,0.05,0.054,0.048,0.151,0.028,-,,-,0.01,-,-5.55,-,-0.3,-5.45
  opt jun11,ATJO,-,-,0.004,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.405,-,0.415,0.475,387,0.48,0.405,0.48,0.405,0.737,0.35,-,,-,1.23,-,19.64,2.1,0.5,1.25
Datadot Tech,DDT,0.041,-0.1,0.041,0.042,3875,0.043,0.041,0.044,0.038,0.105,0.011,-,,-,0.01,-,-0.86,-,0.1,2.5
Fleetwood Corp,FWD,7.86,-3,7.77,7.89,1440,7.99,7.77,8.15,7.77,9.00,3.87,66,f,0.98,2.12,8.40,64.7,12.1,-1.0,-0.13
Orbital Corp Ltd,OEC,0.041,-,0.041,0.046,15130,0.041,0.041,0.045,0.04,0.115,0.032,-,,-,0.02,-,-0.51,-,-0.1,-2.38
Schaffer Corp Ltd,SFC,6.40,15,6.36,6.40,2,6.40,6.40,6.40,6.20,6.73,3.91,40,f,1.89,3.62,6.25,75.7,8.5,5.0,0.79
Supply Net,SNL,0.36,-,0.36,0.40,-,-,-,0.375,0.36,0.51,0.23,3,f,1.91,0.40,8.33,5.74,6.3,-1.0,-2.7
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.021,-,0.021,0.022,-,-,-,0.023,0.021,0.058,0.021,-,,-,0.22,-,2,1.1,-,-
Atlantic Ltd,ATI,0.029,0.1,0.028,0.029,3800,0.029,0.029,0.03,0.028,0.048,0.006,-,,-,0.01,-,-0.11,-,-,-
  opt dec11,ATIO,0.018,-0.1,0.018,0.019,1500,0.019,0.018,0.02,0.018,0.039,0.003,-,,-,-,-,-,-,0.1,5.88
Atlas Southsea Pearl,ATP,0.115,0.5,0.115,0.12,115,0.115,0.115,0.115,0.105,0.16,0.079,-,,-,0.20,-,-4.39,-,1.0,9.52
Billabong Intl,BBG,10.66,37,10.65,10.68,20075,10.70,10.57,10.70,10.03,12.19,6.197,36,p,1.59,0.84,3.38,57.2,18.6,49.0,4.82
BKM Management,BKM,0.004,-,0.005,0.009,-,-,-,0.004,0.004,0.011,0.003,-,,-,-,-,-0.2,-,-,-
Fisher & Paykel App,FPA,0.48,0.5,0.48,0.49,2001,0.48,0.48,0.48,0.465,0.725,0.207,3.87,,-,-,8.06,-38.56,-,1.0,2.13
Funtastic Ltd,FUN,0.21,-1.5,0.21,0.22,2105,0.21,0.21,0.235,0.195,0.30,0.105,-,,-,0.05,-,-49.5,-,-0.5,-2.33
Gale Pacific Ltd,GAP,0.15,-,0.145,0.17,-,-,-,0.17,0.145,0.205,0.036,-,,-,0.24,-,3.11,4.8,-2.0,-11.76
