Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4833.9 at 16:43 30/4/2010  Report at 19:06 Friday 30/4/2010. Processed 20:29 Friday 30/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.022,-,0.022,0.023,-,-,-,0.024,0.022,0.038,0.009,-,,-,-,-,-0.32,-,-0.2,-8.33
Advanced Engine,ACE,0.045,-,0.04,0.044,-,-,-,0.045,0.045,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-
Auto Tech Ltd,ATJ,0.05,-,0.05,0.055,-,-,-,0.05,0.049,0.101,0.028,-,,-,0.02,-,-4.29,-,-,-
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-0.1,-9.09
Berklee Ltd,BER,0.42,-,0.42,0.495,-,-,-,0.42,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-2.5,-5.62
Datadot Tech,DDT,0.039,-,0.038,0.04,23820,0.041,0.038,0.041,0.038,0.105,0.015,-,,-,0.01,-,-0.86,-,-,-
Fleetwood Corp,FWD,9.50,7,9.45,9.50,2859,9.58,9.41,9.65,9.17,9.74,5.30,66,f,0.98,2.12,6.95,64.7,14.7,-,-
Orbital Corp Ltd,OEC,0.039,0.1,0.039,0.042,942,0.039,0.038,0.04,0.038,0.115,0.038,-,,-,0.02,-,-0.51,-,-0.1,-2.5
Schaffer Corp Ltd,SFC,6.12,-3,6.10,6.22,15,6.12,6.12,6.15,6.10,6.73,4.00,40,f,1.89,3.62,6.54,75.7,8.1,1.0,0.16
Supply Net,SNL,0.385,0.5,0.37,0.385,390,0.385,0.385,0.39,0.38,0.51,0.24,3,f,1.91,0.40,7.79,5.74,6.7,0.5,1.32
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.018,0.02,-,-,-,0.018,0.018,0.058,0.018,-,,-,0.12,-,-7.66,-,-,-
Atlantic Ltd,ATI,0.061,0.6,0.061,0.062,178458,0.063,0.057,0.063,0.052,0.07,0.006,-,,-,0.01,-,-0.12,-,-0.1,-1.61
  opt dec11,ATIO,0.052,0.2,0.05,0.054,4400,0.052,0.05,0.054,0.048,0.058,0.003,-,,-,-,-,-,-,-0.1,-1.89
Atlas Southsea Pearl,ATP,0.11,-,0.11,0.12,-,-,-,0.11,0.11,0.16,0.085,-,,-,0.13,-,-6.75,-,-0.5,-4.35
Billabong Intl,BBG,11.43,6,11.30,11.43,10427,11.46,11.30,11.95,11.30,12.32,7.64,36,p,1.59,0.84,3.15,57.2,20.0,-1.0,-0.09
BKM Management,BKM,0.008,-,0.008,0.013,-,-,-,0.009,0.008,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-11.11
Fisher & Paykel App,FPA,0.50,1,0.50,0.505,11899,0.505,0.50,0.505,0.475,0.725,0.27,-,,-,-,-,-38.56,-,5.0,11.11
Funtastic Ltd,FUN,0.255,-0.5,0.255,0.265,1406,0.26,0.255,0.265,0.25,0.30,0.125,-,,-,0.01,-,-25,-,-0.5,-1.92
Gale Pacific Ltd,GAP,0.17,1.5,0.17,0.20,4121,0.195,0.165,0.195,0.155,0.205,0.05,-,,-,0.24,-,3.11,5.5,-,-
