Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4706.7 at 16:47 20/11/2009  Report at 19:05 Friday 20/11/2009. Processed 19:12 Friday 20/11/2009.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,-,0.029,0.03,999,0.03,0.03,0.032,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,-,-,
Advanced Engine,ACE,0.067,-,0.055,0.067,-,-,-,0.067,0.067,0.093,0.031,-,,-,-0.04,-,-1.9,-,-,-,
Auto Tech Ltd,ATJ,0.055,-,0.055,0.06,12400,0.057,0.055,0.057,0.04,0.165,0.028,-,,-,0.01,-,-5.55,-,0.6,12.24,
Berklee Ltd,BER,0.78,-,0.70,0.79,765,0.80,0.69,0.85,0.685,0.871,0.351,-,f,-,0.89,-,13,6.0,-7.0,-8.24,
Coventry Grp,CYG,2.10,10,2.02,2.10,240,2.10,2.00,2.10,1.85,2.10,0.60,5,f,-,3.30,2.38,-3.6,-,25.0,13.51,
Datadot Tech,DDT,0.052,-0.2,0.052,0.055,9946,0.055,0.051,0.059,0.051,0.105,0.011,-,,-,0.01,-,-6.22,-,-0.6,-10.34,
Fleetwood Corp,FWD,7.56,-3,7.55,7.60,1098,7.63,7.40,7.74,7.40,8.86,3.27,66,f,1.04,2.63,8.73,68.7,11.0,-8.0,-1.05,
Orbital Corp Ltd,OEC,0.056,-,0.056,0.062,-,-,-,0.057,0.055,0.115,0.03,-,,-,0.03,-,-0.51,-,-,-,
Schaffer Corp Ltd,SFC,6.25,-,6.18,6.30,-,-,-,6.44,6.16,6.65,3.90,45,f,1.65,3.62,7.20,74.1,8.4,5.0,0.81
Supply Net,SNL,0.45,-,0.445,0.45,608,0.45,0.45,0.48,0.435,0.48,0.25,3,f,2.05,0.44,6.67,6.15,7.3,1.5,3.45
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.054,-,0.045,0.053,463,0.054,0.054,0.054,0.048,0.08,0.038,-,,-,0.22,-,2,2.7,0.1,1.89
Atlantic Ltd,ATI,0.039,-0.1,0.038,0.04,34780,0.04,0.039,0.043,0.039,0.048,0.005,-,,-,0.01,-,-0.11,-,-0.4,-9.3
  opt dec11,ATIO,0.028,-0.2,0.027,0.029,44886,0.03,0.028,0.033,0.028,0.039,0.003,-,,-,-,-,-,-,-0.4,-12.5
Atlas Southsea Pearl,ATP,0.12,-,0.115,0.12,1902,0.12,0.12,0.12,0.11,0.22,0.075,2,,-,0.20,16.67,-4.39,-,0.5,4.35
AVJennings,AVJ,0.545,-,0.54,0.545,783,0.545,0.54,0.55,0.54,0.63,0.16,2,,-,1.04,3.67,-4.68,-,-1.0,-1.8
Billabong Intl,BBG,10.12,-3,10.00,10.15,11788,10.33,9.98,11.05,9.98,12.19,5.815,45,p,1.54,0.70,4.45,69.2,14.6,-46.0,-4.35
BKM Management,BKM,0.006,-0.2,0.006,0.008,485,0.006,0.006,0.008,0.006,0.01,0.003,-,,-,-,-,-0.25,-,-0.2,-25
Fisher & Paykel App,FPA,0.505,-,0.495,0.505,8172,0.505,0.495,0.535,0.495,0.813,0.207,3.87,,-,0.01,7.66,-27.37,-,-1.5,-2.88
Funtastic Ltd,FUN,0.245,-,0.245,0.25,309,0.25,0.245,0.28,0.245,0.30,0.105,-,,-,0.05,-,-49.5,-,-2.0,-7.55
Gale Pacific Ltd,GAP,0.13,-2,0.13,0.15,6533,0.13,0.13,0.15,0.13,0.17,0.035,-,,-,0.24,-,-6.75,-,-,-
Gazal Corp,GZL,1.40,-,1.30,1.40,-,-,-,1.40,1.40,1.55,0.85,8,f,1.41,0.60,5.71,11.3,12.4,-,-
GLG Corp Ltd,GLE,0.26,-,0.28,0.30,-,-,-,0.26,0.26,0.32,0.13,-,,-,0.45,-,3.55,7.3,-2.0,-7.14
Globe Intl,GLB,0.43,-,0.41,0.43,-,-,-,0.43,0.42,0.50,0.125,-,,-,0.70,-,-21.39,-,-,-
GUD Hldgs,GUD,8.80,-15,8.80,8.87,9744,8.90,8.60,9.03,8.60,9.67,3.43,60,f,1.00,0.66,6.82,60,14.7,8.0,0.92
Headline Grp Ltd,HLD,0.15,1,0.15,0.155,200,0.15,0.15,0.15,0.14,0.16,0.08,-,,-,0.12,-,-1.31,-,-,-
