Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010. Processed 23:12 Friday 6/8/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.02,-,0.019,0.021,5204,0.02,0.019,0.02,0.019,0.038,0.016,-,,-,-,-,-0.32,-,0.1,5.26,
Advanced Engine,ACE,0.044,-,0.044,0.047,600,0.044,0.044,0.044,0.044,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.05,-,0.043,0.05,-,-,-,0.05,0.048,0.07,0.036,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.003,-,0.003,0.009,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.50,0.5,0.505,0.52,21,0.50,0.50,0.50,0.44,0.737,0.35,-,,-,1.23,-,19.64,2.5,6.0,13.64,
Datadot Tech,DDT,0.033,-,0.033,0.034,381,0.033,0.033,0.034,0.031,0.105,0.017,-,,-,0.01,-,-0.86,-,-0.1,-2.94,
Fleetwood Corp,FWD,9.99,4,9.90,10.00,604,10.00,9.90,10.00,9.74,10.13,6.42,66,f,0.98,2.12,6.61,64.7,15.4,32.0,3.31,
Orbital Corp Ltd,OEC,0.033,-,0.03,0.033,-,-,-,0.033,0.03,0.072,0.025,-,,-,0.02,-,-0.51,-,0.3,10,
Schaffer Corp Ltd,SFC,5.40,-,5.11,5.40,-,-,-,5.40,4.98,6.73,4.50,40,f,1.89,3.62,7.41,75.7,7.1,60.0,12.5,
Supply Net,SNL,0.385,-,0.385,0.435,-,-,-,0.40,0.38,0.51,0.24,3,f,1.91,0.40,7.79,5.74,6.7,-0.5,-1.28,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.014,-0.3,0.015,0.018,705,0.015,0.014,0.017,0.014,0.047,0.008,-,,-,0.12,-,-7.66,-,-0.3,-17.65,
Atlantic Ltd,ATI,0.04,-,0.039,0.04,148257,0.044,0.038,0.044,0.038,0.07,0.01,-,,-,0.01,-,-0.12,-,-,-,
  opt dec11,ATIO,0.032,0.1,0.025,0.033,3750,0.034,0.032,0.034,0.031,0.058,0.005,-,,-,-,-,-,-,0.1,3.23,
Atlas Southsea Pearl,ATP,0.105,-,0.095,0.105,3,0.105,0.105,0.11,0.09,0.145,0.08,-,,-,0.13,-,-6.75,-,1.5,16.67,
Billabong Intl,BBG,9.08,1,9.05,9.15,2606,9.15,9.04,9.22,9.01,12.32,8.28,36,p,1.59,0.84,3.96,57.2,15.9,-4.0,-0.44,
BKM Management,BKM,0.005,-,0.007,0.009,-,-,-,0.009,0.005,0.013,0.003,-,,-,-,-,-0.2,-,-0.4,-44.44,
Energio Ltd,EIO,0.008,0.1,0.007,0.008,13550,0.008,0.007,0.008,0.007,0.01,0.006,-,,-,-0.02,-,-1.4,-,-,-,
  opt mar13,EIOO,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.42,-0.5,0.415,0.425,4760,0.42,0.42,0.435,0.42,0.695,0.42,-,,-,-,-,-10.54,-,-0.5,-1.18,
Funtastic Ltd,FUN,0.22,-0.5,0.22,0.225,280,0.22,0.22,0.23,0.22,0.30,0.13,-,,-,0.01,-,-25,-,-,-,
Gale Pacific Ltd,GAP,0.175,0.5,0.175,0.20,12,0.175,0.175,0.175,0.17,0.205,0.054,-,,-,0.24,-,3.11,5.6,0.5,2.94,
Gazal Corp,GZL,1.46,3.5,1.46,1.70,3,1.46,1.46,1.60,1.42,1.62,1.09,8,f,1.29,0.69,5.48,10.3,14.2,4.0,2.82,
GLG Corp Ltd,GLE,0.34,-,0.28,0.32,-,-,-,0.34,0.34,0.40,0.18,-,,-,0.49,-,7.78,4.4,-,-,
Globe Intl,GLB,0.62,-4,0.62,0.68,1,0.62,0.62,0.66,0.60,0.66,0.195,-,,-,0.70,-,3.12,19.9,7.0,12.73,
GUD Hldgs,GUD,9.67,-,9.57,9.70,1058,9.70,9.53,9.79,9.36,10.62,7.79,62,f,1.23,1.92,6.41,76.5,12.6,32.0,3.42,
Headline Grp Ltd,HLD,0.395,-,0.355,0.395,-,-,-,0.40,0.385,0.40,0.11,-,,-,0.08,-,-1.79,-,1.0,2.6,
Island Sky Aust,ISK,0.025,0.2,0.024,0.025,1060,0.026,0.025,0.029,0.023,0.249,0.023,-,,-,0.03,-,-2.07,-,-0.1,-3.85,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.365,-1.5,0.36,0.365,53,0.365,0.365,0.38,0.365,0.46,0.17,3,f,1.52,0.18,8.22,4.57,8.0,-0.5,-1.35,
McPherson's Ltd,MCP,2.75,-,2.74,2.75,142,2.75,2.72,2.76,2.66,3.48,2.09,10,f,2.96,0.02,3.64,29.6,9.3,9.0,3.38,
Merchant House,MHI,0.175,-,0.165,0.255,180,0.175,0.175,0.175,0.175,0.18,0.12,1.5,,2.84,0.25,8.57,4.26,4.1,-,-,
Mesbon China Nylon,MES,0.115,-,0.115,0.12,-,-,-,0.125,0.115,0.14,0.085,0.5,,4.08,0.32,4.35,2.04,5.6,-1.0,-8,
Photo-Me Aust,PTO,0.003,-,0.002,0.005,-,-,-,0.003,0.002,0.009,0.002,-,,-,0.01,-,-2.08,-,-0.2,-40,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.074,0.2,0.074,0.08,100,0.074,0.074,0.074,0.071,0.42,0.063,-,,-,0.03,-,2.41,3.1,0.4,5.71,
Shenhua Ltd,SHU,0.49,-,0.47,0.49,25,0.49,0.49,0.49,0.49,0.55,0.45,-,,-,-,-,5.2,9.4,-,-,
Tamawood Ltd,TWD,2.42,3,2.41,2.42,91,2.42,2.40,2.44,2.38,2.76,1.951,21,f,1.32,0.91,8.68,27.66,8.7,-,-,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.052,-,0.052,0.075,-,-,-,0.052,0.052,0.175,0.05,-,,-,0.31,-,-5.24,-,0.2,4,
Undercoverwear,UCW,0.20,-,0.21,0.225,-,-,-,0.20,0.20,0.35,0.185,2.25,f,-,0.09,11.25,-5.65,-,-,-,
Vmoto Ltd,VMT,0.125,-,0.125,0.13,400,0.13,0.125,0.135,0.125,0.215,0.077,-,,-,0.02,-,-1.07,-,-,-,
Waterco Ltd,WAT,1.05,-,1.05,1.10,-,-,-,1.06,1.05,1.06,0.695,6,f,1.72,1.26,5.71,10.3,10.2,3.0,2.94,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.085,-,0.086,0.094,-,-,-,0.094,0.084,0.22,0.075,-,,-,0.01,-,-4.95,-,0.1,1.19,
Aircruising Aust,AIG,0.11,-,0.02,0.08,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.046,0.6,0.046,0.047,9948,0.046,0.037,0.046,0.037,0.245,0.024,0.5,,4.60,0.06,10.87,2.3,2.0,0.2,4.55,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.63,15,3.63,3.65,19645,3.63,3.44,3.63,3.36,5.75,3.34,4.5,,-,0.07,1.24,-31.3,-,24.0,7.08,
Artist & Entertain,AEM,0.009,-,0.008,0.011,-,-,-,0.009,0.008,0.025,0.007,-,,-,-,-,-1.54,-,0.1,12.5,
Centrebet Internat,CIL,1.39,0.5,1.37,1.39,9,1.39,1.39,1.39,1.32,1.89,0.97,10.5,,1.02,0.11,7.55,10.7,13.0,8.5,6.51,
Crown Ltd,CWN,8.15,-,8.08,8.20,7195,8.19,8.07,8.28,7.94,9.39,6.98,37,p,-,3.24,4.54,-92.35,-,19.0,2.39,
Domino Pizza Enterpr,DMP,5.42,2,5.40,5.48,25,5.42,5.40,5.49,5.40,5.80,3.65,14,f,1.86,0.69,2.58,26,20.8,-4.0,-0.73,
eBet Ltd,EBT,0.091,-0.1,0.091,0.092,1600,0.091,0.089,0.092,0.085,0.105,0.065,-,,-,-0.01,-,0.52,17.5,0.1,1.11,
Eumundi Grp Ltd,EBG,0.044,-,0.044,0.055,-,-,-,0.045,0.044,0.08,0.03,-,,-,0.19,-,-6,-,-0.1,-2.22,
Flight Centre,FLT,19.40,-2,19.40,19.55,1688,19.51,19.25,19.71,18.59,21.43,9.58,26,f,2.44,2.56,1.34,63.4,30.6,84.0,4.53,
G8 Education Ltd,GEM,0.60,2,0.59,0.63,200,0.60,0.60,0.64,0.58,0.685,0.075,-,,-,-0.27,-,-0.35,-,-3.0,-4.76,
Garratt's Ltd,GRT,0.365,-,0.365,0.50,-,-,-,0.365,0.365,0.56,0.305,3,,1.43,0.14,8.22,4.28,8.5,-1.5,-3.95,
Integrated Legal,IAW,0.096,-,0.098,0.105,-,-,-,0.096,0.096,0.17,0.091,0.25,f,2.16,0.06,2.60,0.54,17.8,-,-,
Invocare Ltd,IVC,6.38,8,6.30,6.39,1926,6.40,6.26,6.40,6.06,6.50,5.33,25.25,f,1.30,0.48,3.96,32.9,19.4,31.0,5.11,
Jetset Travelworld,JET,0.83,-,0.785,0.83,7,0.83,0.83,0.83,0.785,1.70,0.76,3.6,f,0.63,0.12,4.34,2.28,36.4,3.0,3.75,
Kip McGrath Edu Cntr,KME,0.27,-,0.27,0.30,-,-,-,0.30,0.27,0.45,0.105,2,,8.59,-0.10,7.41,17.19,1.6,-3.0,-10,
Macro Corp Ltd,MAC,0.031,-,0.003,0.031,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.007,0.1,0.007,0.008,333,0.007,0.007,0.008,0.006,0.044,0.006,-,,-,-0.32,-,0.34,2.1,-,-,
Navitas Ltd,NVT,4.78,-11,4.75,4.78,3487,4.91,4.75,4.91,4.35,5.56,3.01,18.8,f,1.00,-0.23,3.93,18.8,25.4,45.0,10.39,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.96,1.96,1.75,6,f,0.96,1.09,3.06,5.74,34.1,-,-,
Ocean Capital,OCE,0.25,-,0.25,0.28,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.03,0.06,-,-,-,0.04,0.04,0.07,0.025,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.20,-,0.20,0.40,-,-,-,0.20,0.20,0.30,0.16,2.06,,2.17,0.21,10.30,4.46,4.5,-,-,
Qld Trustees Invest,QTI,0.33,-,0.33,0.39,-,-,-,0.33,0.33,0.50,0.33,-,,-,0.78,-,1.02,32.4,-,-,
Reef Casino Tr unt,RCT,1.90,-1,1.90,1.925,56,1.925,1.90,1.93,1.90,2.15,1.70,24,,1.07,2.04,12.63,25.7,7.4,-3.0,-1.55,
Retail Food Grp,RFG,2.56,-4,2.55,2.57,868,2.60,2.56,2.65,2.56,3.10,2.11,10,f,2.54,-0.70,3.91,25.4,10.1,-9.0,-3.4,
