Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4882.7 at 14:54 31/12/2009  Report at 16:45 Thursday 31/12/2009. Processed 17:01 Thursday 31/12/2009.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.03,-,0.03,0.032,-,-,-,0.03,0.03,0.038,0.005,-,,-,0.01,-,-0.36,-,0.2,7.14
Advanced Engine,ACE,0.052,-0.6,0.055,0.059,2190,0.052,0.052,0.058,0.052,0.093,0.031,-,,-,-0.04,-,-1.9,-,-0.6,-10.34
Auto Tech Ltd,ATJ,0.047,-,0.04,0.047,-,-,-,0.047,0.047,0.151,0.028,-,,-,0.01,-,-5.55,-,-,-
Berklee Ltd,BER,0.59,-,0.455,0.59,-,-,-,0.59,0.59,0.78,0.297,-,f,-,0.89,-,13,4.5,-,-
Coventry Grp,CYG,2.25,-,2.20,2.30,-,-,-,2.25,2.20,2.35,0.60,5,f,-,3.30,2.22,-3.6,-,15.0,7.14
Datadot Tech,DDT,0.04,0.2,0.039,0.041,785,0.041,0.04,0.042,0.038,0.105,0.011,-,,-,0.01,-,-6.22,-,-,-
Fleetwood Corp,FWD,7.99,8,7.96,8.04,348,8.08,7.96,8.08,7.80,8.86,3.36,66,f,1.04,2.63,8.26,68.7,11.6,24.0,3.1
Orbital Corp Ltd,OEC,0.054,-0.3,0.054,0.058,500,0.054,0.054,0.057,0.051,0.115,0.03,-,,-,0.03,-,-0.51,-,0.3,5.88
Schaffer Corp Ltd,SFC,6.50,22,6.28,6.50,1,6.50,6.50,6.50,6.25,6.65,3.90,45,f,1.65,3.62,6.92,74.1,8.8,30.0,4.84
Supply Net,SNL,0.41,0.5,0.40,0.425,49,0.41,0.41,0.41,0.38,0.51,0.23,3,f,2.05,0.44,7.32,6.15,6.7,3.0,7.89
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.038,-,0.038,0.05,-,-,-,0.041,0.038,0.08,0.035,-,,-,0.22,-,2,1.9,-0.3,-7.32
Atlantic Ltd,ATI,0.035,0.1,0.034,0.036,13770,0.036,0.034,0.037,0.034,0.048,0.005,-,,-,0.01,-,-0.11,-,-,-
  opt dec11,ATIO,0.027,0.1,0.026,0.027,2200,0.027,0.025,0.028,0.025,0.039,0.003,-,,-,-,-,-,-,-,-
Atlas Southsea Pearl,ATP,0.125,-,0.115,0.125,-,-,-,0.125,0.125,0.22,0.075,2,,-,0.20,16.00,-4.39,-,-,-
AVJennings,AVJ,0.505,0.5,0.505,0.515,190,0.51,0.505,0.51,0.495,0.63,0.16,2,,-,1.04,3.96,-4.68,-,-1.5,-2.88
Billabong Intl,BBG,10.95,17,10.91,10.95,3130,11.10,10.77,11.10,10.73,12.19,5.815,45,p,1.54,0.70,4.11,69.2,15.8,25.0,2.34
BKM Management,BKM,0.006,-,0.006,0.01,-,-,-,0.006,0.006,0.011,0.003,-,,-,-,-,-0.25,-,-,-
Fisher & Paykel App,FPA,0.50,-,0.485,0.50,6620,-,-,0.515,0.495,0.806,0.207,3.87,,-,-,7.74,-38.56,-,-2.5,-4.76
Funtastic Ltd,FUN,0.225,1,0.22,0.225,734,0.225,0.215,0.225,0.215,0.30,0.105,-,,-,0.05,-,-49.5,-,0.5,2.27
