Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4507.4 at 16:37 7/5/2010  Report at 19:06 Friday 7/5/2010. Processed 21:05 Friday 7/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.019,-0.4,0.019,0.023,860,0.021,0.019,0.023,0.019,0.038,0.009,-,,-,-,-,-0.32,-,-0.3,-13.64,
Advanced Engine,ACE,0.045,0.5,0.044,0.045,300,0.045,0.045,0.045,0.04,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-,
Auto Tech Ltd,ATJ,0.05,-,0.05,0.055,360,0.05,0.05,0.054,0.041,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.011,0.01,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.42,-,0.42,0.485,413,0.43,0.42,0.43,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-,
Datadot Tech,DDT,0.036,-0.2,0.036,0.039,13550,0.036,0.036,0.041,0.036,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.3,-7.69,
Fleetwood Corp,FWD,8.77,-17,8.75,8.86,4243,8.89,8.35,9.50,8.35,9.74,5.30,66,f,0.98,2.12,7.53,64.7,13.6,-73.0,-7.68,
Orbital Corp Ltd,OEC,0.034,-0.2,0.034,0.037,750,0.034,0.034,0.04,0.034,0.115,0.034,-,,-,0.02,-,-0.51,-,-0.5,-12.82,
Schaffer Corp Ltd,SFC,6.10,-,6.00,6.10,32,6.10,6.10,6.11,6.10,6.73,4.00,40,f,1.89,3.62,6.56,75.7,8.1,-2.0,-0.33,
Supply Net,SNL,0.37,-1.5,0.365,0.39,535,0.37,0.365,0.385,0.365,0.51,0.24,3,f,1.91,0.40,8.11,5.74,6.4,-1.5,-3.9,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-,0.018,0.019,112,0.018,0.018,0.018,0.018,0.058,0.018,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.047,-0.1,0.046,0.047,94010,0.049,0.04,0.059,0.04,0.07,0.009,-,,-,0.01,-,-0.12,-,-1.4,-22.95,
  opt dec11,ATIO,0.038,-,0.035,0.04,17962,0.038,0.035,0.052,0.035,0.058,0.003,-,,-,-,-,-,-,-1.4,-26.92,
Atlas Southsea Pearl,ATP,0.11,-,0.11,0.12,235,0.11,0.11,0.11,0.11,0.16,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,11.00,-13,10.75,11.04,13531,11.30,10.52,11.84,10.52,12.32,7.64,36,p,1.59,0.84,3.27,57.2,19.2,-43.0,-3.76,
BKM Management,BKM,0.008,-,0.008,0.011,-,-,-,0.008,0.008,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.50,-2.5,0.495,0.505,9184,0.50,0.495,0.53,0.495,0.725,0.323,-,,-,-,-,-38.56,-,-,-,
Funtastic Ltd,FUN,0.23,-1.5,0.23,0.24,1415,0.23,0.23,0.255,0.23,0.30,0.125,-,,-,0.01,-,-25,-,-2.5,-9.8,
