Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4264.9 at 16:46 2/7/2010  Report at 19:06 Friday 2/7/2010. Processed 19:29 Friday 2/7/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.017,-,0.018,0.019,-,-,-,0.019,0.017,0.038,0.009,-,,-,-,-,-0.32,-,-0.1,-5.56,
Advanced Engine,ACE,0.035,-,0.03,0.045,-,-,-,0.035,0.032,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.2,-5.41,
Auto Tech Ltd,ATJ,0.055,0.1,0.041,0.055,4000,0.055,0.054,0.055,0.046,0.092,0.028,-,,-,0.02,-,-4.29,-,0.5,10,
  opt jun11,ATJO,0.005,-,0.004,0.01,-,-,-,0.005,0.005,0.011,0.005,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.42,-,0.43,0.52,-,-,-,0.42,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-,
Datadot Tech,DDT,0.029,0.1,0.026,0.029,570,0.029,0.029,0.03,0.025,0.105,0.015,-,,-,0.01,-,-0.86,-,-,-,
Fleetwood Corp,FWD,9.20,16,9.10,9.22,1236,9.22,9.04,9.79,9.01,10.00,5.30,66,f,0.98,2.12,7.17,64.7,14.2,-54.0,-5.54,
Orbital Corp Ltd,OEC,0.028,-,0.027,0.03,13000,0.028,0.028,0.028,0.025,0.08,0.025,-,,-,0.02,-,-0.51,-,0.2,7.69,
Schaffer Corp Ltd,SFC,4.67,11,4.67,5.10,50,4.75,4.67,4.75,4.56,6.73,4.35,40,f,1.89,3.62,8.57,75.7,6.2,8.0,1.74,
Supply Net,SNL,0.32,-,0.32,0.38,-,-,-,0.32,0.32,0.51,0.24,3,f,1.91,0.40,9.38,5.74,5.6,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.014,-,0.014,0.018,11650,0.014,0.014,0.014,0.01,0.058,0.008,-,,-,0.12,-,-7.66,-,0.4,40,
Atlantic Ltd,ATI,0.04,-0.1,0.04,0.041,20872,0.041,0.039,0.045,0.038,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.4,-9.09,
  opt dec11,ATIO,0.031,-,0.028,0.032,2500,0.031,0.031,0.035,0.03,0.058,0.003,-,,-,-,-,-,-,-0.4,-11.43,
Atlas Southsea Pearl,ATP,0.115,-,0.11,0.12,-,-,-,0.12,0.115,0.145,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,8.64,14,8.60,8.69,6563,8.81,8.61,8.95,8.28,12.32,7.93,36,p,1.59,0.84,4.17,57.2,15.1,-24.0,-2.7,
BKM Management,BKM,0.006,-,0.005,0.008,-,-,-,0.006,0.006,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.435,0.5,0.43,0.44,2161,0.435,0.425,0.465,0.425,0.715,0.425,-,,-,-,-,-10.54,-,-3.5,-7.45,
Funtastic Ltd,FUN,0.20,-0.5,0.20,0.21,386,0.205,0.20,0.23,0.20,0.30,0.13,-,,-,0.01,-,-25,-,-1.0,-4.76,
Gale Pacific Ltd,GAP,0.16,-,0.16,0.225,-,-,-,0.16,0.15,0.205,0.054,-,,-,0.24,-,3.11,5.1,1.0,6.67,
Gazal Corp,GZL,1.59,-,1.60,1.70,-,-,-,1.62,1.59,1.62,0.93,8,f,1.29,0.69,5.03,10.3,15.4,-,-,
GLG Corp Ltd,GLE,0.28,-,0.28,0.365,-,-,-,0.28,0.28,0.40,0.14,-,,-,0.49,-,7.78,3.6,-,-,
Globe Intl,GLB,0.415,-,0.35,0.50,-,-,-,0.43,0.415,0.525,0.195,-,,-,0.70,-,3.12,13.3,-4.5,-9.78,
GUD Hldgs,GUD,8.61,8,8.45,8.69,1675,8.61,8.42,8.76,8.41,10.62,6.28,61,f,1.18,1.09,7.08,71.73,12.0,-12.0,-1.37,
Headline Grp Ltd,HLD,0.29,1.5,0.28,0.30,218,0.29,0.29,0.30,0.275,0.35,0.10,-,,-,0.08,-,-1.79,-,1.0,3.57,
Island Sky Aust,ISK,0.033,0.3,0.032,0.04,1167,0.033,0.032,0.034,0.03,0.287,0.03,-,,-,0.03,-,-2.07,-,-0.4,-10.81,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.35,-,0.355,0.365,-,-,-,0.37,0.35,0.46,0.135,3,f,1.52,0.18,8.57,4.57,7.7,-2.0,-5.41,
McPherson's Ltd,MCP,2.51,-3,2.51,2.64,191,2.52,2.51,2.54,2.45,3.48,1.66,10,f,2.96,0.02,3.98,29.6,8.5,1.0,0.4,
Merchant House,MHI,0.165,-,0.165,0.17,-,-,-,0.165,0.165,0.18,0.10,1.5,,2.84,0.25,9.09,4.26,3.9,-,-,
Mesbon China Nylon,MES,0.105,-,0.11,0.125,-,-,-,0.125,0.105,0.14,0.061,0.5,,4.08,0.32,4.76,2.04,5.1,-1.5,-12.5,
Photo-Me Aust,PTO,0.005,-,0.003,0.005,-,-,-,0.005,0.005,0.009,0.004,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.076,0.1,0.073,0.076,315,0.076,0.076,0.078,0.07,0.42,0.063,-,,-,0.03,-,2.41,3.2,-0.2,-2.56,
Shenhua Ltd,SHU,0.495,-,0.10,0.49,-,-,-,0.495,0.495,0.55,0.45,-,,-,-,-,5.2,9.5,-,-,
Tamawood Ltd,TWD,2.41,-,2.41,2.48,-,-,-,2.48,2.41,2.76,1.672,21,f,1.39,0.91,8.71,29.22,8.2,-,-,
Thomas Bryson Int,TBI,0.35,-,-,0.30,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.05,-,0.04,0.14,-,-,-,0.061,0.05,0.175,0.05,-,,-,0.31,-,-5.24,-,-1.1,-18.03,
Undercoverwear,UCW,0.205,-,0.20,0.21,-,-,-,0.205,0.205,0.35,0.19,2.25,f,-,0.09,10.98,-5.65,-,-,-,
Vmoto Ltd,VMT,0.135,-,0.135,0.15,851,0.14,0.135,0.155,0.135,0.215,0.061,-,,-,0.02,-,-1.07,-,-2.0,-12.9,
Waterco Ltd,WAT,1.02,-,0.96,1.02,-,-,-,1.04,1.02,1.06,0.68,6,f,1.72,1.26,5.88,10.3,9.9,-2.0,-1.92,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.09,-,0.085,0.09,-,-,-,0.09,0.09,0.22,0.067,-,,-,0.01,-,-4.95,-,-,-,
Aircruising Aust,AIG,0.11,-,-,0.10,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.025,-,0.024,0.025,2803,0.025,0.025,0.027,0.024,0.245,0.024,0.5,,4.60,0.06,20.00,2.3,1.1,-,-,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.61,-,3.58,3.61,24655,3.63,3.55,3.73,3.54,5.75,3.37,4.5,,-,0.07,1.25,-31.3,-,-12.0,-3.22,
Artist & Entertain,AEM,0.011,-,0.008,0.012,-,-,-,0.011,0.009,0.025,0.008,-,,-,-,-,-1.54,-,-,-,
Centrebet Internat,CIL,1.31,-,1.315,1.42,5,1.31,1.31,1.44,1.29,1.89,0.90,10.5,,1.02,0.11,8.02,10.7,12.2,-13.5,-9.34,
Crown Ltd,CWN,7.73,8,7.64,7.78,8758,7.82,7.68,7.96,7.60,9.39,6.41,37,p,-,3.24,4.79,-92.35,-,-17.0,-2.15,
Domino Pizza Enterpr,DMP,5.46,18,5.02,5.58,58,5.46,5.29,5.46,5.23,5.80,3.10,14,f,1.86,0.69,2.56,26,21.0,16.0,3.02,
eBet Ltd,EBT,0.081,-,0.076,0.081,2200,0.082,0.081,0.092,0.078,0.105,0.055,-,,-,-0.01,-,0.52,15.6,0.6,8,
Eumundi Grp Ltd,EBG,0.05,-,0.05,0.055,-,-,-,0.05,0.049,0.081,0.03,-,,-,0.19,-,-6,-,0.1,2.04,
Flight Centre,FLT,16.41,49,16.20,16.67,3923,16.55,15.86,16.95,15.77,21.43,8.32,26,f,2.44,2.56,1.58,63.4,25.9,-39.0,-2.32,
G8 Education Ltd,GEM,0.59,-,0.515,0.59,288,0.59,0.55,0.59,0.48,0.685,0.07,-,,-,-0.27,-,-0.35,-,10.0,20.41,
Garratt's Ltd,GRT,0.38,-,0.38,0.50,-,-,-,0.38,0.38,0.56,0.30,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.10,-,0.10,0.105,-,-,-,0.10,0.10,0.17,0.091,0.25,f,2.16,0.06,2.50,0.54,18.5,-0.5,-4.76,
Invocare Ltd,IVC,6.13,1,6.02,6.15,2676,6.17,6.08,6.21,6.00,6.50,5.25,25.25,f,1.30,0.48,4.12,32.9,18.6,-4.0,-0.65,
Jetset Travelworld,JET,0.83,-,0.84,0.90,-,-,-,0.90,0.83,1.70,0.68,3.6,f,0.63,0.12,4.34,2.28,36.4,-1.0,-1.19,
Kip McGrath Edu Cntr,KME,0.26,-,0.26,0.345,-,-,-,0.26,0.26,0.45,0.105,2,,8.59,-0.10,7.69,17.19,1.5,-0.5,-1.89,
Macro Corp Ltd,MAC,0.024,-,0.005,0.032,-,-,-,0.024,0.024,0.04,0.024,-,,-,0.08,-,-0.43,-,-,-,
National Leisure,NLG,0.007,-,0.007,0.008,-,-,-,0.007,0.007,0.044,0.006,-,,-,-0.32,-,0.34,2.1,0.1,16.67,
Navitas Ltd,NVT,4.47,-11,4.44,4.52,2551,4.59,4.45,4.82,4.45,5.56,2.63,16.9,f,0.99,-0.25,3.78,16.8,26.6,-17.0,-3.66,
Newhaven Hotels,NHH,1.96,-,1.96,2.50,-,-,-,1.96,1.88,2.20,1.75,6,f,0.96,1.09,3.06,5.74,34.1,8.0,4.26,
Ocean Capital,OCE,0.25,-,0.25,0.355,-,-,-,0.255,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,0.038,-,-,-,-,0.04,0.04,0.07,0.017,-,,-,0.06,-,0.5,8.0,-,-,
Planet Platinum,PPN,0.18,-,0.16,0.30,-,-,-,0.20,0.18,0.30,0.16,2.06,,2.17,0.21,11.44,4.46,4.0,-2.0,-10,
Qld Trustees Invest,QTI,0.34,-,0.34,0.39,-,-,-,0.34,0.34,0.50,0.34,-,,-,0.78,-,1.02,33.3,-2.0,-5.56,
Reef Casino Tr unt,RCT,1.90,-,1.86,1.945,200,1.90,1.90,1.99,1.85,2.15,1.70,24,,1.07,2.04,12.63,25.7,7.4,-9.0,-4.52,
Retail Food Grp,RFG,2.65,-2,2.60,2.65,84,2.67,2.60,2.67,2.54,3.10,1.575,10,f,2.54,-0.70,3.77,25.4,10.4,5.0,1.92,
Sino Strategic Intl,SSI,0.235,-,0.235,0.26,-,-,-,0.25,0.23,0.92,0.23,-,,-,-0.05,-,-67,-,-4.5,-16.07,
Sky City Entertain,SKC,2.35,2,2.34,2.52,3030,2.38,2.33,2.38,2.30,2.89,2.06,11.69,,1.63,0.53,4.97,19.09,12.3,-4.0,-1.67,
