Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, October 30, 2015"
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.73,
Nov,2015,16.00,.13,.12,20,228,22.10,-.20,9.74,
Nov,2015,16.50,.28,.48,80,989,21.60,-.37,21.43,
Dec,2015,16.32,.34,.35,330,1280,22.20,-.33,14.92,
Jan,2016,16.50,.56,.71,44,44,21.50,-.39,13.55,

Asciano Last Sale Price $8.20,
Nov,2015,8.00,.23,.29,100,102,36.80,-.37,36.56,
Dec,2015,7.50,.18,.26,5000,5839,40.00,-.23,16.35,
Feb,2016,7.50,.46,.21,800,821,19.40,-.16,17.02,

Amcor Last Sale Price $13.65,
Nov,2015,13.50,.22,.23,510,300,19.80,-.38,20.53,
Dec,2015,12.96,.15,.70,100,601,21.70,-.22,8.19,
Dec,2015,13.19,.22,.23,829,829,21.30,-.29,11.73,
Dec,2015,13.86,.51,.91,100,2045,20.70,-.54,16.10,
Jan,2016,12.75,.18,.23,50,350,20.20,-.20,5.29,
Mar,2016,13.00,.48,.55,30,60,20.90,-.28,8.79,

AMP Last Sale Price $5.73,
Nov,2015,5.00,.00,.06,700,935,24.10,-.01,.45,
Nov,2015,5.51,.06,.17,700,1800,23.20,-.24,12.51,
Nov,2015,5.75,.16,.14,365,1860,23.40,-.49,30.71,
Nov,2015,6.00,.33,.22,590,1690,24.70,-.74,12.51,
Dec,2015,5.25,.04,.05,350,1001,25.90,-.15,5.85,
Dec,2015,5.50,.10,.10,200,1878,24.70,-.28,13.00,
Dec,2015,5.75,.20,.20,350,3997,23.90,-.47,23.40,
Dec,2015,6.00,.35,.24,130,4620,23.70,-.68,11.05,
Dec,2015,6.26,.56,.64,30,380,24.30,-.85,3.90,
Jan,2016,5.00,.04,.04,38,30,25.00,-.10,2.80,
Jan,2016,5.50,.14,.13,73,2238,22.90,-.30,10.15,
Jan,2016,5.75,.25,.22,10,85,22.10,-.46,16.10,
Jan,2016,6.01,.40,.42,800,820,21.70,-.63,8.05,
Jan,2016,6.26,.58,.45,50,50,21.90,-.79,3.50,
Mar,2016,5.50,.28,.24,30,807,24.60,-.32,12.43,
Apr,2016,5.75,.45,.44,24,-,24.70,-.43,15.05,
Jun,2016,5.50,.36,.32,20,720,24.60,-.33,9.77,
Sep,2016,5.50,.50,.42,30,-,24.60,-.33,9.38,
Sep,2016,5.75,.62,.56,500,528,23.80,-.41,11.37,

Ansell Last Sale Price $20.12,
Nov,2015,18.50,.16,.15,140,197,33.20,-.15,10.37,
Nov,2015,19.00,.26,.40,9,164,32.30,-.23,16.85,
Nov,2015,19.50,.40,.50,8,138,31.40,-.33,25.92,
Dec,2015,18.50,.33,.35,200,50,33.30,-.21,12.03,
Dec,2015,19.00,.45,.47,25,75,32.50,-.27,16.66,
Dec,2015,20.00,.82,1.93,100,100,31.10,-.44,30.36,
Dec,2015,21.00,1.37,1.68,100,145,30.00,-.62,18.14,
Dec,2015,25.01,4.86,4.60,45,80,32.20,-1.00,-,
Jan,2016,19.00,.58,1.48,40,47,28.00,-.29,11.66,
