Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.36,
Sep,2015,25.50,.01,.05,306,2686,42.50,-.02,2.75,
Sep,2015,26.00,.03,.19,290,2635,40.50,-.04,4.59,
Sep,2015,26.01,.03,.46,100,445,40.50,-.04,4.59,
Sep,2015,26.50,.04,.18,530,13329,38.20,-.07,8.26,
Sep,2015,27.00,.09,.20,1091,9660,35.80,-.13,15.61,
Sep,2015,27.01,.09,.48,30,1000,35.70,-.13,15.61,
Sep,2015,27.50,.16,.14,1300,3203,33.50,-.21,28.46,
Sep,2015,28.00,.28,.22,108,1867,31.70,-.35,51.41,
Sep,2015,28.01,.28,.62,130,285,31.70,-.35,52.33,
Sep,2015,28.50,.50,.39,1200,2291,30.60,-.52,72.52,
Sep,2015,28.51,.50,.34,727,1110,30.60,-.52,71.60,
Sep,2015,29.00,.81,1.45,200,2032,30.30,-.69,37.64,
Sep,2015,29.01,.81,1.50,65,573,30.40,-.69,36.72,
Sep,2015,29.50,1.20,1.03,329,2155,30.80,-.83,17.44,
Sep,2015,29.51,1.21,2.05,500,1365,30.80,-.83,17.44,
Sep,2015,30.00,1.65,1.56,75,1663,32.00,-.91,8.26,
Sep,2015,30.51,2.13,3.29,1000,300,33.90,-.96,2.75,
Sep,2015,31.01,2.62,2.50,20,809,36.20,-.98,.92,
Sep,2015,31.51,3.11,.47,100,252,39.00,-1.00,-,
Sep,2015,32.01,3.61,4.99,35,588,42.20,-1.00,-,
Sep,2015,33.00,4.60,4.98,30,860,49.00,-1.00,-,
Sep,2015,33.01,4.61,4.54,78,823,49.00,-1.00,-,
Sep,2015,33.50,5.10,5.80,100,900,52.40,-1.00,-,
Sep,2015,33.51,5.11,6.00,150,816,52.50,-1.00,-,
Sep,2015,34.01,5.61,6.90,40,301,55.80,-1.00,-,
