Warrants Market - Daily,,,,,,,,,,,,
XAO 4262.7 at 16:36 1/7/2010  Report at 19:05 Thursday 1/7/2010. Processed 19:37 Thursday 1/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.20,,,,,,,,,,,,
MQGWOC,57.50,23/09/10,6:1,0.014,0.024,0.02,-,-,,,,
National Aust Bank Last Sale Price $23.03,,,,,,,,,,,,
NABVZD,27.00,28/07/10,4:1,0.021,0.04,-,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.135,0.14,0.145,-,-,,,,
NABWOH,28.00,23/09/10,4:1,0.055,0.06,0.17,-,-,,,,
NABWOI,30.50,23/09/10,4:1,0.02,0.025,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,23.94,-,-,,,,
Newcrest Min Last Sale Price $35.37,,,,,,,,,,,,
NCMVZG,36.00,28/07/10,4:1,0.365,0.395,-,-,-,,,,
NCMWOA,34.00,26/08/10,4:1,0.775,0.78,0.78,-,-,,,,
NCMWOB,36.50,26/08/10,4:1,0.47,0.48,0.45,-,100,,,,
NCMWOH,40.00,26/08/10,4:1,0.21,0.215,0.195,-0.5,1500,,,,
News Corp Last Sale Price $16.40,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.17,0.18,0.185,-15,100,,,,
NWSUMD,20.00,23/09/10,4:1,0.058,0.063,0.145,-,-,,,,
NWSVMF,22.00,23/09/10,4:1,0.015,-,-,-,-,,,,
Orica Ltd Last Sale Price $24.82,,,,,,,,,,,,
ORIUMB,27.00,23/09/10,4:1,0.165,-,0.22,-,-,,,,
Oil Search Ltd Last Sale Price $5.43,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.18,0.20,-,-,-,,,,
Paladin Energy Last Sale Price $3.43,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.185,0.195,-,-,-,,,,
Qantas Airways Last Sale Price $2.19,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.078,0.094,0.16,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.028,-,0.12,-,-,,,,
QBE Insurance Grp Last Sale Price $17.70,,,,,,,,,,,,
QBEVMF,18.00,23/09/10,4:1,0.24,0.26,-,-,-,,,,
QBEUME,20.00,23/09/10,4:1,0.077,0.088,0.155,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.04,0.047,0.043,-1.7,4000,,,,
QBEWOB,22.50,23/09/10,4:1,0.023,0.028,0.058,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.013,0.023,0.018,-,400,,,,
Rio Tinto Ltd Last Sale Price $65.10,,,,,,,,,,,,
RIOVZH,75.00,28/07/10,6:1,0.12,0.15,-,-,-,,,,
RIOWOA,70.00,26/08/10,6:1,0.395,0.44,0.415,-8.5,455,,,,
RIOWOB,77.50,26/08/10,6:1,0.14,0.16,0.565,-,-,,,,
RIOWOG,82.50,26/08/10,6:1,0.064,0.069,0.18,-,-,,,,
RIOUMI,63.00,23/09/10,4:1,1.675,1.78,1.69,-24,400,,,,
RIOUMJ,65.00,23/09/10,4:1,1.465,1.565,1.69,-,-,,,,
