Warrants Market - Daily,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:10 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.56,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.078,0.083,0.082,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.04,0.045,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.31,,,,,,,,,,,,
ANZUMD,20.00,24/06/10,4:1,0.615,-,0.69,-,-,,,,
ANZUMF,20.00,24/06/10,4:1,0.615,-,0.495,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.25,-,0.19,-,-,,,,
ANZUMG,22.00,24/06/10,4:1,0.24,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.09,0.10,0.093,-6.2,160,,,,
ANZUMH,24.00,24/06/10,4:1,0.052,-,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.057,0.063,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.056,-,0.095,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.015,0.025,0.017,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.004,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,-,0.011,0.064,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.485,0.49,0.46,1.5,40,,,,
ANZWOH,24.50,23/09/10,4:1,0.26,0.265,0.26,2,300,,,,
ANZWMH,26.00,23/09/10,4:1,0.16,0.165,0.21,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.13,0.135,-,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.079,0.082,0.095,-,-,,,,
ASX Ltd Last Sale Price $30.07,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.235,0.24,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.067,0.07,0.086,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.02,,,,,,,,,,,,
BHPUMD,32.00,24/06/10,4:1,1.30,-,1.56,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.465,-,0.73,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.17,0.18,0.145,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,0.089,0.099,0.085,-,-,,,,
BHPUMF,40.00,24/06/10,4:1,0.067,-,0.14,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.095,0.12,0.26,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.018,0.03,0.02,-,-,,,,
BHPWMA,43.00,24/06/10,4:1,0.002,-,0.04,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.003,0.003,0.003,-0.2,300,,,,
BHPVOD,45.00,24/06/10,4:1,-,-,0.01,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.001,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,-,-,0.024,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,0.001,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.02,1.025,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.655,0.66,0.655,3.5,3750,,,,
BHPWOE,39.50,26/08/10,4:1,0.435,0.44,0.44,5,2750,,,,
BHPWOF,41.00,26/08/10,4:1,0.315,0.32,0.29,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.165,0.18,0.175,1.5,2120,,,,
BHPWOO,45.00,26/08/10,4:1,0.105,0.11,0.20,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.055,0.06,0.054,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.30,1.305,1.595,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.745,0.75,0.69,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.33,0.335,0.33,-18.5,100,,,,
BHPWMH,46.00,23/09/10,4:1,0.115,-,0.21,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.079,0.082,0.079,0.5,2550,,,,
BlueScope Steel Last Sale Price $2.23,,,,,,,,,,,,
BSLWOD,2.50,24/06/10,2:1,0.034,0.039,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.005,0.015,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.045,0.05,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.028,0.033,-,-,-,,,,
BSLUMB,3.00,28/10/10,1:1,0.06,0.063,-,-,-,,,,
Brambles Ltd Last Sale Price $6.26,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.013,0.023,0.094,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.003,0.013,-,-,-,,,,
BXBWOC,7.25,26/08/10,3:1,0.058,0.063,-,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.031,0.036,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $50.75,,,,,,,,,,,,
CBAUMD,50.00,24/06/10,4:1,0.555,-,0.70,-,-,,,,
CBAUME,53.00,24/06/10,4:1,0.17,0.125,0.125,-20.5,274,,,,
CBAWOD,55.00,24/06/10,5:1,0.031,0.041,0.038,-,-,,,,
CBAVZB,56.00,24/06/10,5:1,0.053,0.058,0.095,-,-,,,,
CBAWMA,56.00,24/06/10,4:1,0.042,-,0.13,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.013,0.023,0.046,-,-,,,,
CBAWMB,58.00,24/06/10,4:1,0.019,-,0.068,-,-,,,,
CBAUMF,60.00,24/06/10,4:1,0.007,-,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,-,0.029,0.032,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,1.115,1.12,1.12,13,40,,,,
CBAUMH,53.00,23/09/10,4:1,0.78,0.785,0.78,7,105,,,,
CBAWOG,54.00,23/09/10,5:1,0.415,0.42,0.38,-,-,,,,
CBAUMI,56.00,23/09/10,4:1,0.51,0.52,-,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.275,0.28,-,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.275,-,0.37,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.17,0.19,0.15,-,-,,,,
CBAWMI,60.00,23/09/10,4:1,0.285,0.29,-,-,-,,,,
Computershare Ltd Last Sale Price $11.02,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.725,0.73,-,-,-,,,,
CSL Ltd Last Sale Price $33.27,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.50,0.505,-,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.21,0.215,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $3.92,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.33,0.335,0.365,-,-,,,,
Incitec Pivot Last Sale Price $2.90,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.225,0.23,0.225,-5,100,,,,
Macq Grp Ltd Last Sale Price $42.77,,,,,,,,,,,,
MQGVZL,48.00,24/06/10,5:1,0.064,0.069,0.15,-,-,,,,
MQGWOE,49.00,24/06/10,6:1,0.04,0.05,0.16,-,-,,,,
MQGWOD,52.50,24/06/10,6:1,0.001,-,0.088,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.31,0.315,0.39,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.094,0.095,0.08,-0.5,200,,,,
National Aust Bank Last Sale Price $24.10,,,,,,,,,,,,
NABWOF,26.50,24/06/10,4:1,0.032,0.042,0.005,-,-,,,,
NABVZC,27.00,24/06/10,4:1,0.02,0.04,-,-,-,,,,
NABWOD,28.00,24/06/10,4:1,0.003,0.013,0.02,-,-,,,,
NABWOE,30.00,24/06/10,4:1,-,-,0.001,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.275,0.28,0.27,2.5,1000,,,,
NABWOH,28.00,23/09/10,4:1,0.14,0.145,0.17,-,-,,,,
NABWOI,30.50,23/09/10,4:1,0.054,0.059,-,-,-,,,,
Newcrest Min Last Sale Price $33.19,,,,,,,,,,,,
NCMVZF,34.00,24/06/10,4:1,0.215,0.24,0.16,-,-,,,,
NCMWOA,34.00,26/08/10,4:1,0.575,0.58,-,-,-,,,,
NCMWOB,36.50,26/08/10,4:1,0.35,0.355,0.37,9.5,150,,,,
NCMWOH,40.00,26/08/10,4:1,0.17,0.175,-,-,-,,,,
News Corp Last Sale Price $18.09,,,,,,,,,,,,
NWSUMB,18.00,24/06/10,4:1,0.175,-,-,-,-,,,,
NWSWMA,20.00,24/06/10,4:1,0.019,-,0.047,-,-,,,,
NWSUMC,19.00,23/09/10,4:1,0.30,0.305,-,-,-,,,,
NWSUMD,21.00,23/09/10,4:1,0.14,0.145,-,-,-,,,,
Orica Ltd Last Sale Price $25.00,,,,,,,,,,,,
ORIUMB,27.00,23/09/10,4:1,0.225,0.23,0.26,-,-,,,,
Oil Search Ltd Last Sale Price $5.62,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.415,0.42,-,-,-,,,,
Paladin Energy Last Sale Price $3.77,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.39,0.395,-,-,-,,,,
Qantas Airways Last Sale Price $2.51,,,,,,,,,,,,
QANUMB,2.50,24/06/10,1:1,0.089,-,-,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.13,0.135,0.105,-,-,,,,
QANUMD,3.50,23/09/10,1:1,0.009,-,-,-,-,,,,
QBE Insurance Grp Last Sale Price $19.02,,,,,,,,,,,,
QBEUMC,21.00,24/06/10,4:1,0.01,-,-,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.15,0.155,0.155,-1,100,,,,
QBEWOB,22.50,23/09/10,4:1,0.074,0.079,0.092,-,-,,,,
QBEUME,24.00,23/09/10,4:1,0.024,0.03,-,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.03,0.035,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $66.75,,,,,,,,,,,,
RIOUMD,60.00,24/06/10,4:1,1.865,-,2.17,-,-,,,,
RIOUME,65.00,24/06/10,4:1,0.92,-,0.95,-,-,,,,
RIOUMF,70.00,24/06/10,4:1,0.325,-,0.35,-,-,,,,
RIOVZG,70.00,24/06/10,6:1,0.245,0.27,0.185,-,-,,,,
RIOWOF,72.50,24/06/10,6:1,0.078,0.091,0.085,-6,300,,,,
RIOUMG,75.00,24/06/10,4:1,0.076,-,-,-,-,,,,
RIOWOJ,79.00,24/06/10,6:1,0.011,0.031,0.083,-,-,,,,
RIOUMH,80.00,24/06/10,4:1,0.01,-,-,-,-,,,,
RIOWOK,86.00,24/06/10,6:1,0.003,0.023,0.007,-,-,,,,
RIOWMA,90.00,24/06/10,4:1,0.001,-,0.005,-,-,,,,
RIOWMB,95.00,24/06/10,4:1,0.001,-,-,-,-,,,,
RIOWOA,70.00,26/08/10,6:1,0.715,0.725,0.61,-,-,,,,
RIOWOB,77.50,26/08/10,6:1,0.34,0.35,0.49,-,-,,,,
RIOWOG,82.50,26/08/10,6:1,0.20,0.21,0.175,-,-,,,,
RIOUMI,60.00,23/09/10,4:1,2.68,2.69,2.69,25,76,,,,
RIOUMJ,65.00,23/09/10,4:1,1.98,1.985,1.985,23.5,150,,,,
RIOUMK,70.00,23/09/10,4:1,1.305,1.31,-,-,-,,,,
RIOUML,75.00,23/09/10,4:1,0.855,0.86,-,-,-,,,,
RIOUMM,80.00,23/09/10,4:1,0.54,0.545,0.635,-,-,,,,
RIOWMH,95.00,23/09/10,4:1,0.105,-,0.03,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.062,0.065,0.052,-,-,,,,
Santos Ltd Last Sale Price $12.88,,,,,,,,,,,,
STOUMB,13.00,24/06/10,4:1,0.105,-,0.087,-,-,,,,
STOWOC,13.50,26/08/10,4:1,0.205,0.21,0.14,-,-,,,,
STOWOD,15.00,26/08/10,4:1,0.105,0.11,-,-,-,,,,
STOUMC,13.00,23/09/10,4:1,0.295,0.30,0.26,-,-,,,,
STOUMD,15.00,23/09/10,4:1,0.13,0.135,-,-,-,,,,
Suncorp-Metway Last Sale Price $8.09,,,,,,,,,,,,
SUNUMC,8.50,23/09/10,4:1,0.11,0.115,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.69,,,,,,,,,,,,
TENWMH,2.50,23/09/10,1:1,0.015,-,-,-,-,,,,
Telstra Corp Last Sale Price $3.11,,,,,,,,,,,,
TLSWOC,3.00,24/06/10,2:1,0.074,0.084,0.145,-,-,,,,
TLSWMA,3.15,24/06/10,1:1,0.053,-,0.087,-,-,,,,
TLSWMB,3.30,24/06/10,1:1,0.037,-,-,-,-,,,,
TLSWOD,3.30,24/06/10,2:1,0.01,0.03,0.029,-,-,,,,
TLSWOE,3.10,26/08/10,2:1,0.07,0.075,-,-,-,,,,
TLSWOF,3.35,26/08/10,2:1,0.039,0.044,-,-,-,,,,
TLSUMD,2.92,23/09/10,1:1,0.325,0.33,0.24,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.20,0.205,-,-,-,,,,
TLSWMH,3.40,23/09/10,1:1,0.115,0.12,0.11,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.064,0.067,0.076,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.69,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.083,0.086,0.145,-,-,,,,
Westpac Banking Last Sale Price $22.59,,,,,,,,,,,,
WBCUMD,23.00,24/06/10,4:1,0.155,-,0.20,-,-,,,,
WBCUME,25.00,24/06/10,4:1,0.028,-,-,-,-,,,,
WBCVZE,26.00,24/06/10,4:1,0.01,0.04,0.024,-,-,,,,
WBCWOF,26.50,24/06/10,4:1,0.006,0.016,0.075,-,-,,,,
WBCWMA,27.00,24/06/10,4:1,0.001,-,0.03,-,-,,,,
