Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5351.8 at 2014-01-03T16:17:06. Report at Friday, January 3, 2014. Processed Saturday at 2014-01-04T01:00:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $32.21,
ANZWOA,30.00,30/01/14,4:1,.635,.64,.375,,,,
ANZWOB,32.00,30/01/14,4:1,.28,.285,.495,,,,
ANZVRC,35.00,30/01/14,4:1,.028,.03,,,,,
ANZVMC,33.00,27/02/14,4:1,.18,.205,.20,,,,
ANZVRA,33.00,27/02/14,4:1,.285,.29,,,,,
,
BHP Billiton Last Sale Price $37.77,
BHPWOG,36.00,30/01/14,4:1,.645,.65,.59,,,,
BHPWOH,38.00,30/01/14,4:1,.345,.35,.49,,,,
BHPVRC,40.00,30/01/14,4:1,.062,.063,.073,,,,
BHPWOI,40.00,30/01/14,4:1,.155,.16,.19,,,,
BHPVRA,38.00,27/02/14,4:1,.45,.455,,,,,
BHPVMC,38.50,27/02/14,4:1,.29,.33,.28,-7,200,,
,
C'wlth Bank of Aust Last Sale Price $77.58,
CBAWOA,74.00,30/01/14,5:1,.92,.925,.96,,,,
CBAWOB,77.00,30/01/14,5:1,.555,.56,.61,,,,
CBAVRC,80.00,30/01/14,4:1,.295,.305,,,,,
CBAVRA,77.00,27/02/14,4:1,.78,.795,,,,,
CBAVMC,79.00,27/02/14,4:1,.315,.34,.35,,,,
,
Fortescue Metals Grp Last Sale Price $5.82,
FMGWOA,4.50,30/01/14,3:1,.465,.47,.475,-3,500,,
FMGWOB,5.00,30/01/14,3:1,.32,.325,.37,,,,
FMGVRE,6.00,30/01/14,2:1,.145,.15,,,,,
FMGVRB,6.50,27/02/14,2:1,.082,.084,,,,,
,
Macquarie Grp Last Sale Price $55.00,
MQGWOA,49.00,30/01/14,4:1,1.625,1.63,1.145,,,,
MQGWOB,50.97,30/01/14,4:1,1.245,1.25,1.31,,,,
,
National Aust Bank Last Sale Price $34.69,
NABWOA,34.00,30/01/14,4:1,.375,.38,.45,,,,
NABWOB,36.00,30/01/14,4:1,.145,.15,.205,,,,
NABVRC,37.00,30/01/14,4:1,.065,.07,,,,,
NABVRA,36.00,27/02/14,4:1,.26,.27,,,,,
NABVMC,37.00,27/02/14,4:1,.065,.088,.065,-.7,450,,
,
Newcrest Min Last Sale Price $8.67,
NCMVRE,11.00,30/01/14,4:1,.002,,.04,,,,
NCMWOA,12.00,30/01/14,4:1,.023,,.022,+.3,50,,
NCMWOB,14.00,30/01/14,4:1,.016,,.022,,,,
