Warrants Market - Daily,,,,,,,,,,,,
XAO 4596.9 at 16:34 29/1/2010  Report at 19:05 Friday 29/1/2010. Processed 19:45 Friday 29/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.26,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.115,0.12,0.125,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.023,0.028,0.022,-0.5,560,,,,
ANZ Banking Grp Last Sale Price $21.73,,,,,,,,,,,,
ANZWZH,22.00,25/02/10,4:1,0.185,-,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.026,0.031,0.044,-,-,,,,
ANZWOL,26.50,25/02/10,4:1,0.006,0.011,0.025,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,0.005,0.01,0.006,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.38,0.415,0.385,-8.5,300,,,,
ANZWZJ,23.00,25/03/10,4:1,0.215,0.245,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.16,0.185,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.13,0.16,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.185,0.19,0.175,-5,3500,,,,
ANZWOB,25.00,29/04/10,4:1,0.089,0.094,0.205,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.13,0.15,0.16,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.042,0.047,0.094,-,-,,,,
ASX Ltd Last Sale Price $34.08,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.55,0.58,0.60,3.5,200,,,,
ASXVMB,35.00,25/03/10,4:1,0.305,0.325,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.265,0.285,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $39.40,,,,,,,,,,,,
BHPWOC,37.00,25/02/10,4:1,0.805,0.81,1.61,-,-,,,,
BHPWOD,39.00,25/02/10,4:1,0.415,0.42,0.44,-15.5,240,,,,
BHPWOE,41.00,25/02/10,4:1,0.175,0.18,0.205,-12,2800,,,,
BHPWOF,43.00,25/02/10,4:1,0.062,0.067,0.125,-,-,,,,
BHPVOC,45.00,25/02/10,4:1,0.018,0.023,0.024,-2.2,2150,,,,
BHPWZB,46.00,25/02/10,4:1,0.066,0.08,-,-,-,,,,
