Warrants Market - Daily,,,,,,,,,,,,
XAO 4628.8 at 16:34 2/2/2010  Report at 19:05 Tuesday 2/2/2010. Processed 19:19 Tuesday 2/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.21,,,,,,,,,,,,
MQGVZI,52.00,25/03/10,5:1,0.93,0.96,-,-,-,,,,
MQGWOA,55.00,29/04/10,6:1,0.355,0.36,0.45,-,-,,,,
National Aust Bank Last Sale Price $25.95,,,,,,,,,,,,
NABWOJ,28.00,25/02/10,4:1,0.039,0.044,0.035,-25,400,,,,
NABWZI,28.00,25/02/10,4:1,0.079,0.093,0.20,-,-,,,,
NABWOK,30.00,25/02/10,4:1,0.01,0.015,0.02,-,-,,,,
NABWOL,32.00,25/02/10,4:1,0.003,0.01,0.007,-,-,,,,
NABWZJ,28.00,25/03/10,4:1,0.20,0.23,-,-,-,,,,
NABVMA,29.00,25/03/10,5:1,0.091,0.096,0.094,-6.1,1200,,,,
NABWZK,30.00,25/03/10,4:1,0.089,0.12,-,-,-,,,,
NABVMB,31.00,25/03/10,5:1,0.037,0.04,0.125,-,-,,,,
NABWOA,28.50,29/04/10,4:1,0.20,0.205,0.195,-3,2085,,,,
NABWOB,30.50,29/04/10,4:1,0.092,0.097,0.087,-1.8,200,,,,
NABVME,33.00,29/04/10,5:1,0.041,0.044,0.079,-,-,,,,
NABWOC,33.00,29/04/10,4:1,0.034,0.039,0.037,-,-,,,,
Newcrest Min Last Sale Price $31.71,,,,,,,,,,,,
NCMVMA,35.00,25/03/10,4:1,0.275,0.28,0.26,3.5,400,,,,
NCMWOC,35.00,25/03/10,4:1,0.21,0.215,0.30,-,-,,,,
NCMVMB,37.00,25/03/10,4:1,0.165,0.17,0.435,-,-,,,,
NCMWOD,37.50,25/03/10,4:1,0.09,0.095,0.10,-3,880,,,,
NCMVZC,38.00,25/03/10,4:1,0.185,0.215,0.28,-,-,,,,
NCMWOE,40.00,25/03/10,4:1,0.045,0.05,0.06,-,-,,,,
NCMVME,39.00,29/04/10,4:1,0.21,0.215,0.235,4.5,330,,,,
News Corp Last Sale Price $16.87,,,,,,,,,,,,
NWSVMA,16.00,25/03/10,4:1,0.38,0.385,0.345,-4,50,,,,
NWSVME,18.00,29/04/10,4:1,0.21,0.215,0.215,-24,90,,,,
Oil Search Ltd Last Sale Price $5.43,,,,,,,,,,,,
OSHVMA,6.50,25/03/10,2:1,0.023,-,0.032,-,-,,,,
OSHVME,7.50,29/04/10,2:1,0.006,-,0.06,-,-,,,,
OZ Minerals Last Sale Price $1.07,,,,,,,,,,,,
OZLWOA,1.25,25/03/10,2:1,0.025,0.03,-,-,-,,,,
OZLWOB,1.45,25/03/10,2:1,0.011,0.016,-,-,-,,,,
Paladin Energy Last Sale Price $3.78,,,,,,,,,,,,
PDNVMA,4.00,25/03/10,2:1,0.11,0.115,0.105,1.4,200,,,,
PDNVME,5.00,29/04/10,2:1,0.049,0.052,0.05,-,-,,,,
Qantas Airways Last Sale Price $2.86,,,,,,,,,,,,
QANVMA,2.50,25/03/10,2:1,0.195,0.20,0.21,-,-,,,,
QANVME,3.50,29/04/10,2:1,0.023,-,0.048,-,-,,,,
QBE Insurance Grp Last Sale Price $23.10,,,,,,,,,,,,
QBEVMA,23.00,25/03/10,4:1,0.27,0.275,0.56,-,-,,,,
QBEWOA,23.00,25/03/10,4:1,0.195,0.20,0.19,-,-,,,,
QBEVMB,25.00,25/03/10,4:1,0.095,0.098,0.135,-,-,,,,
QBEWOD,26.00,25/03/10,4:1,0.032,0.037,0.027,-,-,,,,
QBEVME,27.00,29/04/10,4:1,0.06,0.063,0.27,-,-,,,,
Rio Tinto Ltd Last Sale Price $71.01,,,,,,,,,,,,
RIOWOA,70.00,25/02/10,6:1,0.505,0.62,0.50,21.5,478,,,,
RIOWOB,77.00,25/02/10,6:1,0.12,0.13,0.11,4,2000,,,,
RIOVZB,80.00,25/02/10,6:1,0.205,0.235,0.655,-,-,,,,
RIOVMA,65.00,25/03/10,6:1,1.40,1.405,1.435,-,-,,,,
RIOVMB,70.00,25/03/10,6:1,0.875,0.88,0.60,-,-,,,,
RIOVZC,72.00,25/03/10,6:1,0.945,0.975,-,-,-,,,,
