Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5415.4 at 2013-11-07T16:48:36. Report at Thursday, November 7, 2013. Processed Friday at 2013-11-08T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $32.38,
ANZVRE,30.00,28/11/13,4:1,.675,.68,,,,,
ANZVMB,31.00,19/12/13,4:1,.455,.485,.245,,,,
ANZVRB,32.00,19/12/13,4:1,.405,.41,,,,,
ANZWOA,30.00,30/01/14,4:1,.825,.83,.76,,,,
ANZWOB,32.00,30/01/14,4:1,.495,.50,.57,,,,
ANZVMC,33.00,27/02/14,4:1,.295,.32,.35,-6,80,,
,
BHP Billiton Last Sale Price $38.24,
BHPVRI,37.00,28/11/13,4:1,.45,.47,,,,,
BHPVMB,37.00,19/12/13,4:1,.50,.525,.47,,,,
BHPVRB,37.00,19/12/13,4:1,.57,.59,,,,,
BHPWOG,36.00,30/01/14,4:1,.95,.955,.91,,,,
BHPWOH,38.00,30/01/14,4:1,.68,.685,.615,,,,
BHPWOI,40.00,30/01/14,4:1,.445,.45,,,,,
BHPVMC,37.00,27/02/14,4:1,.735,.76,,,,,
,
C'wlth Bank of Aust Last Sale Price $79.32,
CBAVRE,75.00,28/11/13,4:1,1.20,1.26,1.02,,,,
CBAVMB,75.00,19/12/13,4:1,1.28,1.305,1.20,+34,70,,
CBAVRB,75.00,19/12/13,4:1,1.385,1.44,.73,,,,
CBAWOA,74.00,30/01/14,5:1,1.48,1.485,1.13,,,,
CBAWOB,77.00,30/01/14,5:1,1.135,1.14,.95,,,,
CBAVMC,74.00,27/02/14,4:1,1.50,1.525,,,,,
,
Fortescue Metals Grp Last Sale Price $5.70,
FMGVRA,4.75,28/11/13,2:1,.485,.495,,,,,
FMGVRD,5.50,19/12/13,2:1,.25,.26,,,,,
FMGWOA,4.50,30/01/14,3:1,.485,.49,.49,+2,500,,
FMGWOB,5.00,30/01/14,3:1,.365,.37,.37,,135,,
,
Macquarie Grp Last Sale Price $54.60,
MQGVRC,47.00,28/11/13,4:1,1.68,1.725,1.085,,,,
MQGWOA,49.00,30/01/14,4:1,1.685,1.69,1.145,,,,
MQGWOB,52.00,30/01/14,4:1,1.215,1.22,1.25,+13,240,,
,
National Aust Bank Last Sale Price $34.68,
NABVRE,33.00,28/11/13,4:1,.50,.53,.66,,,,
NABVMB,32.00,19/12/13,4:1,.72,.76,.55,,,,
NABVRB,35.00,19/12/13,4:1,.295,.315,,,,,
NABWOA,34.00,30/01/14,4:1,.575,.58,.55,,,,
NABWOB,36.00,30/01/14,4:1,.325,.33,.34,,,,
NABVMC,37.00,27/02/14,4:1,.16,.23,.16,-2.5,280,,
,
Newcrest Min Last Sale Price $10.13,
NCMVRA,15.00,28/11/13,4:1,.001,.03,.03,,,,
NCMVMB,13.00,19/12/13,4:1,.001,.04,.071,,,,
NCMVRD,14.00,19/12/13,4:1,.015,.03,,,,,
NCMWOA,12.00,30/01/14,4:1,.155,.16,.165,,,,
NCMWOB,14.00,30/01/14,4:1,.069,.074,.072,,,,
NCMVMC,12.00,27/02/14,4:1,.125,.155,,,,,
,
QBE Insurance Grp Last Sale Price $14.82,
QBEWOA,15.00,30/01/14,4:1,.27,.275,,,,,
QBEWOB,16.50,30/01/14,4:1,.13,.135,.13,,,,
,
Rio Tinto Last Sale Price $65.48,
RIOVRA,63.00,28/11/13,6:1,.58,.605,.425,,,,
RIOVMB,64.00,19/12/13,4:1,.835,.86,.74,,,,
RIOVRD,65.00,19/12/13,6:1,.535,.56,,,,,
RIOWOA,64.00,30/01/14,6:1,.97,.975,.965,,,,
RIOWOB,68.00,30/01/14,6:1,.625,.63,.61,,,,
RIOVMC,66.00,27/02/14,4:1,1.01,1.035,,,,,
,
Telstra Corp Last Sale Price $5.15,
TLSVMB,5.10,19/12/13,2:1,.069,.092,.079,,,,
TLSWOA,5.00,30/01/14,2:1,.185,.19,.195,,256,,
TLSWOB,5.25,30/01/14,2:1,.12,.125,,,,,
TLSVMC,5.15,27/02/14,2:1,.071,.094,,,,,
,
Unilife Corp Last Sale Price $0.47,
UNSWCA,0.30,19/12/13,1:1,.175,,.34,,,,
,
Westpac Banking Last Sale Price $34.23,
WBCVRD,36.00,28/11/13,4:1,.029,.031,,,,,
WBCVMB,34.00,19/12/13,4:1,.165,.19,,,,,
WBCVRB,34.00,19/12/13,4:1,.25,.265,,,,,
WBCWOA,32.00,30/01/14,4:1,.685,.69,.76,,,,
WBCWOB,34.00,30/01/14,4:1,.40,.405,.445,,,,
WBCVMC,35.00,27/02/14,4:1,.23,.255,.32,,,,
,
Wesfarmers Last Sale Price $43.48,
WESWOA,41.00,30/01/14,4:1,1.025,,,,,,
WESWOB,44.00,30/01/14,4:1,.585,,,,,,
,
Woodside Petroleum Last Sale Price $39.34,
WPLVRA,39.00,28/11/13,4:1,.32,.33,,,,,
WPLWOA,38.00,30/01/14,5:1,.675,.68,,,,,
WPLWOB,41.00,30/01/14,5:1,.36,.365,,,,,
,
Equity Put Warrants,
ANZ Banking Grp Last Sale Price $32.38,
ANZVRP,28.00,28/11/13,4:1,.015,.03,.03,,,,
ANZVMQ,28.00,19/12/13,4:1,.013,,.013,,,,
ANZVRQ,30.00,19/12/13,4:1,.13,.135,,,,,
ANZWOU,28.00,30/01/14,4:1,.092,.097,.085,-.5,150,,
ANZWOT,30.00,30/01/14,4:1,.185,.19,.185,+2.5,390,,
ANZVMR,30.00,27/02/14,4:1,.17,.195,,,,,
,
BHP Billiton Last Sale Price $38.24,
BHPVRP,34.00,28/11/13,4:1,.029,.03,.071,,,,
BHPVMQ,35.00,19/12/13,4:1,.063,.086,,,,,
BHPVRQ,35.00,19/12/13,4:1,.13,.13,,,,,
BHPWOR,33.00,30/01/14,4:1,.205,.21,.22,,,,
BHPWOQ,35.00,30/01/14,4:1,.32,.325,,,,,
BHPWOP,37.00,30/01/14,4:1,.485,.49,,,,,
BHPVMR,33.00,27/02/14,4:1,.12,.155,,,,,
,
