Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4661.6 at 2011-05-25T16:40:35. Report at Wednesday, May 25, 2011. Processed Thursday at 2011-05-26T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Last Sale Price $1.50,
AIOVMA,1.80,23/06/11,1:1,.001,,.07,,,,
,
Amcor Last Sale Price $7.03,
AMCTMC,4.50,23/06/11,1:1,2.53,2.60,2.92,,,,
,
AMP Last Sale Price $5.11,
AMPTMC,3.50,23/06/11,1:1,1.63,1.66,,,,,
,
ANZ Banking Grp Last Sale Price $21.70,
ANZWOG,23.00,26/05/11,4:1,.001,,.051,,,,
ANZVZL,25.00,26/05/11,4:1,.001,,,,,,
ANZWOH,25.00,26/05/11,4:1,.001,,.017,,,,
ANZWOI,27.00,26/05/11,4:1,.001,,.015,,,,
ANZTMA,17.00,23/06/11,1:1,4.78,,8.24,,,,
ANZTMC,17.00,23/06/11,1:1,4.82,4.90,4.86,-100,200,,
ANZVMA,23.00,23/06/11,4:1,.051,.059,.088,,,,
ANZVMB,25.00,23/06/11,4:1,.007,,.055,,,,
ANZVZM,25.00,23/06/11,4:1,.001,.04,.085,,,,
ANZVZN,26.00,23/06/11,4:1,.001,.04,.19,,,,
ANZVMC,27.00,23/06/11,4:1,.001,,.055,,,,
ANZWOJ,23.00,28/07/11,4:1,.17,.175,.16,-3,1000,,
ANZWME,24.00,28/07/11,4:1,.072,.08,,,,,
ANZWOK,25.00,28/07/11,4:1,.056,.061,.145,,,,
ANZWOL,27.00,28/07/11,4:1,.018,.023,,,,,
ANZWMB,24.00,25/08/11,4:1,.125,.13,.13,,,,
ANZWMC,23.00,29/09/11,4:1,.275,.29,.26,-5.5,220,,
ANZWMD,25.00,29/09/11,4:1,.115,.125,,,,,
,
ASX Last Sale Price $31.50,
ASXTMC,20.50,23/06/11,1:1,11.18,11.30,,,,,
,
Alumina Last Sale Price $2.21,
AWCTMC,1.00,23/06/11,1:1,1.225,,1.46,,,,
AWCVMA,2.50,23/06/11,1:1,.028,.033,.165,,,,
AWCWMA,2.25,29/09/11,1:1,.24,.25,,,,,
AWCWMC,2.50,29/09/11,1:1,.14,.15,,,,,
,
BHP Billiton Last Sale Price $42.97,
BHPVZN,48.00,26/05/11,4:1,.001,,.59,,,,
BHPTMC,25.00,23/06/11,1:1,18.10,18.21,19.90,,,,
BHPTMD,31.00,23/06/11,1:1,12.10,12.21,15.93,,,,
BHPVMA,38.00,23/06/11,4:1,1.35,1.38,,,,,
