Warrants Market - Daily,,,,,,,,,,,,
XAO 4659.5 at 17:37 21/12/2009  Report at 19:05 Monday 21/12/2009. Processed 19:20 Monday 21/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.54,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.21,0.215,0.165,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.082,0.087,0.07,-,-,,,,
ANZ Banking Grp Last Sale Price $20.95,,,,,,,,,,,,
ANZWZG,25.00,28/01/10,4:1,0.017,0.04,0.04,-,-,,,,
ANZWZH,22.00,25/02/10,4:1,0.225,0.255,0.31,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.066,0.071,0.068,-1.8,1500,,,,
ANZWOL,26.50,25/02/10,4:1,0.028,0.041,0.028,-0.5,2799,,,,
ANZWOJ,28.50,25/02/10,4:1,0.014,0.019,0.024,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.455,0.46,0.575,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.225,0.23,0.345,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.195,0.20,-,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.11,0.115,-,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.165,0.17,0.18,-2.5,800,,,,
ANZWOC,26.50,29/04/10,4:1,0.057,0.062,-,-,-,,,,
ASX Ltd Last Sale Price $34.35,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.785,0.79,0.71,-,-,,,,
ASXVMB,35.00,25/03/10,4:1,0.52,0.525,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.425,0.43,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.95,,,,,,,,,,,,
BHPWZA,40.00,28/01/10,4:1,0.685,0.715,0.895,-,-,,,,
BHPVZO,44.00,28/01/10,4:1,0.31,0.34,-,-,-,,,,
BHPWOC,37.00,25/02/10,4:1,1.235,1.24,1.285,-,-,,,,
BHPWOD,39.00,25/02/10,4:1,0.84,0.845,0.88,-,-,,,,
BHPWOE,41.00,25/02/10,4:1,0.57,0.575,0.49,-,-,,,,
BHPWOF,43.00,25/02/10,4:1,0.365,0.37,0.355,-,-,,,,
BHPVOC,45.00,25/02/10,4:1,0.24,0.27,0.235,3,1146,,,,
BHPWZB,46.00,25/02/10,4:1,0.355,0.385,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.42,1.425,1.525,16.5,50,,,,
BHPVMB,39.00,25/03/10,4:1,1.10,1.105,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.675,1.68,-,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,1.215,1.22,-,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.925,0.93,-,-,-,,,,
BHPVME,41.00,29/04/10,4:1,1.01,1.015,1.015,-,-,,,,
BHPWOH,43.50,29/04/10,4:1,0.56,0.565,0.515,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.375,0.38,-,-,-,,,,
BlueScope Steel Last Sale Price $2.90,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.115,0.12,-,-,-,,,,
BSLVMA,3.25,25/03/10,2:1,0.085,0.088,0.088,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.041,0.046,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $52.15,,,,,,,,,,,,
CBAVZJ,50.00,28/01/10,5:1,0.785,0.815,-,-,-,,,,
CBAWOL,51.00,25/02/10,5:1,0.615,0.62,0.63,-5,600,,,,
CBAWOJ,54.00,25/02/10,5:1,0.28,0.305,0.30,-5,600,,,,
CBAVZK,55.00,25/02/10,5:1,0.50,0.53,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.165,0.17,0.17,3,2200,,,,
CBAVMA,53.00,25/03/10,5:1,0.69,0.695,0.735,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.515,0.52,0.775,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.035,1.04,-,-,-,,,,
CBAWOB,55.00,29/04/10,5:1,0.545,0.55,-,-,-,,,,
CBAVME,57.00,29/04/10,5:1,0.49,0.495,0.655,-,-,,,,
