Warrants Market - Daily,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:05 Friday 28/5/2010. Processed 07:25 Saturday 29/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.65,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.095,0.10,0.082,1.6,152,,,,
AMPWOB,6.50,23/09/10,3:1,0.051,0.056,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.52,,,,,,,,,,,,
ANZUMD,20.00,24/06/10,4:1,0.675,0.73,0.71,17,72,,,,
ANZUMF,20.00,24/06/10,4:1,0.675,-,0.495,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.32,0.36,0.35,11,900,,,,
ANZUMG,22.00,24/06/10,4:1,0.315,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.145,0.165,0.16,9,955,,,,
ANZUMH,24.00,24/06/10,4:1,0.105,-,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.11,0.135,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.105,0.13,0.115,3.2,604,,,,
ANZWOE,24.50,24/06/10,4:1,0.033,0.053,0.017,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.012,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,0.013,0.033,0.064,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.53,0.535,0.45,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.30,0.305,0.30,4.5,200,,,,
ANZWMH,26.00,23/09/10,4:1,0.19,0.21,0.21,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.16,0.165,-,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.097,0.115,0.08,-,-,,,,
ASX Ltd Last Sale Price $31.13,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.43,0.45,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.175,0.19,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.97,,,,,,,,,,,,
BHPUMD,32.00,24/06/10,4:1,1.655,1.87,1.315,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.815,0.99,0.73,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.475,0.485,0.515,8.5,2280,,,,
BHPWOK,39.00,24/06/10,4:1,0.325,0.315,0.32,-1,9670,,,,
BHPUMF,40.00,24/06/10,4:1,0.275,0.375,0.15,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.36,0.385,0.245,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.13,0.13,0.125,2,4334,,,,
BHPWMA,43.00,24/06/10,4:1,0.065,0.15,0.036,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.03,0.04,0.036,-0.4,880,,,,
BHPVOD,45.00,24/06/10,4:1,0.01,-,0.01,0.3,640,,,,
BHPWMB,45.00,24/06/10,4:1,0.036,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.002,-,0.024,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,0.009,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.36,1.41,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.95,1.10,1.03,19,20,,,,
BHPWOE,39.50,26/08/10,4:1,0.68,0.715,0.755,18.5,40,,,,
BHPWOF,41.00,26/08/10,4:1,0.52,0.55,0.585,12.5,32,,,,
BHPWON,43.00,26/08/10,4:1,0.36,0.385,-,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.25,0.27,0.26,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.17,0.175,0.125,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.61,1.78,1.30,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,1.01,1.145,1.075,32.5,50,,,,
BHPUMJ,42.00,23/09/10,4:1,0.52,0.615,0.60,11.5,100,,,,
BHPWMH,46.00,23/09/10,4:1,0.20,0.40,0.135,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.145,0.17,0.195,7.5,3200,,,,
BlueScope Steel Last Sale Price $2.31,,,,,,,,,,,,
BSLWOD,2.50,24/06/10,2:1,0.056,0.066,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.012,0.022,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.063,0.068,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.038,0.043,-,-,-,,,,
BSLUMB,3.00,28/10/10,1:1,0.081,0.091,-,-,-,,,,
Brambles Ltd Last Sale Price $6.54,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.03,0.04,0.094,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.014,0.024,-,-,-,,,,
BXBWOC,7.25,26/08/10,3:1,0.095,0.10,-,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.056,0.061,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $52.12,,,,,,,,,,,,
CBAUMD,50.00,24/06/10,4:1,0.83,0.95,1.00,32.5,98,,,,
CBAUME,53.00,24/06/10,4:1,0.32,0.335,0.33,-,400,,,,
CBAWOD,55.00,24/06/10,5:1,0.115,0.25,0.17,8.5,1392,,,,
CBAVZB,56.00,24/06/10,5:1,0.175,0.20,0.195,8.5,750,,,,
CBAWMA,56.00,24/06/10,4:1,0.115,0.17,0.13,5.5,611,,,,
CBAWOE,57.50,24/06/10,5:1,0.042,0.062,0.046,-2.4,379,,,,
CBAWMB,58.00,24/06/10,4:1,0.048,0.068,0.068,0.6,100,,,,
CBAUMF,60.00,24/06/10,4:1,0.065,0.088,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.007,0.035,0.032,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,1.31,1.425,1.15,-,-,,,,
CBAUMH,53.00,23/09/10,4:1,0.965,1.06,1.09,28,220,,,,
CBAWOG,54.00,23/09/10,5:1,0.545,0.605,0.61,8,30,,,,
CBAUMI,56.00,23/09/10,4:1,0.67,0.745,-,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.37,0.42,-,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.34,0.49,0.37,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.24,0.28,0.285,2,100,,,,
CBAWMI,60.00,23/09/10,4:1,0.405,0.46,-,-,-,,,,
Computershare Ltd Last Sale Price $10.87,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.65,0.72,-,-,-,,,,
CSL Ltd Last Sale Price $31.40,,,,,,,,,,,,
