Warrants Market - Daily,,,,,,,,,,,,
XAO 4578.3 at 16:37 8/9/2010  Report at 19:05 Wednesday 8/9/2010. Processed 19:11 Wednesday 8/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.73,,,,,,,,,,,,
AIOWMA,1.80,27/01/11,1:1,0.17,0.175,-,-,-,,,,
AMP Ltd Last Sale Price $5.04,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.031,0.041,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.005,0.015,0.005,-,-,,,,
AMPWOC,5.75,25/11/10,3:1,0.04,0.045,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.02,0.025,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.49,,,,,,,,,,,,
ANZVMB,20.00,23/09/10,4:1,0.885,-,0.935,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.415,0.425,0.39,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.32,0.37,0.37,-,-,,,,
ANZVMD,24.00,23/09/10,4:1,0.088,0.094,0.096,-,-,,,,
ANZVZF,24.00,23/09/10,4:1,0.049,0.063,0.087,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.05,0.075,0.056,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.003,-,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.008,0.018,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
ANZVZG,23.00,28/10/10,4:1,0.30,0.33,-,-,-,,,,
ANZWOJ,22.00,25/11/10,4:1,0.53,0.535,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.31,0.315,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.165,0.17,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.079,0.084,-,-,-,,,,
ANZVMF,21.00,27/01/11,4:1,0.835,0.845,-,-,-,,,,
ANZVMG,23.00,27/01/11,4:1,0.515,0.52,-,-,-,,,,
ANZVMH,25.00,27/01/11,4:1,0.29,0.30,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.205,0.21,0.175,-,-,,,,
ANZUMA,22.00,24/03/11,4:1,0.765,0.77,-,-,-,,,,
ANZUMB,24.00,24/03/11,4:1,0.495,0.505,0.485,-,401,,,,
ASX Ltd Last Sale Price $29.36,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.002,-,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.001,-,0.086,-,-,,,,
ASXUMD,31.00,24/03/11,4:1,0.43,0.435,-,-,-,,,,
Alumina Ltd Last Sale Price $1.85,,,,,,,,,,,,
AWCWMA,1.80,27/01/11,1:1,0.275,0.28,0.25,-,500,,,,
AWE Ltd Last Sale Price $1.63,,,,,,,,,,,,
AWEWMA,1.75,24/03/11,1:1,0.25,0.255,0.255,-,-,,,,
AXA Asia Pacific Last Sale Price $5.44,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.91,,,,,,,,,,,,
BHPUMH,34.00,23/09/10,4:1,1.015,-,1.11,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.235,0.24,0.24,-9.5,200,,,,
BHPVMF,40.00,23/09/10,4:1,0.063,0.066,0.097,-,-,,,,
BHPVZH,40.00,23/09/10,4:1,0.015,0.04,0.082,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.009,-,0.02,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,0.001,-,0.065,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.001,-,0.091,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.001,-,0.06,-,-,,,,
BHPWOA,36.00,28/10/10,4:1,0.81,0.815,0.81,-,-,,,,
BHPVZI,38.00,28/10/10,4:1,0.335,0.38,0.47,-,-,,,,
BHPWOB,38.00,28/10/10,4:1,0.485,0.495,0.43,-,-,,,,
BHPWOG,40.00,28/10/10,4:1,0.26,0.27,0.315,-,-,,,,
BHPWOH,42.00,28/10/10,4:1,0.125,0.13,0.115,-,-,,,,
BHPWOI,44.00,28/10/10,4:1,0.055,0.06,0.073,-,-,,,,
BHPWMC,38.00,25/11/10,4:1,0.61,0.615,-,-,-,,,,
BHPVOB,39.00,23/12/10,4:1,0.63,0.635,0.71,-,-,,,,
BHPVOC,42.00,23/12/10,4:1,0.33,0.335,0.29,-,-,,,,
BHPVOF,46.00,23/12/10,4:1,0.115,0.12,-,-,-,,,,
BHPVMI,39.00,27/01/11,4:1,0.73,0.735,0.805,-,-,,,,
BHPVMH,40.00,27/01/11,4:1,0.62,0.63,0.77,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.30,0.305,0.325,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.20,0.205,0.205,-3,400,,,,
BHPWMD,41.00,24/03/11,4:1,0.675,0.68,-,-,-,,,,
BHPWME,43.00,24/03/11,4:1,0.50,0.51,-,-,-,,,,
Boart Longyear Last Sale Price $3.04,,,,,,,,,,,,
BLYWMA,3.00,27/01/11,1:1,0.46,0.47,-,-,-,,,,
BlueScope Steel Last Sale Price $2.31,,,,,,,,,,,,
BSLUMB,2.50,28/10/10,1:1,0.079,0.088,0.07,-,-,,,,
BSLUMC,2.25,27/01/11,1:1,0.30,0.315,-,-,-,,,,
Brambles Ltd Last Sale Price $5.94,,,,,,,,,,,,
BXBVME,5.00,23/09/10,1:1,0.94,-,0.67,-,-,,,,
BXBVMF,6.00,24/03/11,1:1,0.66,0.665,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.78,,,,,,,,,,,,
CBAUMG,50.00,23/09/10,4:1,0.595,0.60,0.58,-5,800,,,,
CBAVZE,52.00,23/09/10,5:1,0.13,0.175,0.18,-,-,,,,
CBAUMH,53.00,23/09/10,4:1,0.185,0.19,0.215,-,-,,,,
CBAWOG,54.00,23/09/10,5:1,0.095,0.10,0.092,-3.8,930,,,,
CBAUMI,55.00,23/09/10,4:1,0.061,0.065,0.042,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.028,0.038,0.105,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.014,0.03,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.005,-,0.008,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.012,0.022,0.012,-,-,,,,
CBAVZF,50.00,28/10/10,5:1,0.585,0.625,-,-,-,,,,
CBAWOA,48.00,25/11/10,5:1,1.135,1.14,0.86,-,-,,,,
CBAWOB,50.50,25/11/10,5:1,0.795,0.80,0.59,-,-,,,,
