Warrants Market - Daily,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 17:17 Thursday 23/9/2010. Processed 13:10 Friday 24/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.62,,,,,,,,,,,,
BHPUMJ,42.00,23/09/10,4:1,0.001,-,0.02,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,-,-,0.065,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,-,-,0.001,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
BHPWOA,36.00,28/10/10,4:1,0.945,0.95,0.995,-,-,,,,
BHPVZI,38.00,28/10/10,4:1,0.475,0.515,0.45,-,-,,,,
BHPWOB,38.00,28/10/10,4:1,0.57,0.575,0.545,-,-,,,,
BHPWOG,40.00,28/10/10,4:1,0.30,0.305,0.28,-,-,,,,
BHPWOH,42.00,28/10/10,4:1,0.13,0.14,0.145,2.5,670,,,,
BHPWOI,44.00,28/10/10,4:1,0.051,0.056,0.06,-,-,,,,
BHPWMC,38.00,25/11/10,4:1,0.69,0.695,0.68,-,200,,,,
BHPVZJ,40.00,25/11/10,4:1,0.31,0.345,0.295,-,-,,,,
BHPWOJ,38.00,23/12/10,4:1,0.87,0.875,-,-,-,,,,
BHPVOB,39.00,23/12/10,4:1,0.72,0.725,0.795,-,-,,,,
BHPWOK,40.00,23/12/10,4:1,0.585,0.59,-,-,-,,,,
BHPWOL,41.00,23/12/10,4:1,0.465,0.47,-,-,-,,,,
BHPVOC,42.00,23/12/10,4:1,0.375,0.38,0.29,-,-,,,,
BHPVOF,46.00,23/12/10,4:1,0.13,0.135,-,-,-,,,,
BHPVMI,39.00,27/01/11,4:1,0.81,0.815,0.795,-,-,,,,
BHPVMH,40.00,27/01/11,4:1,0.675,0.685,0.77,-,-,,,,
