Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.21,0.215,0.215,-,50
Lihir Gold Ltd Last Sale Price $3.36,,,,,,,,
LGLWOB,3.25,17/12/09,2:1,0.087,0.092,0.185,-,-
LGLWOA,3.50,17/12/09,2:1,0.031,0.036,0.395,-,-
LGLWOC,3.75,17/12/09,2:1,0.007,0.012,0.089,-,-
LGLVMA,3.50,25/03/10,2:1,0.175,0.18,0.185,-4.5,650
Macq Grp Ltd Last Sale Price $48.00,,,,,,,,
MQGVZE,55.00,17/12/09,5:1,0.026,0.04,0.045,-,-
MQGVZF,65.00,17/12/09,5:1,0.001,0.04,0.061,-,-
MQGVZG,50.00,25/02/10,5:1,0.925,0.95,-,-,-
MQGWOB,50.00,25/02/10,6:1,0.53,0.54,0.505,-,-
MQGWOC,60.00,25/02/10,6:1,0.125,0.135,0.15,-,-
National Aust Bank Last Sale Price $28.00,,,,,,,,
NABWOH,26.00,17/12/09,4:1,0.475,0.495,0.68,-,-
NABWZG,29.00,17/12/09,4:1,0.089,0.10,-,-,-
NABWOI,30.00,17/12/09,4:1,0.006,0.011,0.015,-,-
NABWZF,30.00,17/12/09,4:1,0.024,0.04,0.13,-,-
NABWOG,32.50,17/12/09,4:1,-,0.011,0.06,-,-
NABWZH,32.00,28/01/10,4:1,0.115,0.14,-,-,-
NABWOJ,28.00,25/02/10,4:1,0.44,0.445,0.46,-2.5,795
NABWZI,28.00,25/02/10,4:1,0.53,0.555,0.68,-,-
NABWOK,30.00,25/02/10,4:1,0.225,0.23,0.25,-1.5,3100
NABWOL,32.00,25/02/10,4:1,0.11,0.115,0.135,-1,250
NABVMA,29.00,25/03/10,5:1,0.40,0.405,0.36,-,-
NABVMB,31.00,25/03/10,5:1,0.25,0.255,-,-,-
NABVME,33.00,29/04/10,5:1,0.205,0.21,-,-,-
Newcrest Min Last Sale Price $36.00,,,,,,,,
NCMWOA,33.00,17/12/09,4:1,0.805,0.835,1.445,-,-
NCMWOB,37.00,17/12/09,4:1,0.11,0.17,0.17,-51,4690
NCMVZB,40.00,17/12/09,4:1,0.035,0.044,0.051,-26.4,352
NCMVMA,35.00,25/03/10,4:1,1.10,1.105,1.715,-,-
NCMVMB,37.00,25/03/10,4:1,0.87,0.875,0.96,-22,100
NCMVME,39.00,29/04/10,4:1,0.835,0.84,0.915,-44.5,50
News Corp Last Sale Price $15.72,,,,,,,,
NWSVMA,16.00,25/03/10,4:1,0.345,0.35,0.34,5.5,120
NWSVME,18.00,29/04/10,4:1,0.21,0.215,-,-,-
Oil Search Ltd Last Sale Price $5.90,,,,,,,,
OSHVMA,6.50,25/03/10,2:1,0.18,0.185,0.18,-3.5,850
OSHVME,7.50,29/04/10,2:1,0.089,0.094,-,-,-
Paladin Energy Last Sale Price $4.07,,,,,,,,
PDNVMA,4.00,25/03/10,2:1,0.285,0.29,0.34,-,-
PDNVME,5.00,29/04/10,2:1,0.16,0.165,0.20,-,-
Qantas Airways Last Sale Price $2.67,,,,,,,,
QANVMA,2.50,25/03/10,2:1,0.175,0.18,0.18,-,-
QANVME,3.50,29/04/10,2:1,0.03,-,-,-,-
QBE Insurance Grp Last Sale Price $22.76,,,,,,,,
QBEWOB,23.00,17/12/09,4:1,0.08,0.085,0.098,-3.7,120
QBEWOC,26.00,17/12/09,4:1,0.001,0.01,0.022,-,-
QBEVMA,23.00,25/03/10,4:1,0.415,0.42,-,-,-
QBEVMB,25.00,25/03/10,4:1,0.205,0.215,-,-,-
QBEVME,27.00,29/04/10,4:1,0.12,0.125,-,-,-
Rio Tinto Ltd Last Sale Price $71.59,,,,,,,,
RIOWOH,65.00,17/12/09,6:1,1.14,1.15,1.255,-,-
RIOWOI,70.00,17/12/09,6:1,0.465,0.475,0.415,-39.5,145
RIOWZN,70.00,17/12/09,6:1,0.61,0.635,0.955,-,-
RIOVZA,75.00,17/12/09,6:1,0.245,0.27,0.92,-,-
RIOWOG,75.00,17/12/09,6:1,0.135,0.145,0.115,-6,100
