Warrants Market - Daily,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:35 Thursday 8/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.13,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.024,0.029,0.07,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.014,0.019,-,-,-,,,,
ANZ Banking Grp Last Sale Price $21.23,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.031,0.045,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.595,0.60,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.305,0.31,0.33,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.245,0.25,0.26,-5,50,,,,
ANZVMD,24.00,23/09/10,4:1,0.135,0.14,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.10,0.105,0.11,-1,2229,,,,
ANZWMH,26.00,23/09/10,4:1,0.047,0.05,0.056,0.8,130,,,,
ANZWOI,26.50,23/09/10,4:1,0.04,0.045,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.013,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.775,0.78,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.505,0.51,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.325,0.33,-,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.19,0.195,0.175,-,-,,,,
ASX Ltd Last Sale Price $28.34,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.062,0.065,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.007,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.35,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.43,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.08,0.094,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,0.95,0.955,0.93,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.55,0.56,0.55,7.5,60,,,,
BHPWOE,39.50,26/08/10,4:1,0.305,0.31,0.30,3,3548,,,,
BHPWOF,41.00,26/08/10,4:1,0.20,0.205,0.195,3.5,200,,,,
BHPWON,43.00,26/08/10,4:1,0.10,0.105,0.11,1.1,1000,,,,
BHPWOO,45.00,26/08/10,4:1,0.047,0.215,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.022,0.027,0.025,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.22,1.225,1.385,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.625,0.63,0.585,-,-,,,,
BHPVMF,40.00,23/09/10,4:1,0.37,0.375,0.32,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.235,0.24,0.215,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,0.14,0.145,0.14,-8,300,,,,
BHPWMH,46.00,23/09/10,4:1,0.076,0.079,0.079,2.3,780,,,,
BHPWMI,48.00,23/09/10,4:1,0.041,0.044,0.039,-,-,,,,
BHPVMH,40.00,27/01/11,4:1,0.82,0.825,-,-,-,,,,
