Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5415.5 at 2014-02-19T16:42:36. Report at Wednesday, February 19, 2014. Processed Thursday at 2014-02-20T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $31.85,
ANZVMC,33.00,27/02/14,4:1,.001,,.001,,,,
ANZVRA,33.00,27/02/14,4:1,.056,.062,,,,,
ANZVRD,32.00,27/03/14,4:1,.27,.285,.205,,,,
ANZWOC,31.00,23/04/14,4:1,.495,.50,.435,,,,
ANZVMH,32.00,23/04/14,4:1,.28,.305,.26,,,,
ANZWOD,33.00,23/04/14,4:1,.245,.25,.225,,,,
ANZVRE,32.00,26/06/14,4:1,.48,.495,,,,,
,
BHP Billiton Last Sale Price $38.74,
BHPVRA,38.00,27/02/14,4:1,.31,.35,,,,,
BHPVMC,38.50,27/02/14,4:1,.14,,.085,,,,
BHPVRD,38.00,27/03/14,4:1,.385,.415,.335,,,,
BHPWOJ,36.00,23/04/14,4:1,.805,.81,.845,,,,
BHPWOK,38.00,23/04/14,4:1,.50,.505,.415,,,,
BHPVMH,39.00,23/04/14,4:1,.29,.315,.305,-1.5,94,,
BHPWOL,40.00,23/04/14,4:1,.28,.285,.30,,,,
BHPVRE,40.00,26/06/14,4:1,.53,.56,,,,,
,
C'wlth Bank of Aust Last Sale Price $75.00,
CBAVRA,77.00,27/02/14,4:1,.066,.068,.054,,,,
CBAVMC,79.00,27/02/14,4:1,.001,,.005,,,,
CBAVRD,78.00,27/03/14,4:1,.345,.355,,,,,
CBAVMH,75.00,23/04/14,4:1,.645,.67,,,,,
CBAWOC,76.00,23/04/14,5:1,.625,.63,.625,+3.5,100,,
CBAWOD,79.00,23/04/14,5:1,.39,.395,.38,+2,200,,
CBAVRE,80.00,26/06/14,4:1,.80,.805,.765,,,,
,
Fortescue Metals Grp Last Sale Price $5.84,
FMGVRB,6.50,27/02/14,2:1,.011,.03,,,,,
FMGVRC,6.25,27/03/14,2:1,.095,.092,,,,,
FMGWOC,5.25,23/04/14,3:1,.30,.305,,,,,
FMGWOD,5.75,23/04/14,3:1,.20,.205,.15,,,,
FMGVRA,6.00,26/06/14,2:1,.31,.31,,,,,
,
21st Cent Fox Nasdaq,
FX1WMA,0.01,17/06/16,1:1,35.39,35.61,,,,,
,
