Warrants Market - Daily,,,,,,,,,,,,
XAO 4428.7 at 16:51 21/7/2010  Report at 19:05 Wednesday 21/7/2010. Processed 19:20 Wednesday 21/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.29,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.084,0.089,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.024,0.029,0.07,-,-,,,,
ANZ Banking Grp Last Sale Price $22.49,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.021,0.04,-,-,-,,,,
ANZVZE,24.00,25/08/10,4:1,0.145,0.17,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.77,0.795,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.41,0.43,0.445,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.33,0.335,0.305,-,-,,,,
ANZVMD,24.00,23/09/10,4:1,0.17,0.185,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.13,0.135,0.13,0.5,560,,,,
ANZWMH,26.00,23/09/10,4:1,0.069,0.077,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.047,0.052,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.018,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.94,0.96,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.63,0.65,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.395,0.41,0.405,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.23,0.245,0.175,-,-,,,,
ASX Ltd Last Sale Price $28.92,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.058,0.064,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.004,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.39,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.75,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.03,0.044,-,-,-,,,,
BHPVZG,40.00,25/08/10,4:1,0.41,0.435,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.10,1.105,0.97,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.635,0.64,0.515,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.33,0.335,0.33,3,270,,,,
BHPWOF,41.00,26/08/10,4:1,0.195,0.20,0.175,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.093,0.098,0.13,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.043,0.155,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.019,0.024,0.019,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.40,1.425,1.45,13.5,80,,,,
BHPUMI,38.00,23/09/10,4:1,0.72,0.74,0.665,-,-,,,,
BHPVMF,40.00,23/09/10,4:1,0.40,0.42,0.365,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.27,0.285,0.205,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,0.12,0.13,0.12,0.5,640,,,,
BHPWMH,46.00,23/09/10,4:1,0.082,0.089,0.093,2,490,,,,
BHPWMI,48.00,23/09/10,4:1,0.043,0.048,0.048,1,40,,,,
BHPVMH,40.00,27/01/11,4:1,0.91,0.93,0.85,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.695,0.715,-,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.53,0.545,-,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.43,0.445,0.425,-,-,,,,
BlueScope Steel Last Sale Price $2.26,,,,,,,,,,,,
BSLWOF,2.25,26/08/10,2:1,0.083,0.088,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.025,0.03,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.135,0.14,-,-,-,,,,
Brambles Ltd Last Sale Price $5.40,,,,,,,,,,,,
BXBWOC,7.25,26/08/10,3:1,-,-,0.036,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.005,0.015,-,-,-,,,,
BXBVME,5.00,23/09/10,1:1,0.655,0.695,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.15,,,,,,,,,,,,
CBAVZC,54.00,28/07/10,5:1,0.05,0.064,0.064,-,-,,,,
CBAVZD,52.00,25/08/10,5:1,0.315,0.34,-,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,0.76,0.815,0.885,-,-,,,,
CBAUMH,53.00,23/09/10,4:1,0.43,0.47,0.465,2.5,60,,,,
CBAWOG,54.00,23/09/10,5:1,0.20,0.205,0.20,-,-,,,,
CBAUMI,55.00,23/09/10,4:1,0.29,0.325,0.20,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.105,0.11,0.105,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.19,0.215,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.15,0.17,0.15,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.052,0.057,0.06,-,-,,,,
CBAVMF,48.00,27/01/11,4:1,1.615,1.675,-,-,-,,,,
CBAVMG,52.00,27/01/11,4:1,1.135,1.185,-,-,-,,,,
CBAVMH,56.00,27/01/11,4:1,0.775,0.815,-,-,-,,,,
CBAVMI,60.00,27/01/11,4:1,0.51,0.54,-,-,-,,,,
Computershare Ltd Last Sale Price $10.02,,,,,,,,,,,,
