Warrants Market - Daily,,,,,,,,,,,,
XAO 4453.6 at 16:34 31/5/2010  Report at 19:05 Monday 31/5/2010. Processed 19:17 Monday 31/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.59,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.09,0.092,0.082,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.045,0.05,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.31,,,,,,,,,,,,
ANZUMD,20.00,24/06/10,4:1,0.605,0.66,0.71,-,-,,,,
ANZUMF,20.00,24/06/10,4:1,0.605,-,0.495,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.265,0.30,0.35,-,-,,,,
ANZUMG,22.00,24/06/10,4:1,0.26,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.12,0.13,0.145,-1.5,148,,,,
ANZUMH,24.00,24/06/10,4:1,0.072,-,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.094,0.10,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.074,0.094,0.11,-0.5,300,,,,
ANZWOE,24.50,24/06/10,4:1,0.026,0.036,0.017,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.012,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,0.011,0.021,0.064,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.505,0.51,0.53,8,30,,,,
ANZWOH,24.50,23/09/10,4:1,0.285,0.29,0.29,-1,100,,,,
ANZWMH,26.00,23/09/10,4:1,0.165,0.185,0.21,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.145,0.15,-,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.08,0.095,0.08,-,-,,,,
ASX Ltd Last Sale Price $30.91,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.32,0.355,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.12,0.14,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.24,,,,,,,,,,,,
BHPUMD,32.00,24/06/10,4:1,1.60,1.76,1.315,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.75,0.88,0.73,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.47,0.465,0.405,-11,700,,,,
BHPWOK,39.00,24/06/10,4:1,0.32,0.32,0.245,-7.5,1046,,,,
BHPUMF,40.00,24/06/10,4:1,0.18,0.255,0.15,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.255,0.285,0.295,5,300,,,,
BHPWOL,41.00,24/06/10,4:1,0.086,0.135,0.125,-,-,,,,
BHPWMA,43.00,24/06/10,4:1,0.041,0.064,0.036,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.023,-,0.036,-,-,,,,
BHPVOD,45.00,24/06/10,4:1,0.008,-,0.01,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.019,0.03,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.002,-,0.024,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,0.001,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.39,1.395,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.97,0.975,1.03,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.695,0.70,0.755,-,-,,,,
BHPWOF,41.00,26/08/10,4:1,0.535,0.54,0.585,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.37,0.375,-,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.22,0.265,0.26,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.165,0.17,0.125,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.555,1.68,1.595,29.5,10,,,,
BHPUMI,38.00,23/09/10,4:1,0.96,1.06,1.075,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.48,0.55,0.515,-8.5,85,,,,
BHPWMH,46.00,23/09/10,4:1,0.17,0.195,0.18,4.5,100,,,,
BHPWMI,48.00,23/09/10,4:1,0.13,-,0.195,-,-,,,,
BlueScope Steel Last Sale Price $2.32,,,,,,,,,,,,
BSLWOD,2.50,24/06/10,2:1,0.064,0.074,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.013,0.023,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.072,0.077,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.044,0.049,-,-,-,,,,
BSLUMB,3.00,28/10/10,1:1,0.086,0.096,-,-,-,,,,
Brambles Ltd Last Sale Price $6.65,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.04,0.05,0.094,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.016,0.026,-,-,-,,,,
BXBWOC,7.25,26/08/10,3:1,0.115,0.12,-,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.068,0.073,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.37,,,,,,,,,,,,
CBAUMD,50.00,24/06/10,4:1,0.765,0.985,0.80,-20,87,,,,
CBAUME,53.00,24/06/10,4:1,0.275,-,0.33,-,-,,,,
CBAWOD,55.00,24/06/10,5:1,0.095,0.105,0.11,-6,450,,,,
CBAVZB,56.00,24/06/10,5:1,0.115,0.145,0.135,-6,794,,,,
CBAWMA,56.00,24/06/10,4:1,0.092,-,0.13,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.031,0.041,0.046,-,-,,,,
CBAWMB,58.00,24/06/10,4:1,0.043,-,0.068,-,-,,,,
CBAUMF,60.00,24/06/10,4:1,0.046,0.083,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.001,0.05,0.032,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,1.28,1.485,1.15,-,-,,,,
CBAUMH,53.00,23/09/10,4:1,0.925,1.095,0.945,-14.5,200,,,,
CBAWOG,54.00,23/09/10,5:1,0.515,0.525,0.54,-7,232,,,,
CBAUMI,56.00,23/09/10,4:1,0.635,0.77,-,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.35,0.355,-,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.32,-,0.37,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.225,0.23,0.23,-5.5,50,,,,
CBAWMI,60.00,23/09/10,4:1,0.375,0.475,-,-,-,,,,
Computershare Ltd Last Sale Price $10.81,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.62,0.695,-,-,-,,,,
CSL Ltd Last Sale Price $31.63,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.31,0.35,-,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.11,0.13,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.04,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.29,0.335,0.39,-,-,,,,
Incitec Pivot Last Sale Price $3.02,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.295,0.33,0.26,-,-,,,,
Macq Grp Ltd Last Sale Price $43.33,,,,,,,,,,,,
MQGVZL,48.00,24/06/10,5:1,0.13,0.155,0.165,-,-,,,,
MQGWOE,49.00,24/06/10,6:1,0.063,0.073,0.16,-,-,,,,
MQGWOD,52.50,24/06/10,6:1,0.016,0.099,0.088,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.34,0.35,0.375,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.11,0.115,0.12,-2,100,,,,
National Aust Bank Last Sale Price $24.63,,,,,,,,,,,,
NABWOF,26.50,24/06/10,4:1,0.046,0.056,0.005,-,-,,,,
NABVZC,27.00,24/06/10,4:1,0.037,0.042,-,-,-,,,,
NABWOD,28.00,24/06/10,4:1,0.007,0.017,0.02,-,-,,,,
NABWOE,30.00,24/06/10,4:1,-,-,0.002,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.29,0.295,0.31,-,-,,,,
NABWOH,28.00,23/09/10,4:1,0.15,0.155,0.12,-,-,,,,
NABWOI,30.50,23/09/10,4:1,0.059,0.064,-,-,-,,,,
Newcrest Min Last Sale Price $32.12,,,,,,,,,,,,
NCMVZF,34.00,24/06/10,4:1,0.185,0.21,0.205,-1,450,,,,
NCMWOA,34.00,26/08/10,4:1,0.505,0.51,-,-,-,,,,
NCMWOB,36.50,26/08/10,4:1,0.305,0.31,-,-,-,,,,
NCMWOH,40.00,26/08/10,4:1,0.15,0.155,-,-,-,,,,
News Corp Last Sale Price $18.23,,,,,,,,,,,,
NWSUMB,18.00,24/06/10,4:1,0.21,0.24,-,-,-,,,,
NWSWMA,20.00,24/06/10,4:1,0.042,0.053,0.047,-,-,,,,
NWSUMC,19.00,23/09/10,4:1,0.325,0.345,-,-,-,,,,
NWSUMD,21.00,23/09/10,4:1,0.155,0.175,-,-,-,,,,
Orica Ltd Last Sale Price $25.65,,,,,,,,,,,,
ORIUMB,27.00,23/09/10,4:1,0.28,0.33,0.235,-,-,,,,
Oil Search Ltd Last Sale Price $5.55,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.39,0.42,-,-,-,,,,
Paladin Energy Last Sale Price $3.95,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.505,0.53,-,-,-,,,,
Qantas Airways Last Sale Price $2.50,,,,,,,,,,,,
QANUMB,2.50,24/06/10,1:1,0.097,0.125,-,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.12,0.14,0.105,-,-,,,,
QANUMD,3.50,23/09/10,1:1,0.008,-,-,-,-,,,,
QBE Insurance Grp Last Sale Price $19.66,,,,,,,,,,,,
QBEUMC,21.00,24/06/10,4:1,0.043,0.06,-,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.21,0.24,0.195,-,-,,,,
QBEWOB,22.50,23/09/10,4:1,0.12,0.125,-,-,-,,,,
QBEUME,24.00,23/09/10,4:1,0.043,0.055,-,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.05,0.055,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $67.14,,,,,,,,,,,,
RIOUMD,60.00,24/06/10,4:1,2.03,2.25,2.26,-,-,,,,
RIOUME,65.00,24/06/10,4:1,1.095,1.265,0.95,-,-,,,,
RIOUMF,70.00,24/06/10,4:1,0.47,0.575,0.35,-,-,,,,
RIOVZG,70.00,24/06/10,6:1,0.375,0.40,0.18,-,-,,,,
