Warrants Market - Daily,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:22 Wednesday 27/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.36,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.13,0.135,0.125,-6,100,,,,
AMPWOB,6.75,25/02/10,3:1,0.026,0.033,0.027,-0.8,500,,,,
ANZ Banking Grp Last Sale Price $21.96,,,,,,,,,,,,
ANZWZG,25.00,28/01/10,4:1,0.001,0.04,0.04,-,-,,,,
ANZWZH,22.00,25/02/10,4:1,0.22,0.25,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.03,0.035,0.044,-,-,,,,
ANZWOL,26.50,25/02/10,4:1,0.008,0.012,0.025,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,0.005,0.01,0.006,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.42,0.445,0.425,-7.5,550,,,,
ANZWZJ,23.00,25/03/10,4:1,0.245,0.275,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.19,0.21,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.155,0.185,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.19,0.195,0.265,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.092,0.097,0.205,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.15,0.165,0.16,-3.5,500,,,,
ANZWOC,26.50,29/04/10,4:1,0.044,0.049,0.094,-,-,,,,
ASX Ltd Last Sale Price $33.76,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.525,0.55,0.565,7.5,200,,,,
ASXVMB,35.00,25/03/10,4:1,0.29,0.31,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.255,0.27,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.30,,,,,,,,,,,,
BHPWZA,40.00,28/01/10,4:1,0.11,0.145,0.135,-61.5,28,,,,
BHPVZO,44.00,28/01/10,4:1,0.001,0.04,0.27,-,-,,,,
BHPWOC,37.00,25/02/10,4:1,0.98,0.985,1.61,-,-,,,,
BHPWOD,39.00,25/02/10,4:1,0.56,0.565,0.57,-17.5,8,,,,
BHPWOE,41.00,25/02/10,4:1,0.275,0.28,0.29,-11.5,450,,,,
BHPWOF,43.00,25/02/10,4:1,0.115,0.12,0.125,-7.5,540,,,,
BHPVOC,45.00,25/02/10,4:1,0.043,0.046,0.046,-4.3,11050,,,,
BHPWZB,46.00,25/02/10,4:1,0.10,0.13,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.11,1.12,1.12,-18,60,,,,
BHPVMB,39.00,25/03/10,4:1,0.79,0.80,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,0.58,0.61,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.42,0.45,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.345,1.35,1.40,-19,100,,,,
BHPWOB,38.50,29/04/10,4:1,0.91,0.915,1.545,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.615,0.62,0.72,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.705,0.72,0.725,-10,50,,,,
BHPWOH,43.50,29/04/10,4:1,0.315,0.32,0.32,-9.5,140,,,,
BHPWOI,46.00,29/04/10,4:1,0.185,0.19,0.255,-,-,,,,
BlueScope Steel Last Sale Price $2.71,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.049,0.054,0.074,-,-,,,,
BSLVMA,3.25,25/03/10,2:1,0.02,0.03,0.15,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.01,0.015,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $54.63,,,,,,,,,,,,
CBAVZJ,50.00,28/01/10,5:1,0.915,0.945,1.35,-,-,,,,
CBAWOJ,54.00,25/02/10,5:1,0.34,0.345,0.28,-5.5,1440,,,,
CBAVZK,55.00,25/02/10,5:1,0.415,0.445,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.092,0.11,0.105,-3,2890,,,,
CBAWOL,60.00,25/02/10,5:1,0.041,0.046,0.105,-,-,,,,
CBAVMA,53.00,25/03/10,5:1,0.685,0.755,0.655,-36.5,300,,,,
CBAVZL,53.00,25/03/10,5:1,0.74,0.77,1.075,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.495,0.555,0.51,-12,100,,,,
CBAVZM,55.00,25/03/10,5:1,0.555,0.585,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.145,1.25,1.14,-35.5,4980,,,,
CBAWOB,55.00,29/04/10,5:1,0.575,0.65,0.725,-,-,,,,
CBAVME,57.00,29/04/10,5:1,0.515,0.565,0.915,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.28,0.33,0.345,-,-,,,,
Computershare Ltd Last Sale Price $11.90,,,,,,,,,,,,
CPUVMA,11.00,25/03/10,2:1,0.62,0.65,-,-,-,,,,
CSL Ltd Last Sale Price $31.35,,,,,,,,,,,,
CSLWZB,32.00,28/01/10,4:1,0.009,0.04,0.25,-,-,,,,
CSLWZC,32.00,25/03/10,4:1,0.27,0.30,-,-,-,,,,
CSLVMA,33.00,25/03/10,4:1,0.20,0.22,0.205,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.54,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.14,0.155,0.205,-,-,,,,
Insurance Aust Grp Last Sale Price $3.85,,,,,,,,,,,,
IAGVMA,4.00,25/03/10,3:1,0.058,0.067,0.10,-,-,,,,
Incitec Pivot Last Sale Price $3.36,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.245,0.26,0.41,-,-,,,,
Lihir Gold Ltd Last Sale Price $2.92,,,,,,,,,,,,
LGLWOD,3.25,25/03/10,2:1,0.061,0.066,0.069,-2.2,1400,,,,
LGLVMA,3.50,25/03/10,2:1,0.027,0.031,0.049,-,-,,,,
LGLWOE,3.75,25/03/10,2:1,0.019,0.024,0.028,-,-,,,,
LGLWOF,4.00,25/03/10,2:1,0.011,0.016,0.048,-,-,,,,
