Warrants Market - Daily,,,,,,,,,,,,
XAO 4643.0 at 16:36 14/5/2010  Report at 19:05 Friday 14/5/2010. Processed 20:05 Friday 14/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.65,,,,,,,,,,,,
AIOUMA,1.50,27/05/10,1:1,0.155,-,-,-,-,,,,
AMP Ltd Last Sale Price $5.97,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.012,0.022,0.066,-,-,,,,
AMPWOD,6.75,27/05/10,3:1,0.001,0.011,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $22.81,,,,,,,,,,,,
ANZUMA,23.00,27/05/10,4:1,0.135,-,0.175,-,-,,,,
ANZUMB,25.00,27/05/10,4:1,0.008,-,0.011,-,-,,,,
ANZUMC,27.00,27/05/10,4:1,0.001,-,0.012,-,-,,,,
ANZVZB,27.50,27/05/10,4:1,0.002,0.04,-,-,-,,,,
ANZUMD,20.00,24/06/10,4:1,0.815,0.82,-,-,-,,,,
ANZUMF,20.00,24/06/10,4:1,0.815,0.82,-,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.445,0.45,-,-,-,,,,
ANZUMG,22.00,24/06/10,4:1,0.445,0.45,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.20,0.205,0.265,-,-,,,,
ANZUMH,24.00,24/06/10,4:1,0.195,0.20,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.195,0.20,0.195,-0.5,500,,,,
ANZWOE,24.50,24/06/10,4:1,0.075,0.08,0.081,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.033,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,0.034,0.039,0.064,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.205,-,0.21,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.135,0.14,0.14,-2,750,,,,
ASX Ltd Last Sale Price $33.00,,,,,,,,,,,,
ASXUMA,34.00,27/05/10,4:1,0.056,-,-,-,-,,,,
ASXUMB,32.00,23/09/10,4:1,0.695,0.70,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.325,0.33,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.64,,,,,,,,,,,,
BHPUMA,42.00,27/05/10,4:1,0.02,-,0.025,-,-,,,,
BHPUMB,44.00,27/05/10,4:1,0.001,-,0.07,-,-,,,,
BHPVZD,45.00,27/05/10,4:1,0.014,0.04,-,-,-,,,,
BHPUMC,46.00,27/05/10,4:1,0.001,0.015,0.13,-,-,,,,
BHPUMD,32.00,24/06/10,4:1,1.765,1.775,-,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.92,0.93,-,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,0.335,0.34,0.36,-5,3180,,,,
BHPUMF,40.00,24/06/10,4:1,0.335,0.345,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.18,0.18,0.20,1,730,,,,
BHPWMA,43.00,24/06/10,4:1,0.12,0.13,0.13,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.045,0.061,0.061,-,-,,,,
BHPVOD,45.00,24/06/10,4:1,0.018,0.023,0.025,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.055,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.006,0.011,0.024,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,0.012,0.03,-,-,-,,,,
BHPWOJ,48.50,24/06/10,4:1,0.012,0.032,0.20,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.615,1.625,-,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.965,0.97,-,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.505,0.51,0.485,-,100,,,,
BHPWMH,46.00,23/09/10,4:1,0.225,-,0.235,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.195,0.20,0.185,-2,110,,,,
BlueScope Steel Last Sale Price $2.53,,,,,,,,,,,,
BSLUMA,3.00,27/05/10,1:1,0.001,-,-,-,-,,,,
BSLWOD,2.50,24/06/10,2:1,0.095,0.10,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.024,0.029,-,-,-,,,,
BSLUMB,3.00,28/10/10,1:1,0.165,0.17,-,-,-,,,,
Brambles Ltd Last Sale Price $7.04,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.092,0.097,0.094,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.032,0.037,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.71,,,,,,,,,,,,
CBAUMA,55.00,27/05/10,4:1,0.205,-,0.52,-,-,,,,
CBAUMB,57.00,27/05/10,4:1,0.078,-,-,-,-,,,,
CBAVZA,58.00,27/05/10,5:1,0.069,0.083,-,-,-,,,,
CBAUMC,59.00,27/05/10,4:1,0.025,0.03,0.305,-,-,,,,
CBAUMD,50.00,24/06/10,4:1,1.20,1.215,-,-,-,,,,
CBAUME,53.00,24/06/10,4:1,0.70,0.71,-,-,-,,,,
CBAWOD,55.00,24/06/10,5:1,0.315,0.325,0.33,-9,300,,,,
CBAWMA,56.00,24/06/10,4:1,0.38,0.39,0.50,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.155,0.165,0.25,-,-,,,,
CBAWMB,58.00,24/06/10,4:1,0.225,0.235,0.225,-6.5,100,,,,
CBAUMF,60.00,24/06/10,4:1,0.125,0.13,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.036,0.068,0.05,-2.4,3000,,,,
CBAUMG,50.00,23/09/10,4:1,1.54,1.555,-,-,-,,,,
CBAUMH,53.00,23/09/10,4:1,1.10,1.115,-,-,-,,,,
CBAUMI,56.00,23/09/10,4:1,0.755,0.765,-,-,-,,,,
