Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
Computershare Ltd Last Sale Price $9.58,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.011,-,0.20,-,-,,,,
CSL Ltd Last Sale Price $32.89,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.076,0.079,0.091,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.001,-,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.92,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.485,0.50,0.485,14.5,1190,,,,
Incitec Pivot Last Sale Price $3.44,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.47,0.475,0.505,-,-,,,,
Macq Grp Ltd Last Sale Price $37.80,,,,,,,,,,,,
MQGVZC,42.00,23/09/10,5:1,0.011,0.04,0.425,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.01,0.02,0.015,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.005,0.015,0.014,-,-,,,,
MQGVZD,38.00,28/10/10,5:1,0.305,0.345,-,-,-,,,,
MQGWOA,36.00,25/11/10,6:1,0.585,0.59,0.66,-,-,,,,
MQGWOF,40.00,25/11/10,6:1,0.27,0.275,0.28,2.5,500,,,,
MQGWOG,45.00,25/11/10,6:1,0.081,0.086,-,-,-,,,,
National Aust Bank Last Sale Price $23.85,,,,,,,,,,,,
NABWOI,25.00,23/09/10,4:1,0.069,0.074,0.16,-,-,,,,
NABVZF,26.00,23/09/10,4:1,0.008,0.04,-,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.027,0.037,0.029,0.7,200,,,,
NABWOH,28.00,23/09/10,4:1,0.011,0.021,0.01,-,-,,,,
NABVZG,24.00,28/10/10,4:1,0.23,0.265,-,-,-,,,,
NABWOA,23.50,25/11/10,4:1,0.335,0.34,0.355,7.5,205,,,,
NABWOB,25.50,25/11/10,4:1,0.135,0.14,0.15,4,2650,,,,
NABWOC,27.00,25/11/10,4:1,0.072,0.077,-,-,-,,,,
NABWOJ,28.50,25/11/10,4:1,0.037,0.047,-,-,-,,,,
NABWOK,30.00,25/11/10,4:1,0.02,0.03,-,-,-,,,,
NABWOL,32.00,25/11/10,4:1,0.012,0.022,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,23.94,-,-,,,,
Newcrest Min Last Sale Price $37.90,,,,,,,,,,,,
NCMVZI,36.00,23/09/10,4:1,0.58,0.605,0.285,-,-,,,,
NCMWOD,35.00,28/10/10,4:1,0.94,0.945,0.59,-,-,,,,
NCMVZJ,36.00,28/10/10,4:1,0.70,0.745,-,-,-,,,,
NCMWOC,39.00,28/10/10,4:1,0.415,0.42,0.395,10,1100,,,,
News Corp Last Sale Price $16.00,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.007,-,0.076,-,-,,,,
NWSUMD,20.00,23/09/10,4:1,0.001,-,0.145,-,-,,,,
NWSVMF,22.00,23/09/10,4:1,0.001,-,-,-,-,,,,
Orica Ltd Last Sale Price $25.80,,,,,,,,,,,,
ORIUMB,24.37,23/09/10,4:1,0.47,0.475,0.59,-,-,,,,
Oil Search Ltd Last Sale Price $5.94,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.26,0.265,-,-,-,,,,
Paladin Energy Last Sale Price $3.80,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.15,0.155,0.22,-,-,,,,
Qantas Airways Last Sale Price $2.56,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.14,0.145,0.155,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.035,-,0.029,-,-,,,,
QBE Insurance Grp Last Sale Price $16.77,,,,,,,,,,,,
QBEVMF,18.00,23/09/10,4:1,0.018,-,0.036,-,-,,,,
QBEUME,20.00,23/09/10,4:1,0.001,-,0.155,-,-,,,,
