Warrants Market - Daily,,,,,,,,,,,,
XAO 4342.4 at 16:37 20/5/2010  Report at 19:05 Thursday 20/5/2010. Processed 19:54 Thursday 20/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.52,,,,,,,,,,,,
AIOUMA,1.50,27/05/10,1:1,0.046,-,-,-,-,,,,
AMP Ltd Last Sale Price $5.46,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,-,-,0.066,-,-,,,,
AMPWOD,6.75,27/05/10,3:1,0.001,0.011,0.069,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.078,0.088,-,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.042,0.052,-,-,-,,,,
ANZ Banking Grp Last Sale Price $20.63,,,,,,,,,,,,
ANZUMA,23.00,27/05/10,4:1,0.001,-,0.175,-,-,,,,
ANZUMB,25.00,27/05/10,4:1,0.001,-,0.011,-,-,,,,
ANZUMC,27.00,27/05/10,4:1,0.001,-,0.012,-,-,,,,
ANZVZB,27.50,27/05/10,4:1,0.001,0.04,-,-,-,,,,
ANZUMD,20.00,24/06/10,4:1,0.38,0.405,0.435,-17.5,60,,,,
ANZUMF,20.00,24/06/10,4:1,0.38,0.405,-,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.145,0.155,0.165,-8,643,,,,
ANZUMG,22.00,24/06/10,4:1,0.145,0.155,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.037,0.077,0.10,-,-,,,,
ANZUMH,24.00,24/06/10,4:1,0.039,0.046,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.044,0.049,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.036,0.042,0.043,-2.9,1110,,,,
ANZWOE,24.50,24/06/10,4:1,0.014,0.054,0.017,-2.3,120,,,,
ANZWMB,26.00,24/06/10,4:1,0.001,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,0.011,0.051,0.064,-,-,,,,
ANZWOG,23.50,23/09/10,4:1,-,-,-,-,-,,,,
ANZWOH,25.00,23/09/10,4:1,-,-,-,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.076,-,0.21,-,-,,,,
ANZWOI,27.00,23/09/10,4:1,-,-,-,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.043,0.049,0.051,-8.9,200,,,,
ASX Ltd Last Sale Price $31.67,,,,,,,,,,,,
ASXUMA,34.00,27/05/10,4:1,0.001,-,-,-,-,,,,
ASXUMB,32.00,23/09/10,4:1,0.49,0.525,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.205,0.225,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $36.75,,,,,,,,,,,,
BHPUMA,42.00,27/05/10,4:1,0.001,-,0.025,-,-,,,,
BHPUMB,44.00,27/05/10,4:1,0.001,-,0.07,-,-,,,,
BHPVZD,45.00,27/05/10,4:1,0.001,0.04,-,-,-,,,,
BHPUMC,46.00,27/05/10,4:1,0.001,0.001,0.001,-12.9,120,,,,
BHPUMD,32.00,24/06/10,4:1,1.28,1.35,-,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.55,0.60,0.70,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.28,0.30,0.265,-7,1690,,,,
BHPWOK,39.00,24/06/10,4:1,0.175,0.205,0.18,-3,3492,,,,
BHPUMF,40.00,24/06/10,4:1,0.15,0.175,0.18,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.22,0.245,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.064,0.084,0.07,-3,100,,,,
BHPWMA,43.00,24/06/10,4:1,0.034,0.036,0.036,-0.9,240,,,,
BHPWOM,43.00,24/06/10,4:1,0.014,0.034,0.03,-,-,,,,
BHPVOD,45.00,24/06/10,4:1,0.007,0.027,0.025,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.015,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.003,0.023,0.024,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,0.001,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.05,1.06,1.13,-,22,,,,
BHPWOD,37.50,26/08/10,4:1,0.69,0.70,-,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.47,0.48,-,-,-,,,,
BHPWOF,41.00,26/08/10,4:1,0.345,0.355,-,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.23,0.24,-,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.155,0.165,-,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.10,0.11,-,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.235,1.29,-,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.675,0.72,0.75,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.335,0.365,0.485,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.12,-,0.235,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.093,0.11,0.125,-,-,,,,
BlueScope Steel Last Sale Price $2.24,,,,,,,,,,,,
BSLUMA,3.00,27/05/10,1:1,0.001,-,-,-,-,,,,
BSLWOD,2.50,24/06/10,2:1,0.035,0.04,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.007,0.012,-,-,-,,,,
BSLWOE,2.75,26/08/10,2:1,-,-,-,-,-,,,,
BSLWOF,3.10,26/08/10,2:1,-,-,-,-,-,,,,
BSLUMB,3.00,28/10/10,1:1,0.075,0.085,-,-,-,,,,
Brambles Ltd Last Sale Price $6.84,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.067,0.072,0.094,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.022,0.027,-,-,-,,,,
BXBWOC,7.25,26/08/10,3:1,0.14,0.15,-,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.086,0.096,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $50.07,,,,,,,,,,,,
CBAUMA,55.00,27/05/10,4:1,0.001,-,0.52,-,-,,,,
CBAUMB,57.00,27/05/10,4:1,0.001,-,-,-,-,,,,
CBAVZA,58.00,27/05/10,5:1,0.001,0.04,-,-,-,,,,
CBAUMC,59.00,27/05/10,4:1,0.001,-,0.305,-,-,,,,
CBAUMD,50.00,24/06/10,4:1,0.555,-,0.93,-,-,,,,
CBAUME,53.00,24/06/10,4:1,0.255,0.28,0.28,-,974,,,,
CBAWOD,55.00,24/06/10,5:1,0.085,0.135,0.12,-5,710,,,,
CBAVZB,56.00,24/06/10,5:1,0.125,0.15,0.155,-,45,,,,
CBAWMA,56.00,24/06/10,4:1,0.093,0.105,0.105,-7,5313,,,,
CBAWOE,57.50,24/06/10,5:1,0.03,0.08,0.051,-19.9,190,,,,
CBAWMB,58.00,24/06/10,4:1,0.044,0.051,0.051,-4.9,1100,,,,
CBAUMF,60.00,24/06/10,4:1,0.019,0.03,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.007,0.05,0.032,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,0.95,1.00,0.965,-,20,,,,
CBAUMH,53.00,23/09/10,4:1,0.63,0.665,-,-,-,,,,
CBAWOG,54.00,23/09/10,5:1,0.435,0.445,-,-,-,,,,
