Warrants Market - Daily,,,,,,,,,,,,
XAO 4483.1 at 16:36 30/8/2010  Report at 19:05 Monday 30/8/2010. Processed 19:17 Monday 30/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.09,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.074,0.077,0.091,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.002,-,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.71,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.35,0.355,0.37,12,30,,,,
Incitec Pivot Last Sale Price $3.37,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.395,0.40,0.505,-,-,,,,
Macq Grp Ltd Last Sale Price $37.84,,,,,,,,,,,,
MQGVZC,42.00,23/09/10,5:1,0.033,0.042,0.425,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.01,0.02,0.015,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.005,0.01,0.014,-,-,,,,
MQGWOA,36.00,25/11/10,6:1,0.58,0.585,0.66,-,-,,,,
MQGWOF,40.00,25/11/10,6:1,0.27,0.275,0.285,7,250,,,,
MQGWOG,45.00,25/11/10,6:1,0.081,0.086,-,-,-,,,,
National Aust Bank Last Sale Price $23.55,,,,,,,,,,,,
NABWOI,25.00,23/09/10,4:1,0.058,0.081,0.16,-,-,,,,
NABVZF,26.00,23/09/10,4:1,0.009,0.04,-,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.025,0.037,0.021,-,-,,,,
NABWOH,28.00,23/09/10,4:1,0.012,0.017,0.027,-,-,,,,
NABWOA,23.50,25/11/10,4:1,0.305,0.33,0.23,-,-,,,,
NABWOB,25.50,25/11/10,4:1,0.14,0.145,0.13,2,250,,,,
NABWOC,27.00,25/11/10,4:1,0.075,0.08,-,-,-,,,,
NABWOJ,28.50,25/11/10,4:1,0.039,0.044,-,-,-,,,,
NABWOK,30.00,25/11/10,4:1,0.021,0.026,-,-,-,,,,
NABWOL,32.00,25/11/10,4:1,0.013,0.018,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,23.94,-,-,,,,
Newcrest Min Last Sale Price $36.01,,,,,,,,,,,,
NCMVZI,36.00,23/09/10,4:1,0.27,0.295,0.285,1,60,,,,
NCMWOD,35.00,28/10/10,4:1,0.62,0.625,0.59,-,-,,,,
NCMWOC,39.00,28/10/10,4:1,0.24,0.245,0.25,4,325,,,,
News Corp Last Sale Price $15.75,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.005,-,0.076,-,-,,,,
NWSUMD,20.00,23/09/10,4:1,0.001,-,0.145,-,-,,,,
NWSVMF,22.00,23/09/10,4:1,0.001,-,-,-,-,,,,
Orica Ltd Last Sale Price $25.35,,,,,,,,,,,,
ORIUMB,24.37,23/09/10,4:1,0.37,0.385,0.59,-,-,,,,
Oil Search Ltd Last Sale Price $5.92,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.255,0.275,-,-,-,,,,
Paladin Energy Last Sale Price $3.79,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.145,0.155,0.22,-,-,,,,
Qantas Airways Last Sale Price $2.54,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.13,0.135,0.155,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.034,-,0.029,-,-,,,,
QBE Insurance Grp Last Sale Price $16.74,,,,,,,,,,,,
QBEVMF,18.00,23/09/10,4:1,0.032,-,0.036,-,-,,,,
QBEUME,20.00,23/09/10,4:1,0.001,-,0.155,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.001,-,0.035,-,-,,,,
QBEWOB,22.50,23/09/10,4:1,0.006,0.011,0.006,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.001,-,0.006,-,-,,,,
QBEWOD,18.00,25/11/10,4:1,0.155,0.16,0.175,2.5,250,,,,
QBEWOE,19.50,25/11/10,4:1,0.069,0.074,0.085,-,-,,,,
QBEWOA,21.50,25/11/10,4:1,0.024,0.029,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $71.01,,,,,,,,,,,,
RIOUMI,63.00,23/09/10,4:1,2.10,2.15,2.16,37,30,,,,
RIOUMJ,65.00,23/09/10,4:1,1.67,1.715,1.485,-,-,,,,
RIOUMK,68.00,23/09/10,4:1,1.095,1.13,0.82,-,-,,,,
RIOVMG,70.00,23/09/10,4:1,0.78,0.81,0.815,21,980,,,,
RIOUML,72.00,23/09/10,4:1,0.515,0.545,0.525,13.5,100,,,,
RIOVZI,72.00,23/09/10,6:1,0.255,0.32,0.195,-,-,,,,
RIOVMH,76.00,23/09/10,4:1,0.19,0.205,0.11,-,-,,,,
RIOUMM,80.00,23/09/10,4:1,0.053,-,0.053,-,-,,,,
RIOWMH,95.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.001,-,0.001,-2.4,100,,,,
RIOWOC,71.00,28/10/10,6:1,0.70,0.705,-,-,-,,,,
RIOWOD,75.00,28/10/10,6:1,0.39,0.395,0.41,11,665,,,,
RIOWOE,80.00,28/10/10,6:1,0.185,0.19,0.195,4.5,100,,,,
RIOVMI,65.00,27/01/11,4:1,2.73,2.77,-,-,-,,,,
RIOVMJ,70.00,27/01/11,4:1,1.99,2.02,1.80,-,-,,,,
RIOVMK,75.00,27/01/11,4:1,1.39,1.415,-,-,-,,,,
RIOVML,80.00,27/01/11,4:1,0.945,0.965,0.935,-,-,,,,
RIOVMM,85.00,27/01/11,4:1,0.61,0.63,0.70,-,-,,,,
Santos Ltd Last Sale Price $14.43,,,,,,,,,,,,
STOUMC,13.00,23/09/10,4:1,0.355,-,0.335,-,-,,,,
STOUMD,14.00,23/09/10,4:1,0.155,0.16,0.26,-,-,,,,
STOWOA,14.00,28/10/10,4:1,0.225,0.23,0.205,-,-,,,,
STOWOB,16.00,28/10/10,4:1,0.066,0.071,-,-,-,,,,
Suncorp-Metway Last Sale Price $8.38,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.135,0.145,0.10,-,-,,,,
Ten Network Hldgs Last Sale Price $1.40,,,,,,,,,,,,
