Warrants Market - Daily,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:34 Thursday 18/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.05,0.055,0.056,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.001,0.011,0.019,-,-,,,,
ANZ Banking Grp Last Sale Price $22.05,,,,,,,,,,,,
ANZWZH,22.00,25/02/10,4:1,0.11,0.14,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,-,0.011,0.003,-,-,,,,
ANZWOL,26.50,25/02/10,4:1,0.001,0.011,0.001,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,-,0.011,0.001,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.345,0.35,0.355,-,-,,,,
ANZWZJ,23.00,25/03/10,4:1,0.175,0.205,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.115,0.12,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.095,0.125,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.14,0.16,0.14,-,-,,,,
ANZVZA,24.00,29/04/10,4:1,0.30,0.33,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.068,0.073,0.035,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.10,0.105,0.05,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.029,0.034,0.094,-,-,,,,
ASX Ltd Last Sale Price $36.92,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,1.005,1.01,0.835,5,600,,,,
ASXVMB,35.00,25/03/10,4:1,0.575,0.58,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.41,0.415,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.93,,,,,,,,,,,,
BHPWOC,37.00,25/02/10,4:1,1.00,1.10,0.995,-,-,,,,
BHPWOD,39.00,25/02/10,4:1,0.53,0.62,0.515,-,-,,,,
BHPWOE,41.00,25/02/10,4:1,0.16,0.19,0.145,-7,340,,,,
BHPWOF,43.00,25/02/10,4:1,0.028,0.033,0.04,-,-,,,,
BHPVOC,45.00,25/02/10,4:1,0.002,0.012,0.003,-,-,,,,
BHPWZB,46.00,25/02/10,4:1,0.008,0.04,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.095,1.10,1.115,-5.5,50,,,,
BHPVMB,39.00,25/03/10,4:1,0.70,0.705,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,0.465,0.495,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.305,0.335,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.455,1.46,1.275,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,0.985,0.95,0.93,5.5,60,,,,
BHPWOG,40.50,29/04/10,4:1,0.66,0.665,0.575,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.66,0.665,0.715,-,-,,,,
BHPWOH,43.50,29/04/10,4:1,0.16,0.40,0.27,-,-,,,,
BHPVZC,44.00,29/04/10,4:1,0.645,0.675,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.17,0.17,0.165,-1,120,,,,
BlueScope Steel Last Sale Price $2.55,,,,,,,,,,,,
BSLWOB,2.75,25/03/10,2:1,0.046,0.051,-,-,-,,,,
BSLWOA,3.00,25/03/10,2:1,0.019,0.024,0.027,-,-,,,,
BSLVMA,3.25,25/03/10,2:1,0.004,-,0.15,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.00,,,,,,,,,,,,
CBAWOJ,54.00,25/02/10,5:1,0.087,0.092,0.066,-,-,,,,
CBAVZK,55.00,25/02/10,5:1,0.105,0.135,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.003,0.013,0.009,-,-,,,,
CBAWOL,60.00,25/02/10,5:1,-,0.011,0.015,-,-,,,,
CBAVMA,53.00,25/03/10,5:1,0.48,0.485,0.42,-,-,,,,
CBAVZL,53.00,25/03/10,5:1,0.52,0.55,0.475,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.295,0.30,0.305,-,-,,,,
CBAVZM,55.00,25/03/10,5:1,0.36,0.39,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.035,1.04,1.035,19.5,150,,,,
CBAWOB,55.00,29/04/10,5:1,0.35,0.55,0.41,-1,400,,,,
CBAVME,57.00,29/04/10,5:1,0.375,0.38,0.38,-,-,,,,
CBAVZN,58.00,29/04/10,5:1,0.565,0.595,-,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.185,0.19,0.15,-,-,,,,
Computershare Ltd Last Sale Price $12.14,,,,,,,,,,,,
CPUVMA,11.00,25/03/10,2:1,0.685,0.69,0.56,-,-,,,,
CSL Ltd Last Sale Price $34.00,,,,,,,,,,,,
CSLWZC,32.00,25/03/10,4:1,-,-,0.20,-,-,,,,
CSLVMA,33.00,25/03/10,4:1,0.435,0.44,0.34,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.96,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.205,0.21,0.265,-,-,,,,
Insurance Aust Grp Last Sale Price $3.94,,,,,,,,,,,,
IAGVMA,4.00,25/03/10,3:1,0.048,0.051,0.076,-,-,,,,
Incitec Pivot Last Sale Price $3.55,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.295,0.30,0.295,-,-,,,,
Lihir Gold Ltd Last Sale Price $2.79,,,,,,,,,,,,
LGLWOE,3.00,25/03/10,2:1,0.057,0.062,0.028,-,-,,,,
LGLWOD,3.25,25/03/10,2:1,0.025,0.027,0.028,-0.6,4000,,,,
LGLVMA,3.50,25/03/10,2:1,0.004,-,0.01,-,-,,,,
LGLWOF,4.00,25/03/10,2:1,0.005,0.01,0.048,-,-,,,,
Macq Grp Ltd Last Sale Price $47.18,,,,,,,,,,,,
MQGVZG,50.00,25/02/10,5:1,0.095,0.125,0.265,-,-,,,,
MQGWOB,50.00,25/02/10,6:1,0.055,0.06,0.058,-,-,,,,
MQGWOC,60.00,25/02/10,6:1,0.005,0.01,0.005,-,50,,,,
MQGVZH,50.00,25/03/10,5:1,0.59,0.62,0.63,-,-,,,,
MQGVZI,52.00,25/03/10,5:1,0.46,0.49,-,-,-,,,,
MQGVZJ,55.00,29/04/10,5:1,0.625,0.655,-,-,-,,,,
MQGWOA,55.00,29/04/10,6:1,0.15,0.155,0.145,0.5,375,,,,
National Aust Bank Last Sale Price $25.95,,,,,,,,,,,,
NABWOJ,28.00,25/02/10,4:1,0.001,0.011,0.035,-,-,,,,
NABWZI,28.00,25/02/10,4:1,0.011,0.04,0.20,-,-,,,,
NABWOK,30.00,25/02/10,4:1,0.001,0.011,0.02,-,-,,,,
NABWOL,32.00,25/02/10,4:1,0.001,0.011,0.007,-,-,,,,
NABWZJ,28.00,25/03/10,4:1,0.135,0.165,-,-,-,,,,
NABVMA,29.00,25/03/10,5:1,0.041,-,0.075,-,-,,,,
NABWZK,30.00,25/03/10,4:1,0.053,0.067,-,-,-,,,,
NABVMB,31.00,25/03/10,5:1,0.01,-,0.036,-,-,,,,
NABVZA,28.00,29/04/10,4:1,0.375,0.405,0.345,-,-,,,,
NABWOA,28.50,29/04/10,4:1,0.14,0.145,0.155,-,-,,,,
NABWOB,30.50,29/04/10,4:1,0.058,0.063,0.062,0.4,300,,,,
NABVME,33.00,29/04/10,5:1,0.021,-,0.079,-,-,,,,
NABWOC,33.00,29/04/10,4:1,0.021,0.026,0.037,-,-,,,,
Newcrest Min Last Sale Price $32.91,,,,,,,,,,,,
NCMVMA,35.00,25/03/10,4:1,0.25,0.255,0.235,-9.5,250,,,,
NCMWOC,35.00,25/03/10,4:1,0.21,0.215,0.195,-7,3000,,,,
NCMVMB,37.00,25/03/10,4:1,0.14,0.145,0.435,-,-,,,,
NCMWOD,37.50,25/03/10,4:1,0.079,0.084,0.072,-,-,,,,
NCMVZC,38.00,25/03/10,4:1,0.16,0.19,0.28,-,-,,,,
NCMWOE,40.00,25/03/10,4:1,0.034,0.039,0.035,-,-,,,,
NCMVZD,35.00,29/04/10,4:1,0.73,0.76,0.67,-,-,,,,
NCMVME,39.00,29/04/10,4:1,0.20,0.205,0.195,1,51,,,,
News Corp Last Sale Price $17.53,,,,,,,,,,,,
NWSVMA,16.00,25/03/10,4:1,0.445,0.45,0.55,-,-,,,,
NWSVME,18.00,29/04/10,4:1,0.235,0.24,0.375,-,-,,,,
Oil Search Ltd Last Sale Price $5.24,,,,,,,,,,,,
OSHVMA,6.50,25/03/10,2:1,0.003,-,0.006,-,-,,,,
OSHVME,7.50,29/04/10,2:1,0.001,-,0.06,-,-,,,,
OZ Minerals Last Sale Price $1.00,,,,,,,,,,,,
OZLWOB,1.05,25/03/10,2:1,0.032,0.037,-,-,-,,,,
OZLWOA,1.25,25/03/10,2:1,0.014,0.019,-,-,-,,,,
Paladin Energy Last Sale Price $3.75,,,,,,,,,,,,
PDNVMA,4.00,25/03/10,2:1,0.07,0.10,0.07,1,1110,,,,
PDNVME,5.00,29/04/10,2:1,0.028,-,0.05,-,-,,,,
Qantas Airways Last Sale Price $2.73,,,,,,,,,,,,
QANVMA,2.50,25/03/10,2:1,0.15,0.155,0.155,-9.5,1000,,,,
QANVME,3.50,29/04/10,2:1,0.01,0.03,0.048,-,-,,,,
QBE Insurance Grp Last Sale Price $23.00,,,,,,,,,,,,
QBEVMA,23.00,25/03/10,4:1,0.195,0.20,0.185,-37.5,100,,,,
QBEWOA,23.00,25/03/10,4:1,0.17,0.175,0.125,-2,500,,,,
QBEVMB,25.00,25/03/10,4:1,0.045,0.048,0.074,-,-,,,,
QBEWOD,26.00,25/03/10,4:1,0.022,0.027,0.034,-,-,,,,
QBEVME,27.00,29/04/10,4:1,0.038,0.041,0.27,-,-,,,,
Rio Tinto Ltd Last Sale Price $72.10,,,,,,,,,,,,
RIOWOA,70.00,25/02/10,6:1,0.44,0.52,0.425,-7,600,,,,
RIOWOB,77.00,25/02/10,6:1,0.035,0.045,0.071,-,-,,,,
RIOVZB,80.00,25/02/10,6:1,-,-,0.655,-,-,,,,
RIOVMA,65.00,25/03/10,6:1,1.42,1.425,1.42,-,-,,,,
RIOVMB,70.00,25/03/10,6:1,0.86,0.865,0.75,-,-,,,,
RIOVZC,72.00,25/03/10,6:1,0.865,0.895,-,-,-,,,,
RIOVMC,75.00,25/03/10,6:1,0.475,0.48,0.48,1,100,,,,
RIOVZD,75.00,25/03/10,6:1,0.655,0.685,-,-,-,,,,
RIOWOD,73.00,29/04/10,6:1,0.77,0.81,0.785,-6.5,305,,,,
RIOVZE,75.00,29/04/10,6:1,1.25,1.28,-,-,-,,,,
RIOVME,80.00,29/04/10,6:1,0.485,0.49,0.505,-,-,,,,
RIOWOE,80.00,29/04/10,6:1,0.395,0.405,0.38,-,-,,,,
RIOVMF,85.00,29/04/10,6:1,0.285,0.29,0.31,-,-,,,,
RIOWOC,85.00,29/04/10,6:1,0.23,0.24,0.255,-,-,,,,
Santos Ltd Last Sale Price $13.47,,,,,,,,,,,,
STOWOB,14.00,25/03/10,4:1,0.085,0.09,-,-,-,,,,
STOVMA,15.00,25/03/10,3:1,0.029,0.032,0.035,-,-,,,,
STOVZM,15.00,25/03/10,4:1,0.051,0.065,-,-,-,,,,
STOWOA,15.50,25/03/10,4:1,0.02,0.025,0.02,-0.7,500,,,,
STOVME,17.00,29/04/10,3:1,0.019,-,0.052,-,-,,,,
Telstra Corp Last Sale Price $3.13,,,,,,,,,,,,
TLSWOB,3.15,25/03/10,2:1,0.036,0.041,-,-,-,,,,
TLSWOA,3.25,25/03/10,2:1,0.017,0.022,0.025,-,-,,,,
TLSVMA,3.36,25/03/10,2:1,0.003,-,0.03,-,-,,,,
TLSVMB,3.61,25/03/10,2:1,0.001,-,0.063,-,-,,,,
TLSVZB,3.75,25/03/10,2:1,-,-,-,-,-,,,,
TLSVZC,3.50,29/04/10,2:1,0.02,0.04,-,-,-,,,,
TLSVME,3.85,29/04/10,2:1,0.001,-,-,-,-,,,,
Westpac Banking Last Sale Price $25.39,,,,,,,,,,,,
WBCWOK,25.00,25/02/10,4:1,0.17,0.18,0.16,-2,140,,,,
WBCWZA,25.00,25/02/10,4:1,0.185,0.215,-,-,-,,,,
WBCWOL,27.00,25/02/10,4:1,0.007,0.017,0.081,-,-,,,,
WBCWOJ,29.00,25/02/10,4:1,0.001,0.011,0.001,-,-,,,,
WBCVZA,24.00,25/03/10,4:1,0.515,0.545,-,-,-,,,,
WBCVZB,25.00,25/03/10,4:1,0.365,0.395,-,-,-,,,,
