Warrants Market - Daily,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:36 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.10,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.024,0.029,0.07,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.014,0.019,-,-,-,,,,
ANZ Banking Grp Last Sale Price $20.89,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.026,-,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.545,0.55,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.275,0.28,0.26,-2,400,,,,
ANZWOG,22.50,23/09/10,4:1,0.23,0.235,0.31,-,-,,,,
ANZVMD,24.00,23/09/10,4:1,0.115,0.12,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.095,0.10,0.095,0.4,661,,,,
ANZWMH,26.00,23/09/10,4:1,0.04,0.043,0.04,-0.2,120,,,,
ANZWOI,26.50,23/09/10,4:1,0.039,0.044,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.01,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.735,0.74,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.485,0.49,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.295,0.30,-,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.175,0.18,0.205,-,-,,,,
ASX Ltd Last Sale Price $28.50,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.071,0.074,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.009,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.39,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $36.98,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.075,0.089,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,0.875,0.88,0.93,-24.5,100,,,,
BHPWOD,37.50,26/08/10,4:1,0.505,0.51,0.53,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.27,0.275,0.275,-1.5,530,,,,
BHPWOF,41.00,26/08/10,4:1,0.175,0.18,0.20,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.087,0.092,0.099,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.045,0.05,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.022,0.027,0.03,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.15,1.155,1.385,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.58,0.585,0.585,-2,226,,,,
BHPVMF,40.00,23/09/10,4:1,0.34,0.345,0.32,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.215,0.22,0.23,-,-,,,,
BHPVMG,44.00,23/09/10,4:1,0.17,0.175,-,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.06,0.063,0.071,-1,380,,,,
BHPWMI,48.00,23/09/10,4:1,0.036,0.039,0.039,-0.4,130,,,,
BHPVMH,40.00,27/01/11,4:1,0.775,0.78,-,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.595,0.60,-,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.465,0.47,-,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.35,0.355,-,-,-,,,,
BlueScope Steel Last Sale Price $2.08,,,,,,,,,,,,
BSLWOE,2.65,26/08/10,2:1,0.02,0.025,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.013,0.018,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.093,0.096,-,-,-,,,,
Brambles Ltd Last Sale Price $5.40,,,,,,,,,,,,
BXBWOC,7.25,26/08/10,3:1,0.013,0.023,0.036,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.011,0.021,-,-,-,,,,
BXBVME,5.00,23/09/10,1:1,0.705,0.71,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $47.79,,,,,,,,,,,,
CBAVZC,54.00,28/07/10,5:1,0.057,0.071,0.092,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,0.525,0.53,0.53,1,800,,,,
CBAUMH,53.00,23/09/10,4:1,0.305,0.31,0.31,-1,50,,,,
CBAWOG,54.00,23/09/10,5:1,0.14,0.145,0.145,-,-,,,,
CBAUMI,55.00,23/09/10,4:1,0.195,0.20,0.20,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.074,0.079,0.065,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.125,0.13,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.08,-,0.11,-,-,,,,
CBAWOI,59.00,23/09/10,5:1,0.04,0.045,0.049,-,-,,,,
CBAVMF,48.00,27/01/11,4:1,1.26,1.265,-,-,-,,,,
CBAVMG,52.00,27/01/11,4:1,0.865,0.87,-,-,-,,,,
CBAVMH,56.00,27/01/11,4:1,0.58,0.585,-,-,-,,,,
CBAVMI,60.00,27/01/11,4:1,0.375,0.38,-,-,-,,,,
Computershare Ltd Last Sale Price $10.20,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.29,0.295,-,-,-,,,,
CSL Ltd Last Sale Price $32.61,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.34,0.345,0.55,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.11,0.115,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.04,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.30,0.305,0.325,-,-,,,,
Incitec Pivot Last Sale Price $2.61,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.088,0.093,0.12,-,-,,,,
Macq Grp Ltd Last Sale Price $35.55,,,,,,,,,,,,
MQGVZM,48.00,28/07/10,5:1,0.003,-,-,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.034,0.044,0.053,-,-,,,,
MQGWOC,57.50,23/09/10,6:1,0.012,0.022,0.02,-,-,,,,
National Aust Bank Last Sale Price $22.72,,,,,,,,,,,,
NABVZD,27.00,28/07/10,4:1,0.01,-,-,-,-,,,,
