Warrants Market - Daily,,,,,,,,,,,,
XAO 4852.8 at 16:47 20/10/2009  Report at 19:05 Tuesday 20/10/2009. Processed 19:17 Tuesday 20/10/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.59,,,,,,,,,,,,
AMPWMK,5.50,29/10/09,3:1,0.37,-,0.105,-,-,,,,
AMPWML,6.00,29/10/09,3:1,0.185,0.22,0.195,2.5,100,,,,
AMPWMM,6.50,26/11/09,3:1,0.155,0.17,0.175,-,-,,,,
AMPWOF,6.25,17/12/09,3:1,0.20,0.205,0.17,-,-,,,,
AMPWOE,6.75,17/12/09,3:1,0.091,0.096,-,-,-,,,,
AMPWOA,6.00,25/02/10,3:1,0.325,0.33,0.34,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.18,0.185,0.255,-,-,,,,
ANZ Banking Grp Last Sale Price $23.79,,,,,,,,,,,,
ANZWZA,23.00,29/10/09,4:1,0.255,0.285,0.555,-,-
ANZVZO,24.00,29/10/09,4:1,0.19,0.22,1.335,-,-
ANZWWB,10.55,30/10/09,.96:1,13.24,-,9.14,-,-
ANZWMA,20.00,26/11/09,3:1,1.26,-,1.35,-30.5,200
ANZWMF,22.00,26/11/09,3:1,0.68,0.76,0.735,2,450
ANZWZD,22.00,26/11/09,4:1,0.47,0.52,0.52,4,33
ANZWZC,25.00,26/11/09,4:1,0.195,0.225,0.23,-1,120
ANZWOG,17.00,17/12/09,4:1,1.665,1.685,1.755,-,-
ANZWOI,21.00,17/12/09,4:1,0.73,1.00,0.72,3.5,200
ANZWOH,23.00,17/12/09,4:1,0.39,0.395,0.395,2.5,381
ANZWZE,24.00,17/12/09,4:1,0.29,0.315,0.41,-,-
ANZWOK,24.50,25/02/10,4:1,0.42,0.425,0.36,-,-
ANZWOL,26.50,25/02/10,4:1,0.235,0.24,0.235,0.5,200
ANZWOJ,28.50,25/02/10,4:1,0.135,0.14,0.14,1,1000
ASX Ltd Last Sale Price $35.00,,,,,,,,
ASXWMC,35.00,26/11/09,4:1,0.51,0.515,0.50,1.5,33
ASXWMD,40.00,26/11/09,4:1,0.09,0.096,0.245,-,-
Billabong Intl Last Sale Price $11.44,,,,,,,,
BBGWMB,11.00,26/11/09,2:1,0.60,0.63,-,-,-
BHP Billiton Ltd Last Sale Price $39.91,,,,,,,,
BHPVZJ,40.00,29/10/09,4:1,0.275,0.305,0.27,-,-
BHPVZI,42.00,29/10/09,4:1,0.09,0.12,0.10,-,-
BHPWMG,37.00,26/11/09,4:1,1.01,1.045,0.815,-,-
BHPVZK,38.00,26/11/09,4:1,0.895,0.925,0.74,-,-
BHPWME,40.00,26/11/09,4:1,0.56,0.59,0.55,7.5,100
BHPWMF,42.00,26/11/09,4:1,0.345,0.37,0.275,-,-
BHPVZL,45.00,26/11/09,4:1,0.325,0.355,-,-,-
BHPVZN,34.00,17/12/09,4:1,1.835,1.865,-,-,-
BHPWON,35.00,17/12/09,4:1,1.43,1.435,1.43,19,2640
BHPVZM,36.00,17/12/09,4:1,1.50,1.53,-,-,-
BHPWOO,37.50,17/12/09,4:1,0.96,0.965,0.96,11,40
BHPVOA,40.00,17/12/09,4:1,0.595,0.60,0.51,-,-
BHPVOB,42.50,17/12/09,4:1,0.345,0.35,0.345,6,2148
BHPVZO,44.00,28/01/10,4:1,0.785,0.815,-,-,-
BHPWOC,37.00,25/02/10,4:1,1.335,1.34,1.045,-,-
BHPWOD,39.00,25/02/10,4:1,1.03,1.035,0.83,-,-
BHPWOE,41.00,25/02/10,4:1,0.785,0.79,-,-,-
BHPWOF,43.00,25/02/10,4:1,0.63,0.635,0.485,-,-
BHPVOC,45.00,25/02/10,4:1,0.475,0.48,0.435,-,-
BlueScope Steel Last Sale Price $3.38,,,,,,,,
BSLWMC,3.50,26/11/09,1:1,0.18,0.20,0.14,-,-
BSLWOE,3.00,17/12/09,2:1,0.26,0.265,0.24,-,-
BSLWOF,3.50,17/12/09,2:1,0.11,0.115,0.063,-,-
Brambles Ltd Last Sale Price $7.13,,,,,,,,
BXBWOC,7.50,29/10/09,3:1,0.027,0.25,0.076,-,-
BXBWMA,7.50,26/11/09,2:1,0.17,0.185,0.465,-,-
C'wlth Bank  of Aust  Last Sale Price $54.90,,,,,,,,
CBAVZD,52.00,29/10/09,5:1,0.755,0.785,1.04,-,-
CBAVZE,54.00,29/10/09,5:1,0.48,0.51,0.51,-20,140
CBAWWB,18.00,30/10/09,1:1,36.91,-,29.26,-,-
CBAWMC,46.00,26/11/09,5:1,1.655,1.89,2.01,-,-
CBAVZF,48.00,26/11/09,5:1,1.505,1.535,0.865,-,-
CBAWMD,48.00,26/11/09,5:1,1.305,1.525,1.44,-,-
CBAVZG,55.00,26/11/09,5:1,0.695,0.725,1.085,-,-
CBAVZH,46.00,17/12/09,5:1,2.01,2.06,-,-,-
CBAWOH,47.50,17/12/09,5:1,1.605,1.615,1.825,-,-
CBAWOI,50.00,17/12/09,5:1,1.18,1.19,1.265,8.5,100
CBAVZI,52.00,17/12/09,5:1,1.195,1.22,0.74,-,-
CBAWOG,53.00,17/12/09,5:1,0.755,0.76,0.785,-58.5,65
CBAVZJ,50.00,28/01/10,5:1,1.705,1.735,-,-,-
CBAWOK,49.00,25/02/10,5:1,1.48,1.485,-,-,-
CBAWOL,51.00,25/02/10,5:1,1.22,1.225,-,-,-
CBAWOJ,54.00,25/02/10,5:1,0.87,0.875,0.88,-,-
Computershare Ltd Last Sale Price $10.95,,,,,,,,
CPUWMB,10.50,26/11/09,2:1,0.425,0.49,-,-,-
CSL Ltd Last Sale Price $31.90,,,,,,,,
CSLVZN,35.00,29/10/09,4:1,0.001,0.15,0.08,-,-
CSLVZO,34.00,26/11/09,4:1,0.205,0.23,0.615,-,-
CSLWMA,34.00,26/11/09,4:1,0.205,0.225,0.235,-,-
CSLWZA,36.00,17/12/09,4:1,0.072,0.081,0.077,-1.8,4000
Incitec Pivot Last Sale Price $2.91,,,,,,,,
IPLWMB,3.50,26/11/09,2:1,0.043,0.049,0.11,-,-
Lihir Gold Ltd Last Sale Price $3.23,,,,,,,,
LGLWMB,2.75,26/11/09,2:1,0.265,0.275,0.235,-,-
LGLWOA,2.75,17/12/09,2:1,0.285,0.29,0.305,-,-
LGLWOB,3.25,17/12/09,2:1,0.11,0.125,0.12,-3,47
LGLWOC,3.75,17/12/09,2:1,0.053,0.058,-,-,-
Macq Grp Ltd Last Sale Price $54.55,,,,,,,,
MQGVZC,55.00,29/10/09,5:1,0.635,0.665,0.675,2.5,50
MQGVZD,60.00,26/11/09,5:1,0.405,0.435,0.395,-,-
MQGVZE,55.00,17/12/09,5:1,1.06,1.09,1.045,-,-
MQGVZF,65.00,17/12/09,5:1,0.345,0.375,0.59,-,-
MQGWOB,50.00,25/02/10,6:1,1.41,2.00,1.505,-,-
MQGWOC,60.00,25/02/10,6:1,0.65,0.66,0.72,-,-
National Aust Bank Last Sale Price $31.30,,,,,,,,
NABWZB,27.00,29/10/09,4:1,1.075,1.105,0.825,-,-
NABWZA,32.00,29/10/09,4:1,0.115,0.145,0.195,-,-
NABWWB,19.50,30/10/09,1:1,11.83,-,11.47,-,-
NABWMD,26.00,26/11/09,5:1,1.025,1.145,1.125,-,100
NABWME,28.00,26/11/09,5:1,0.665,0.725,-,-,-
NABWZC,28.00,26/11/09,4:1,0.86,0.885,-,-,-
NABWMF,30.00,26/11/09,5:1,0.37,0.415,0.395,4.5,664
NABWZE,31.00,26/11/09,4:1,0.44,0.465,0.84,-,-
NABWOH,26.00,17/12/09,4:1,1.245,1.255,1.28,9.5,40
NABWOI,30.00,17/12/09,4:1,0.455,0.70,0.505,9.5,262
NABWZF,30.00,17/12/09,4:1,0.69,0.715,-,-,-
NABWOG,32.50,17/12/09,4:1,0.215,0.22,0.34,-,-
NABWZG,34.00,17/12/09,4:1,0.305,0.335,-,-,-
NABWOJ,28.00,25/02/10,4:1,1.045,1.05,-,-,-
NABWOK,30.00,25/02/10,4:1,0.735,0.74,-,-,-
NABWOL,32.00,25/02/10,4:1,0.50,0.505,0.48,-,-
Newcrest Min Last Sale Price $36.34,,,,,,,,
NCMWMA,32.00,26/11/09,4:1,1.195,1.24,1.205,-,-
NCMVZA,35.00,26/11/09,4:1,0.875,0.90,1.105,-,-
NCMWOA,33.00,17/12/09,4:1,1.14,1.145,1.09,-,-
NCMWOB,37.00,17/12/09,4:1,0.555,0.56,0.635,-,-
NCMVZB,40.00,17/12/09,4:1,0.60,0.63,-,-,-
News Corp Last Sale Price $16.18,,,,,,,,
NWSWZA,15.50,29/10/09,4:1,0.25,0.275,-,-,-
NWSWMA,15.00,26/11/09,4:1,0.435,0.445,0.445,3,100
Origin Energy Last Sale Price $16.44,,,,,,,,
